t_id_terreno;t_id_construccion;construccion_nocontenida_en_terreno;t_id_terreno_asociado_a_construccion;t_id_predio
1117205;167890;false;1117205;1027307
1127235;270117;false;1127235;720406
1124682;196136;false;1124682;1060166
1101415;247337;false;1101415;791303
1107130;224115;false;1107130;659826
1174433;85095;false;1174433;971006
1091331;188137;false;1091331;1041014
1132847;180085;false;1132847;3018276
1078250;246600;false;1078250;1021616
1081998;252806;false;1081998;861733
1143654;235608;false;1143654;693621
1126052;236914;false;1126052;915759
1121882;206103;false;1121882;819938
1088055;229720;false;1088055;729940
1110476;219739;false;1110476;764116
1153450;269916;false;1153450;675424
1079561;226878;false;1079561;969089
1172090;253003;false;1172090;717702
1118748;246539;false;1118748;855556
1138332;246028;false;1138332;958566
1135132;262373;false;1135132;800627
1107272;256836;false;1107272;814177
1175723;224906;false;1175723;693736
1098008;170335;false;1098008;771474
1152265;268483;false;1152265;1028428
1094930;242007;false;1094930;944351
1096994;261287;false;1096994;962497
1143654;263734;false;1143654;693621
1121545;256356;false;1121545;716996
1119661;268935;false;1119661;1040891
1142405;228210;false;1142405;675722
1175697;248277;false;1175697;872134
1150415;249850;false;1150415;664145
1152661;242659;false;1152661;1021047
1116780;253901;false;1116780;790842
1161419;251616;false;1161419;672183
1097818;267960;false;1097818;749816
1089007;242962;false;1089007;957067
1097518;240851;false;1097518;769434
1153430;122629;false;1153430;1046042
1173987;245411;false;1173987;933386
1087233;178026;false;1087233;1072199
1159591;223235;false;1159591;809273
1098626;226609;false;1098626;659882
1078295;183589;false;1078295;1034397
1176067;259275;false;1176067;797440
1108195;258303;false;1108195;1037251
1156380;265438;false;1156380;1060273
1132427;257886;false;1132427;967670
1094924;257926;false;1094924;963209
1166230;237957;false;1166230;1005153
1172071;252969;false;1172071;901776
1153668;260450;false;1153668;782949
1177651;256468;false;1177651;929817
1135876;89367;false;1135876;846462
1083630;250158;false;1083630;1048820
1117576;239153;false;1117576;790335
1177610;191937;false;1177610;835777
1165020;179241;false;1165020;1041524
1128283;245928;false;1128283;957847
1104710;252649;false;1104710;817603
1143261;254056;false;1143261;941732
1176064;248760;false;1176064;1031417
1153477;244241;false;1153477;986208
1102660;238625;false;1102660;1066896
1116398;126079;false;1116398;1038953
1094141;165072;false;1094141;1003814
1140071;253865;false;1140071;861228
1157968;227738;false;1157968;746809
1153425;249317;false;1153425;791102
1099051;243575;false;1099051;694480
1079968;249362;false;1079968;785922
1109411;244455;false;1109411;960104
1164854;165425;false;1164854;969177
1092286;171441;false;1092286;902774
1073365;238533;false;1073365;1066188
1108344;166693;false;1108344;1052568
1166742;186069;false;1166742;662427
1126303;189218;false;1126303;970258
1105698;267069;false;1105698;934518
1162135;252604;false;1162135;1051933
1106896;114925;false;1106896;1059700
1165418;143673;false;1165418;971630
1101596;89454;false;1101596;956833
1146944;259997;false;1146944;962834
1120061;225035;false;1120061;829819
1160934;261640;false;1160934;893856
1141143;261364;false;1141143;969896
1172729;225032;false;1172729;798797
1110176;133210;false;1110176;691190
1086851;114210;false;1086851;785724
1172337;242684;false;1172337;829001
1106921;264361;false;1106921;795535
1076226;171763;false;1076226;957952
1153784;260522;false;1153784;925208
1103452;250679;false;1103452;778822
1089723;244190;false;1089723;769314
1158484;241561;false;1158484;1030875
1133718;254674;false;1133718;828931
1122575;157303;false;1122575;3021741
1130433;260028;false;1130433;1065387
1102266;253961;false;1102266;797118
1119661;202936;false;1119661;1040891
1179394;253958;false;1179394;954972
1123017;198376;false;1123017;944806
1164600;262032;false;1164600;974514
1125077;205912;false;1125077;887901
1092540;103922;false;1092540;857269
1145791;188743;false;1145791;1072588
1117210;238646;false;1117210;784428
1147214;244519;false;1147214;1067155
1087089;255717;false;1087089;940620
1100634;251326;false;1100634;1032961
1110314;208949;false;1110314;999996
1138343;133583;false;1138343;763402
1120475;244087;false;1120475;666347
1174421;246026;false;1174421;977311
1088442;252674;false;1088442;807715
1121221;261231;false;1121221;723025
1097805;165622;false;1097805;1059456
1092135;258620;false;1092135;1056475
1163365;113524;false;1163365;963737
1178234;161106;false;1178234;802049
1139162;202321;false;1139162;928289
1157156;141404;false;1157156;661865
1082102;242238;false;1082102;1032221
1091748;247435;false;1091748;1020466
1102263;259249;false;1102263;1043896
1130018;248821;false;1130018;1030639
1144111;260852;false;1144111;978919
1086723;104951;false;1086723;991983
1153838;239197;false;1153838;785718
1174548;246322;false;1174548;672910
1108411;207665;false;1108411;943245
1157990;220718;false;1157990;757415
1139138;234941;false;1139138;671818
1119260;247477;false;1119260;963035
1091747;241933;false;1091747;800294
1150982;227527;false;1150982;1052420
1153357;99917;false;1153357;937458
1102528;163262;false;1102528;998425
1115320;227882;false;1115320;1037741
1157736;124101;false;1157736;844062
1115901;231467;false;1115901;795179
1163365;199500;false;1163365;963737
1149696;253837;false;1149696;911847
1095304;94400;false;1095304;868273
1162147;247317;false;1162147;826836
1125900;93862;false;1125900;1020423
1148189;262035;false;1148189;1072244
1137497;270462;false;1137497;922100
1107619;125087;false;1107619;1009125
1155930;242682;false;1155930;748127
1097390;231141;false;1097390;1052800
1104294;246763;false;1104294;828971
1101987;248447;false;1101987;973450
1158464;206648;false;1158464;847407
1116397;222821;false;1116397;957798
1172679;243194;false;1172679;676466
1119803;237593;false;1119803;701991
1094062;210384;false;1094062;1006632
1111222;125575;false;1111222;968404
1151774;226134;false;1151774;927553
1131273;223890;false;1131273;1056473
1079686;238236;false;1079686;999994
1151411;246191;false;1151411;981801
1076235;237895;false;1076235;796603
1139562;237259;false;1139562;797664
1096116;249246;false;1096116;1021081
1080814;133018;false;1080814;3021126
1107142;262107;false;1107142;964792
1112731;228190;false;1112731;794677
1073086;163088;false;1073086;683178
1079120;266726;false;1079120;746964
1113194;212267;false;1113194;941445
1177970;234673;false;1177970;795346
1136513;253801;false;1136513;660589
1085160;224610;false;1085160;1008269
1081010;114994;false;1081010;923157
1138908;211195;false;1138908;889101
1144090;230719;false;1144090;1033433
1136252;231748;false;1136252;1056557
1147901;187204;false;1147901;818149
1144488;261310;false;1144488;673328
1118020;239870;false;1118020;790997
1104274;251929;false;1104274;1053876
1086396;233850;false;1086396;1066298
1076660;232132;false;1076660;1066816
1086188;249174;false;1086188;727238
1167409;200649;false;1167409;830080
1078714;257913;false;1078714;1041039
1125758;211438;false;1125758;776529
1074273;256205;false;1074273;1017261
1174109;142077;false;1174109;813180
1119659;253271;false;1119659;989864
1105672;254279;false;1105672;684232
1150922;245303;false;1150922;954692
1165845;237459;false;1165845;1025431
1159971;254544;false;1159971;907087
1086799;209348;false;1086799;926854
1076660;223449;false;1076660;1066816
1105267;237578;false;1105267;1006785
1179014;248415;false;1179014;662855
1086781;260618;false;1086781;744705
1120878;255315;false;1120878;1038487
1109180;228858;false;1109180;819912
1163804;239307;false;1163804;963041
1085837;259094;false;1085837;936028
1115204;240575;false;1115204;658241
1152644;248050;false;1152644;865519
1073698;239101;false;1073698;1044875
1176350;149827;false;1176350;1057516
1097815;224336;false;1097815;689533
1125918;266574;false;1125918;721067
1170526;150847;false;1170526;866501
