t_id_predio;numero_predial;t_id_tramitecatastral;t_id_fuenteadministrativa;ente_emisor;oficina_origen;ciudad_origen;numero_fuente
787586;470010002000000050672000000000;1179770;295093;NOTARIA PRIMERA SANTA MARTA;;;1569
676028;470010102000001540902900000029;1183214;361146;NOTARIA PRIMERA DE SANTA MARTA;;;1673
1000007;470010002000000070903921010404;1182616;348464;NOTARIA SEGUNDA DE SANTA MARTA;;;2313
988516;470010002000000060901900000048;1180339;298270;NOTARIA PRIMERA DE SANTA MARTA;;;0756
818508;470010002000000022527000000000;1186071;381168;NOTARIA TERCERA E SANTA MARTA;;;2461
1069803;470010002000000070903902030029;1183271;377666;NOTARIA SEGUNDA DE SANTA MARTA;;;1320
914795;470010106000012190013500000001;1180249;297399;NOTARIA SEGUNDA DE SANTA MARTA;;;1630
3015051;470010002000000076901908020176;1186588;492354;NOTARIA 4;;;1203
1060144;470010002000000070903917020326;1183370;377902;NOTARIA SEGUNDA DE SANTA MARTA;;;2613
1020397;470010106000011430007000000000;1181083;304531;NOTARIA SEGUNDA SANTA MARTA;;;2553
938275;470010002000000070905907050137;1182535;347797;NOTARIA TERCERA DE SANTA MARTA;;;1011
739008;470010102000001490016000000000;1180389;298375;NOTARIA TERCERA DE SANTA MARTA;;;138
678860;470010106000000560901901020012;1179666;291913;NOTARIA 4;;;1321
666199;470010102000003850034000000000;1183820;449597;NOTARIA PRIMERA DE SANTA MARTA;;;1712
722612;470010002000000070905903050058;1183089;357251;NOTARIA QUINTA DE BOGOT�;;;1815
1067459;470010002000000023182000000000;1184839;447903;NOTARIA CUARTA DE  SANTA MARTA;;;967
720541;470010002000000070902906010103;1184965;467481;NOTARIA TERCERA DE SANTA MARTA;;;2559
1069765;470010002000000070902911030210;1184963;467480;NOTARIA TERCERA DE SANTA MARTA;;;2656
1028872;470010002000000070902903030050;1185187;467593;NOTARIA TERCERA DE SANTA MARTA;;;1921
1036599;470010002000000070903914030270;1184837;466743;NOTARIA SEGUNDA DE SANTA MARTA;;;2766
659920;470010002000000076901905070513;1181609;343593;NOTARIA 4;;;1521
796885;470010104000000910903901000218;1185720;478284;NOTARIA TERCERA DE SANTA MARTA;;;139
917187;470010002000000023096000000000;1180490;299053;NOTARIA CUARTA DE SANTA MARTA;;;241
862127;470010002000000070902905030090;1182977;354763;NOTARIA TERCERA DE SANTA MARTA;;;2717
851898;470010106000010290013500000001;1182939;354744;NOTARIA SEGUNDA DE SANTA MARTA;;;0
721701;470010002000000070903902010022;1183934;452672;NOTARIA SEGUNDA DE SANTA MARTA;;;1340
951488;470010002000000070905903040054;1183147;357280;NOTARIA TERCERA DE SANTA MARTA;;;1858
685711;470010002000000076901906080589;1180816;302816;NOTARIA 4;;;1794
880779;470010002000000070803800007079;1186377;352639;NOTARIA CUARTA SANTA MARTA;;;1711
1042739;470010115000006660001000000000;1184389;489437;NOTARIA CUARTA DE SANTA MARTA;;;2353
720940;470010002000000070902907030131;1185050;467523;NOTARIA TERCERA DE SANTA MARTA;;;2250
1033219;470010102000002330901900000284;1182743;489485;NOTARIA PRIMERA DE SANTA MARTA;;;0084
691019;470010106000000560901901080058;1182218;346575;NOTARIA 4;;;2854
667429;470010107000000170902900000184;1181098;304540;NOTARIA QUINTA DE BUCARAMAGA;;;3369
703090;470010002000000060917900007343;1179574;291320;NOTARIA SEGUNDA DE SANTA MARTA;;;2787
3016782;470010002000000070902915040295;1187039;494076;NOTARIA TERCERA DE SANTA MARTA;;;0912
744858;470010002000000070903912050239;1185223;467611;NOTARIA QUINTA DE BOGOTA D.C.;;;4790
758973;470010002000000070902909040173;1183572;378284;NOTARIA TERCERA DE SANTA MARTA;;;2630
662463;470010002000000076901901080267;1180579;299110;NOTARIA 4;;;2066
1026505;470010108000000060902902130137;1183660;489425;NOTARIA CUARTA DE SANTA MARTA;;;1038
657785;470010002000000070903919020368;1183951;452697;NOTARIA SEGUNDA DE SANTA MARTA;;;2666
658766;470010104000000910903901000219;1185912;478284;NOTARIA TERCERA DE SANTA MARTA;;;139
1003558;470010002000000070905905020087;1180997;304181;NOTARIA TERCERA DE SANTA MARTA;;;1544
945641;470010102000000730004000000000;1180255;297402;NOTARIA TERCERA DE SANTA MARTA;;;150
747464;470010002000000070903922030431;1184887;466948;NOTARIA SEGUNDA DE SANTA MARTA;;;478
667746;470010105000000970024000000000;1182931;354298;NOTARIA TERCERA DE SANTA MARTA;;;1843
866015;470010002000000076901904040426;1185724;484350;NOTARIA 4;;;317
829439;470010103000002590009000000000;1183222;363652;NOTARIA PRIMERA DE SANTA MARTA;;;1151
797096;470010106000011460001000000000;1185991;486518;NOTARIA SEGUNDA SANTA MARTA;;;1647
720195;470010002000000070902903030049;1185025;467511;NOTARIA TERCERA DE SANTA MARTA;;;2450
657956;470010002000000070903903040054;1182572;348196;NOTARIA SEGUNDA DE SANTA MARTA;;;1393
940186;470010002000000022921000000000;1180138;297270;NOTARIA PRIMERA SANTA MARTA;;;512
932163;470010003000000010802800004061;1186221;485731;NOTARIA PRIMERA DE SANTA MARTA;;;0624
1036519;470010002000000040901900000106;1187076;492279;NOTARIA 3;;;3881
957011;470010110000000400904900001028;1184322;421674;NOTARIA PRIMERA DE SANTA MARTA;;;238
1032766;470010114000000320033000000000;1180520;299073;NOTARIA CUARTA DE SANTA MARTA;;;1412
666203;470010002000000070905909030172;1183521;378248;NOTARIA TERCERA DE SANTA MARTA;;;1267
664405;470010002000000010096000000000;1180195;297376;NOTARIA TERCERA DE SANTA MARTA;;;2105
657998;470010002000000070903921040415;1185120;467559;NOTARIA SEGUNDA DE SANTA MARTA;;;2430
3019422;470010002000000076901908010103;1186978;492573;NOTARIA 2;;;120
722300;470010002000000070903921050419;1184955;467476;NOTARIA SEGUNDA DE SANTA MARTA;;;2311
1014294;470010002000000076901907010597;1182064;344943;NOTARIA 4;;;1047
1026509;470010002000000070903901020007;1183338;377886;NOTARIA SEGUNDA DE SANTA MARTA;;;1417
740010;470010002000000070903905050100;1184628;462842;NOTARIA SEGUNDA DE SANTA MARTA;;;2238
967977;470010002000000076901904020410;1181629;343636;NOTARIA 4;;;1850
861448;470010106000000560901902080128;1184234;454538;NOTARIA 4;;;2857
722570;470010002000000070905902050038;1183113;357263;NOTARIA TERCERA DE SANTA MARTA;;;844
760298;470010002000000070268000000000;1179626;291349;NOTARIA PRIMERA DE SANTA MARTA;;;0415
731783;470010112000001660015000000000;1180226;297387;NOTARIA SEGUNDA DE SANTA MARTA;;;975
773494;470010002000000070905918020347;1180703;301000;NOTARIA TERCERA DE SANTA MARTA;;;1535
657865;470010002000000070905906050119;1182480;347715;NOTARIA QUINTA DE BOGOT�;;;1191
667658;470010002000000070902904010064;1185172;467585;NOTARIA TERCERA DE SANTA MARTA;;;2563
722636;470010002000000070905903020048;1183154;357533;NOTARIA TERCERA DE SANTA MARTA;;;1305
914566;470010105000000940241500000001;1179941;295431;NOTARIA TERCERA DE SANTA MARTA;;;1607
957974;470010007000000020071000000000;1179979;295454;NOTARIA VEINTIOCHO DE BOGOTA;;;1990
666234;470010002000000070903907020127;1183486;378081;NOTARIA SEGUNDA DE SANTA MARTA;;;1396
822117;470010002000000070905921020407;1182407;344400;NOTARIA TERCERA DE SANTA MARTA;;;1514
975656;470010110000000380908900001707;1187615;502031;NOTARIA TERCERA DE SANTA MARTA;;;263
893439;470010102000000880030000000000;1180235;297392;NOTARIA CUARTA DE SANTA MARTA;;;366
822211;470010002000000070905912050240;1182435;347418;NOTARIA TERCERA DE SANTA MARTA;;;1527
796845;470010104000000910903901000191;1185958;478284;NOTARIA TERCERA DE SANTA MARTA;;;139
1006904;470010002000000070903914050278;1180791;326617;NOTARIA SEGUNDA DE SANTA MARTA;;;1878
659920;470010002000000076901905070513;1181608;343593;NOTARIA 4;;;1521
684886;470010002000000060912900004446;1179586;291326;NOTARIA TERCERA SANTA MARTA;;;841
668152;470010115000006790901900000081;1183674;489494;NOTARIA TERCERA DE SANTA MARTA;;;1071
1041574;470010002000000070902912050239;1185180;467589;NOTARIA TERCERA DE SANTA MARTA;;;2893
1072209;470010107000001050801800000063;1186193;491593;NOTARIA SEGUNDA DE SANTA MARTA;;;1775
720643;470010002000000070902905020085;1182989;354844;NOTARIA TERCERA DE SANTA MARTA;;;2166
1060063;470010002000000070905908040154;1181133;326972;NOTARIA CUARTA DE SANTA MARTA;;;2673
995686;470010002000000070903910010183;1183301;377681;NOTARIA SEGUNDA DE SANTA MARTA;;;2626
1025021;470010101000001820901900000034;1185347;448954;NOTARIA PRIMERA DE SANTA MARTA;;;378
3013875;470010002000000076901908010148;1187048;492560;NOTARIA 4;;;1672
818205;470010108000000180901901130062;1181901;302000;NOTARIA 3 SANTA MARTA;;;754
720201;470010002000000070902904040074;1184999;467498;NOTARIA TERCERA DE SANTA MARTA;;;2330
684894;470010002000000070903917030332;1183363;377898;NOTARIA SEGUNDA DE SANTA MARTA;;;2351
1045936;470010002000000070903923040455;1180770;326494;NOTARIA SEGUNDA DE SANTA MARTA;;;2502
659036;470010002000000070905911040215;1186676;492290;NOTARIA TERCERA DE SANTA MARTA;;;1898
821463;470010109000003260005000000000;1179703;294917;NOTARIA VEINTISEIS DE BARRANQUILLA;;;3067
1000194;470010107000000020901900000103;1179965;295447;NOTARIA DECIMA DE BUCARAMANGA;;;688
787985;470010002000000076901901020220;1183705;489432;NOTARIA 4;;;2302
746568;470010104000001390030000000000;1186576;492265;NOTARIA CUARTA DE SANTA MARTA;;;2056
657829;470010002000000076901902050308;1185850;476877;NOTARIA 4;;;644
727013;470010002000000076901906070581;1182031;344640;NOTARIA 4;;;976
789433;470010800000000490037000000000;1183727;447009;NOTARIA SEGUNDA SANTA MARTA;;;981
952104;470010002000000070903913020248;1184936;467466;NOTARIA SEGUNDA DE SANTA MARTA;;;2602
715688;470010002000000070903908040153;1183397;378029;NOTARIA SEGUNDA DE SANTA MARTA;;;2451
657929;470010002000000070903909040176;1183306;377684;NOTARIA SEGUNDA DE SANTA MARTA;;;1603
694446;470010107000000090906901010155;1186093;482593;NOTARIA 4 SANTA MARTA;;;503
722566;470010002000000070905901040015;1183187;358790;NOTARIA TERCERA DE SANTA MARTA;;;1206
837844;470010101000001740903900000044;1184180;454401;NOTARIA PRIMERA DE SANTA MARTA;;;1942
977028;470010002000000070902905020086;1182988;354843;NOTARIA TERCERA DE SANTA MARTA;;;2442
657831;470010002000000040901901010145;1182011;344381;NOTARIA 3;;;1732
1052453;470010003000000010205000000000;1180516;299070;NOTARIA PRIMERA DE SANTA MARTA;;;1067
719709;470010002000000070902901020006;1185239;467619;NOTARIA TERCERA DE SANTA MARTA;;;2310
1026747;470010002000000070902916040314;1182823;354129;NOTARIA TERCERA DE SANTA MARTA;;;362
893119;470010002000000060917900007226;1180189;297373;NOTARIA SEGUNDA DE SANTA MARTA;;;2134
864681;470010103000002160008000000000;1184592;462717;NOTARIA SEGUNDA DE SANTA MARTA;;;2110
3023934;470010002000000076901905080524;1186886;494997;NOTARIA 4;;;2549
787974;470010002000000076901908020165;1183706;489502;NOTARIA 4;;;1130
951567;470010002000000076901904030423;1179718;294926;NOTARIA 4;;;794
1064136;470010002000000070903903030049;1183080;357222;NOTARIA SEGUNDA DE SANTA MARTA;;;1920
789778;470010002000000070905916040316;1180721;302711;NOTARIA TERCERA DE SANTA MARTA;;;1713
773401;470010002000000070905918010344;1180702;300998;NOTARIA TERCERA DE SANTA MARTA;;;1376
668718;470010002000000070903903020046;1182562;348166;NOTARIA SEGUNDA DE SANTA MARTA;;;1927
779136;470010800000000460013000000000;1180387;298373;NOTARIA TERCERA DE SANTA MARTA;;;2811
684994;470010107000000810906900000440;1180288;297498;NOTARIA TERCERA SANTA MARTA;;;1893
789929;470010002000000070905917010322;1180725;302720;NOTARIA TERCERA DE SANTA MARTA;;;1711
721830;470010002000000070903907030130;1183475;378075;NOTARIA SEGUNDA DE SANTA MARTA;;;1521
3016251;470010002000000076901902020281;1186687;493233;NOTARIA 4;;;1069
861086;470010002000000070903901050018;1183285;377673;NOTARIA SEGUNDA DE SANTA MARTA;;;1394
947182;470010104000000910903901010149;1185937;478284;NOTARIA TERCERA DE SANTA MARTA;;;139
921752;470010002000000070903919010364;1183253;377657;NOTARIA SEGUNDA DE SANTA MARTA;;;1724
667064;470010002000000070905906030112;1183127;357270;NOTARIA TERCERA DE SANTA MARTA;;;851
671684;470010002000000070903920020385;1183291;377676;NOTARIA SEGUNDA DE SANTA MARTA;;;2356
668188;470010111000000830016000000000;1181332;305017;NOTARIA SEGUNDA SANTA MARTA;;;1187
