t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
75210;A;67.7;
60911;A;60.3;
61000;A;60.3;
53576;A;55.9;
60935;A;72.1;
79869;A;67.7;
60841;A;60.3;
83333;A;73.8;
78720;A;78.5;
60904;A;41.8;
64668;A;0.0;
12858;A;61.5;
60876;A;60.3;
52961;A;47.6;
60853;A;41.8;
52962;A;26.2;
23207;A;53.7;
2980;A;212.7;
60953;A;72.1;
84053;A;67.7;
75036;A;67.7;
42747;A;0.0;
61011;A;60.3;
34623;A;0.0;
53017;A;55.9;
72886;A;67.7;
53527;A;55.9;
53434;A;55.9;
77880;A;31.4;
60895;A;41.8;
33735;A;0.0;
71478;A;67.7;
84188;A;55.9;
12992;A;53.7;
82939;A;53.7;
60878;A;41.8;
52742;A;67.7;
15514;A;31.4;
81446;A;67.7;
60859;A;41.8;
60857;A;41.8;
15914;A;73.8;
60845;A;60.3;
75809;A;0.0;
12947;A;78.5;
53539;A;55.9;
84050;A;67.7;
84026;A;61.5;
60933;A;72.1;
84160;A;0.0;
84068;A;67.7;
73384;A;0.0;
60855;A;41.8;
71930;A;0.0;
84065;A;67.7;
81797;A;31.5;
71126;A;67.7;
72490;A;67.7;
60890;A;72.1;
60913;A;60.3;
60849;A;41.8;
60915;A;60.3;
84764;A-1;179.0;
52610;A;67.7;
60869;A;72.1;
76337;A;61.5;
73588;A;67.7;
58454;A;67.7;
84203;A;47.6;
84071;A;67.7;
79162;A;53.7;
29368;A;0.0;
84067;A;67.7;
74750;A;0.0;
60839;A;60.3;
61004;A;60.3;
62202;A;0.0;
10178;A;31.4;
60891;A;41.8;
75588;A;0.0;
84183;A;55.9;
60905;A;41.8;
53526;A;55.9;
53431;A;47.6;
25038;A;0.0;
60825;A;60.3;
60889;A;72.1;
75386;A;67.7;
55118;A;67.7;
21827;A;78.5;
84036;A;0.0;
60828;A;60.3;
60948;A;72.1;
84186;A;47.6;
60960;A;41.8;
60868;A;72.1;
73018;A;67.7;
61010;A;60.3;
84044;A;67.7;
79294;A;53.7;
53369;A;55.9;
12589;A;31.4;
80394;A;67.7;
76794;A;67.7;
25261;A;0.0;
60997;A;60.3;
80829;A;78.5;
60906;A;41.8;
73808;A;67.7;
84179;A;47.6;
41951;A;0.0;
47810;A;0.0;
84042;A;67.7;
84202;A;47.6;
60826;A;60.3;
60856;A;41.8;
60897;A;41.8;
60956;A;72.1;
14850;A;73.8;
60835;A;60.3;
53610;A;55.9;
60831;A;60.3;
53510;A;47.6;
76821;A;73.8;
53095;A;47.6;
77527;A;73.8;
60980;A;60.3;
79821;A;31.4;
73676;A;67.7;
60862;A;72.1;
36402;A;0.0;
22450;A;31.4;
84045;A;67.7;
60970;A;41.8;
60903;A;41.8;
40351;A;0.0;
523;A;580.6;
60926;A;60.3;
60883;A;72.1;
60852;A;41.8;
3785;A;53.7;
60822;A;60.3;
6018;A;31.4;
40440;A;0.0;
84059;A;67.7;
65328;A;0.0;
60967;A;41.8;
60959;A;41.8;
60988;A;60.3;
84180;A;47.6;
60985;A;60.3;
14627;A;73.8;
60998;A;60.3;
78641;A;67.7;
50228;A;67.7;
60987;A;60.3;
60975;A;41.8;
60900;A;41.8;
15958;A;51.4;
84046;A;67.7;
75721;A;0.0;
47149;A;0.0;
60871;A;41.8;
76776;A;78.5;
52559;NULL;74.9;
77234;A;67.7;
3963;A;53.7;
84169;A;47.6;
14006;A;53.7;
60920;A;60.3;
16838;A;31.4;
84025;A;31.4;
60303;A;67.7;
61893;A;0.0;
75298;A;67.7;
53672;A;55.9;
77937;A;67.7;
60923;A;60.3;
42567;A;0.0;
84167;A;55.9;
82631;A;31.4;
60921;A;60.3;
53433;A;55.9;
84162;A;47.6;
56787;A;67.7;
28386;A;0.0;
84035;A;0.0;
55812;A;0.0;
84172;A;55.9;
60976;A;41.8;
18299;A;73.8;
76293;A;0.0;
64133;A;67.7;
84198;A;55.9;
39686;A;0.0;
81973;A;61.5;
79124;A;67.7;
60946;A;72.1;
78676;A;31.4;
76381;A;53.7;
59417;A;67.7;
62774;A;0.0;
61008;A;60.3;
60829;A;60.3;
76117;A;0.0;
23029;A;61.5;
2860;A;61.5;
76513;A;73.8;
52563;NULL;0.0;
61007;A;60.3;
60867;A;72.1;
84171;A;55.9;
82895;A;53.7;
76618;A;67.7;
74971;A;0.0;
60846;A;60.3;
84060;A;67.7;
52463;NULL;0.0;
60886;A;72.1;
33241;A;0.0;
82851;A;73.8;
60907;A;41.8;
53350;A;47.6;
48250;A;0.0;
60038;A;67.7;
73871;A;0.0;
84031;A;0.0;
60881;A;72.1;
20437;A;73.8;
53649;A;47.6;
60927;A;60.3;
2682;A;31.4;
60996;A;60.3;
79693;A;67.7;
60955;A;72.1;
84191;A;47.6;
60989;A;60.3;
53432;A;47.6;
60929;A;60.3;
60854;A;41.8;
84064;A;67.7;
71918;A;67.7;
41107;A;0.0;
53540;A;55.9;
60961;A;41.8;
60919;A;60.3;
6912;A;78.5;
60981;A;60.3;
84194;A;55.9;
60992;A;60.3;
84030;A;0.0;
72853;A;0.0;
60940;A;72.1;
72986;A;0.0;
53018;A;25.0;
21648;A;73.8;
60983;A;60.3;
60821;A;60.3;
50009;A;67.7;
84588;A;207.1;
60894;A;41.8;
59817;A;67.7;
16002;A;53.7;
84040;A;0.0;
76557;A;31.4;
74487;A;0.0;
53511;A;55.9;
23741;A;0.0;
84616;A;645.0;
2328;A;47.6;
82543;A;31.4;
76882;A;67.7;
61001;A;60.3;
