t_id_predio;numero_predial;condicion_predio
1066934;470010112000000940801800000124;Condominio.Unidad_Predial
1058893;470010002000000050801800000096;Condominio.Unidad_Predial
999516;470010002000000050801800000118;Condominio.Unidad_Predial
792135;470010001000000020802800001490;Condominio.Unidad_Predial
736747;470010002000000050801800000182;Condominio.Unidad_Predial
939246;470010107000000990801800000048;Condominio.Unidad_Predial
769820;470010112000000940801800000155;Condominio.Unidad_Predial
769703;470010112000000940801800000150;Condominio.Unidad_Predial
680159;470010002000000050801800000275;Condominio.Unidad_Predial
957824;470010109000002580801800000394;Condominio.Unidad_Predial
727524;470010107000000990801800000015;Condominio.Unidad_Predial
1033739;470010107000000990801800000098;Condominio.Unidad_Predial
959663;470010115000000790801800000057;Condominio.Unidad_Predial
945875;470010002000000060801800004639;Condominio.Unidad_Predial
694090;470010108000000160801800000028;Condominio.Unidad_Predial
995472;470010001000000020802800001518;Condominio.Unidad_Predial
1030610;470010115000000790801800000044;Condominio.Unidad_Predial
799709;470010002000000050801800000204;Condominio.Unidad_Predial
798714;470010001000000020803800001687;Condominio.Unidad_Predial
684432;470010002000000050801800000268;Condominio.Unidad_Predial
1028551;470010002000000040801800005005;Condominio.Unidad_Predial
694209;470010001000000020802800001512;Condominio.Unidad_Predial
961231;470010002000000050801800000238;Condominio.Unidad_Predial
718656;470010002000000070802800002078;Condominio.Unidad_Predial
937529;470010002000000050801800000314;Condominio.Unidad_Predial
790976;470010111000002880801800000023;Condominio.Unidad_Predial
663308;470010002000000060801800004647;Condominio.Unidad_Predial
1023245;470010002000000070802800002035;Condominio.Unidad_Predial
1024041;470010002000000040801800004988;Condominio.Unidad_Predial
1048794;470010107000000380801800000017;Condominio.Unidad_Predial
995558;470010002000000060801800004596;Condominio.Unidad_Predial
666764;470010112000000940801800000140;Condominio.Unidad_Predial
962789;470010110000000490802800000072;Condominio.Unidad_Predial
998656;470010001000000020803800001655;Condominio.Unidad_Predial
718820;470010002000000070802800002086;Condominio.Unidad_Predial
960814;470010002000000050801800000148;Condominio.Unidad_Predial
718541;470010002000000070802800002043;Condominio.Unidad_Predial
1032229;470010002000000050801800000124;Condominio.Unidad_Predial
1045316;470010109000002580801800000340;Condominio.Unidad_Predial
960075;470010115000000790801800000038;Condominio.Unidad_Predial
866493;470010106000007100801800000010;Condominio.Unidad_Predial
686683;470010107000000810802800000346;Condominio.Unidad_Predial
673053;470010002000000060801800004625;Condominio.Unidad_Predial
1045852;470010002000000050802800000330;Condominio.Unidad_Predial
681111;470010002000000040801800003972;Condominio.Unidad_Predial
679551;470010107000000990801800000059;Condominio.Unidad_Predial
1060244;470010108000000160801800000026;Condominio.Unidad_Predial
1068577;470010002000000060801800004681;Condominio.Unidad_Predial
752212;470010115000006470801800000007;Condominio.Unidad_Predial
696033;470010002000000060801800004616;Condominio.Unidad_Predial
1071879;470010002000000070802800002055;Condominio.Unidad_Predial
795095;470010002000000050802800000343;Condominio.Unidad_Predial
1057574;470010002000000050801800000138;Condominio.Unidad_Predial
794971;470010002000000050801800000117;Condominio.Unidad_Predial
1007834;470010001000000020801800001387;Condominio.Unidad_Predial
1069646;470010002000000070802800002028;Condominio.Unidad_Predial
1040633;470010002000000050801800000219;Condominio.Unidad_Predial
1007107;470010107000000990801800000070;Condominio.Unidad_Predial
976368;470010002000000050801800000300;Condominio.Unidad_Predial
1066276;470010002000000050802800000392;Condominio.Unidad_Predial
665838;470010107000000990801800000014;Condominio.Unidad_Predial
1067941;470010002000000060801800004583;Condominio.Unidad_Predial
799768;470010002000000050801800000227;Condominio.Unidad_Predial
1046090;470010002000000050801800000236;Condominio.Unidad_Predial
967579;470010107000000380801800000015;Condominio.Unidad_Predial
712255;470010002000000050802800000366;Condominio.Unidad_Predial
1001044;470010107000000990801800000045;Condominio.Unidad_Predial
794945;470010001000000020803800001672;Condominio.Unidad_Predial
769856;470010112000000940801800000159;Condominio.Unidad_Predial
1035935;470010002000000050801800000317;Condominio.Unidad_Predial
1034506;470010001000000020802800001489;Condominio.Unidad_Predial
847658;470010001000000020802800001521;Condominio.Unidad_Predial
799864;470010002000000040801800004975;Condominio.Unidad_Predial
1026887;470010107000000990801800000049;Condominio.Unidad_Predial
1060246;470010108000000160801800000029;Condominio.Unidad_Predial
681079;470010002000000040801800003946;Condominio.Unidad_Predial
1071595;470010109000002580801800000339;Condominio.Unidad_Predial
1044462;470010001000000020802800001508;Condominio.Unidad_Predial
1024039;470010002000000040801800005007;Condominio.Unidad_Predial
679565;470010002000000060801800004605;Condominio.Unidad_Predial
907498;470010108000000160801800000027;Condominio.Unidad_Predial
1038641;470010001000000020803800001681;Condominio.Unidad_Predial
681544;470010003000000010802800004062;Condominio.Unidad_Predial
826062;470010109000001140801800000013;Condominio.Unidad_Predial
799635;470010002000000050801800000196;Condominio.Unidad_Predial
961141;470010002000000050801800000261;Condominio.Unidad_Predial
680846;470010003000000010802800004065;Condominio.Unidad_Predial
938972;470010107000000990801800000061;Condominio.Unidad_Predial
937086;470010002000000060801800004627;Condominio.Unidad_Predial
888757;470010107000000810802800000351;Condominio.Unidad_Predial
1068132;470010001000000020802800001495;Condominio.Unidad_Predial
799123;470010002000000050801800000171;Condominio.Unidad_Predial
676603;470010002000000060801800004594;Condominio.Unidad_Predial
1072132;470010107000000990801800000050;Condominio.Unidad_Predial
1039413;470010002000000050801800000295;Condominio.Unidad_Predial
670152;470010002000000050801800000319;Condominio.Unidad_Predial
1000700;470010115000006470801800000027;Condominio.Unidad_Predial
868562;470010109000002580801800000068;Condominio.Unidad_Predial
