t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
675443;470010104000000730008000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1041592;470010104000000800007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938545;470010002000000021439000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
668255;470010110000001690006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
918895;470010107000001230001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
719358;470010104000000310020000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
971126;470010116000002080003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960436;470010106000000510058000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
784929;470010102000004000034000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
962274;470010116000002110020000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960442;470010116000002100014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
865264;470010110000000650030000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
798302;470010002000000021367000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934386;470010116000002130018000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
812237;470010110000000980004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
811887;470010104000000800029000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
964138;470010109000003590007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
775167;470010110000001820015000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1022501;470010110000000960001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
959682;470010110000001820045000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
762754;470010106000001140315500000001;Parque_Cementerio.Unidad_Predial;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
795280;470010116000002100012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
665693;470010002000000020743000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
801336;470010107000000670004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1024250;470010107000000020014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
658611;470010110000000970011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938289;470010002000000066068000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
939136;470010116000002140019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934256;470010110000000250116000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
852884;470010110000001070003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1013344;470010116000002100020000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
672164;470010110000001500006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
829612;470010109000000500901900000073;PH.Unidad_Predial;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
664528;470010110000000020006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
935536;470010115000003650029000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1017166;470010110000000980009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
995779;470010107000000570014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794608;470010002000000020875000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
801561;470010107000000380801800000000;Condominio.Matriz;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
803102;470010107000000120011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
977129;470010110000000580011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
691591;470010110000002310004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
663267;470010110000002390003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1016277;470010116000002120019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1033634;470010110000000630042000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1007044;470010110000002350003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
936974;470010116000002150002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
956824;470010115000006651488000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938339;470010002000000021357000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
801342;470010104000000550019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
675549;470010110000002350004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
959710;470010110000001260031000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
932127;470010110000000660004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
921828;470010107000000230002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794668;470010107000000930031000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
751960;470010107000000590017000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
957901;470010108000000140004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1021038;470010110000000400544000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
799720;470010111000001760003500000090;Parque_Cementerio.Unidad_Predial;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
800763;470010111000000730011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
791973;470010002000000020881000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
729680;470010110000000130003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934798;470010110000002400004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1048830;470010104000000730025000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794602;470010002000000020877000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
676048;470010110000000650019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1054359;470010800000000670249000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
804269;470010104000000730014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
975140;470010002000000066060000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
818133;470010110000000110015000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
922092;470010104000000660040000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1038816;470010116000002080026000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
932022;470010002000000066070000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
762999;470010110000002500001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
697503;470010002000000021295000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1022859;470010107000001370067000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
697555;470010116000002140025000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1060371;470010110000002330005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961360;470010116000002080011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
662759;470010110000002390004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
967708;470010116000002140010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
867631;470010900000002050005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
675989;470010110000002240001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
983598;470010002000000066058000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
659916;470010110000001440008000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
828127;470010111000000750003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
680246;470010108000000110033000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
771122;470010110000002430013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666581;470010116000002090021000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
817517;470010104000000800016000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958124;470010108000000090024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
955403;470010116000002120024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961406;470010002000000021299000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1034044;470010116000002110009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1027773;470010116000002120016000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
664532;470010110000000020014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
932394;470010107000000080028000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1021814;470010111000000720010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1033623;470010110000002390006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
962147;470010111000001140059000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
774898;470010103000001710446000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1041097;470010104000000800004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
672969;470010116000002130023000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
658245;470010110000002340004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
962686;470010116000002140023000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958160;470010110000000980007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
681429;470010003000000012870000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1014510;470010107000001300060000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
959692;470010110000000440003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
764527;470010900000002050015000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
780049;470010116000002100025000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1045992;470010107000001220018000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
709340;470010107000000240005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960720;470010002000000020898000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1053816;470010002000000021293000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
953831;470010110000000790011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
817537;470010104000000550010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
713875;470010110000000250074000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
978140;470010110000000950002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666468;470010110000001480009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1056424;470010110000000570002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
959708;470010110000000910001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
694442;470010110000000650009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
858998;470010110000001260026000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
970390;470010110000001260030000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961628;470010115000006350005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
812641;470010110000000110002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
664460;470010107000000120012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938408;470010116000002110007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
910591;470010110000001690007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
991903;470010116000002110025000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
801881;470010107000000240001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1021431;470010103000002180043000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
797422;470010116000002130006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
717818;470010110000000340012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934227;470010110000001600004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961394;470010002000000021298000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
672370;470010116000002120011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1046491;470010116000002140022000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1024195;470010107000001300043000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1066517;470010110000002280012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1025044;470010104000000620009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
693372;470010111000004050006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1041022;470010108000000060007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
804239;470010104000000740004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
998709;470010002000000020893000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
932205;470010108000000190053000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
846772;470010110000002430005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1041962;470010110000002290001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
795695;470010116000002100018000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
855862;470010106000004240152000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958075;470010110000001100001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
767700;470010110000000020036000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
936361;470010116000002140013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
773725;470010003000000013884000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
935311;470010002000000020720000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1006558;470010002000000020895000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958366;470010104000000800027000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
660759;470010110000001100009000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
664401;470010108000000160005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1007681;470010116000002100022000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
865096;470010107000000020006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
713871;470010110000000260051000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958338;470010104000000800002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
900177;470010116000002130017000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
791975;470010002000000020879000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
894105;470010108000000140011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
812100;470010110000000650006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
957631;470010108000000140001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794848;470010116000002180014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
671759;470010110000000020007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938090;470010116000002110001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
686063;470010107000000570007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794741;470010110000002310002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
821243;470010107000000510001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1006461;470010110000001810010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
958586;470010110000001730001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
791256;470010110000000950010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934281;470010110000000570003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
818038;470010110000000080013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794630;470010002000000020884000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
843663;470010110000001820052000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666481;470010110000001260038000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
