t_id_predio;numero_predial;vigencia_actualizacion_catastral
721886;470010002000000070903907050139;2023-01-23
954186;470010104000000560901901060057;2023-01-04
957171;470010107000000190904901020139;2023-01-04
1064936;470010110000000730901901060096;2023-02-02
801046;470010108000000060902902090109;2023-01-04
784587;470010104000000660902901050102;2023-01-04
969109;470010107000000320901901040032;2023-01-04
749567;470010110000000400904902141176;2023-02-02
3015939;470010110000002430901901070100;2023-01-04
811046;470010110000001010025400000000;2023-01-04
694444;470010002000000070905910010181;2023-01-21
3022389;470010107000001640801800000005;2023-01-04
937446;470010108000000180903901170349;2023-01-04
931991;470010110000000490901900000046;2023-02-02
931162;470010110000001420006000000000;2023-02-02
682068;470010104000000630901901070024;2023-01-04
990888;470010108000000180902901000140;2023-01-04
748710;470010110000000400903901020310;2023-02-02
1037115;470010110000000100901901000121;2023-02-02
3024042;470010002000000076901908010157;2023-01-21
3008841;470010107000000150903901040140;2023-01-04
933289;470010108000000010901904011340;2023-01-04
929980;470010110000000250152500000003;2023-02-02
1045577;470010110000000380903901050633;2023-02-02
979728;470010110000000630901901100286;2023-02-02
1029231;470010108000000010901904081109;2023-01-04
716948;470010110000000320005901040431;2024-05-15
757353;470010110000000800901901020178;2023-02-02
721671;470010002000000070902916030312;2022-12-20
3007068;470010107000000740901901100034;2023-01-04
662212;470010107000000220905901030153;2023-01-04
3019056;470010104000000610902901040050;2023-01-04
1060394;470010110000000570902900000043;2023-02-02
3022998;470010110000000400904901000650;2023-02-02
1033259;470010110000001670901901020015;2023-02-02
1015433;470010107000000080911900000477;2023-01-04
830639;470010110000000800901901020124;2023-02-02
1049094;470010110000000630901901020168;2023-02-02
1037911;470010104000000730901901090034;2023-01-04
868377;470010104000000730901901080030;2023-01-04
3023136;470010110000000400904901000627;2023-02-02
969948;470010104000000640901901111102;2023-01-04
978477;470010110000000190901900010091;2023-02-02
968141;470010104000000540901901040205;2023-01-04
3019395;470010104000000290901901140188;2023-01-04
1048792;470010108000000060001000000000;2023-01-04
1029343;470010107000000150904901120233;2023-01-04
1066816;470010104000000280001000000000;2023-01-04
694090;470010108000000160801800000028;2023-01-04
976696;470010110000000190906900000309;2023-02-02
3025200;470010110000000400904902111149;2023-02-02
663238;470010107000000250901901060040;2023-01-04
926383;470010108000000010901901060437;2023-01-04
973109;470010107000000120902901000174;2023-01-04
3011349;470010107000000080909901010346;2023-01-04
955476;470010110000000400903901020418;2023-02-02
1024301;470010107000001210076000000000;2023-01-04
789929;470010002000000070905917010322;2023-01-21
661858;470010107000001550801800000001;2023-01-04
988866;470010110000000380903901001008;2023-02-02
1037699;470010110000000640903900010407;2023-02-02
1060218;470010104000000630901901050016;2023-01-04
722104;470010002000000070903915010281;2023-01-23
984523;470010110000000830901901131303;2023-02-02
819402;470010107000000270903901020034;2023-01-04
3007032;470010107000000310902901040046;2023-01-04
1041644;470010110000000620901901030083;2023-02-02
753747;470010104000000040012000000000;2023-01-04
1041014;470010107000001550801800000014;2023-01-04
955505;470010002000000070903910050199;2023-01-23
1025203;470010107000000190902901020033;2023-01-04
1056890;470010107000000150904901100220;2023-01-04
930632;470010110000000380901902010271;2023-02-02
989598;470010107000000190903901040088;2023-01-04
1007644;470010002000000076901904040428;2023-01-21
972521;470010107000000280903901150104;2023-01-04
1000304;470010110000000490803800000059;2023-02-02
988906;470010110000000640903900010358;2023-02-02
716310;470010110000000320005901030302;2024-05-15
3023787;470010107000000020901901010040;2023-01-04
977543;470010110000000630901901040244;2023-02-02
1044281;470010107000000120902901000130;2023-01-04
987339;470010110000000380903901001013;2023-02-02
1048714;470010002000000070903914030269;2023-01-23
988019;470010107000000610902901020056;2023-01-04
1053452;470010107000000490904901200286;2023-01-04
751767;470010110000000630901901020204;2023-02-02
972371;470010107000000180901901070024;2023-01-04
683165;470010110000001160011000000000;2023-02-02
1064262;470010107000000280902900000000;2023-01-04
1034817;470010108000000010901901040350;2023-01-04
3019344;470010107000000240901901010026;2023-01-04
974312;470010107000000150904901010252;2023-01-04
1033539;470010107000000130904901050131;2023-01-04
1067507;470010107000000570903901120216;2023-01-04
664691;470010110000000640905901010936;2023-02-02
659787;470010107000000490901901070047;2023-01-04
927663;470010107000000520901901020023;2023-01-04
964450;470010107000000410904901040112;2023-01-04
976194;470010110000000380901902030524;2023-02-02
727936;470010108000000060902902130135;2022-11-28
657982;470010002000000023292000000000;2023-01-12
1041204;470010104000000030002000000000;2023-01-04
1007782;470010002000000070902910030190;2022-12-20
1000232;470010104000000650901901030452;2023-01-04
990642;470010107000000570903901010066;2023-01-04
958913;470010108000000010901904011320;2023-01-04
959332;470010107000000200904901090094;2023-01-04
3010854;470010002000000040901901010055;2023-01-21
975741;470010110000000480904901990253;2023-02-02
965137;470010107000000490902901020008;2023-01-04
972759;470010002000000040901901050063;2023-01-21
1021073;470010107000000410904901010095;2023-01-04
688598;470010107000000490905902000644;2023-01-04
964614;470010110000000670903901130089;2023-02-02
803577;470010110000000530902901030194;2023-02-02
1064426;470010110000000710901901010055;2023-02-02
1052775;470010110000000380903901061073;2023-02-02
3015735;470010108000000010901902040334;2023-01-04
957187;470010107000000100901901010003;2023-01-04
757012;470010108000000010901904011309;2023-01-04
798383;470010110000000580901901010025;2023-02-02
3019893;470010107000000280904901010174;2023-01-04
3012060;470010107000000300903901010153;2023-01-04
945599;470010107000000150901901060060;2023-01-04
926375;470010107000000530801800000029;2023-01-04
955783;470010107000000310905901020134;2023-01-04
