t_id_predio;numero_predial;condicion_predio;tipo_predio
838444;470010110000000120016500000002;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
894740;470010106000001770002500000009;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
912217;470010105000001760073500000024;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
944143;470010116000001550001500000013;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
851958;470010113000000780125500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
712136;470010101000000120048500000008;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
826321;470010106000006400013500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
844784;470010101000000290043500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
799816;470010003000000010808500000390;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
885227;470010106000007110011500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
907824;470010103000001710225500000002;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
752172;470010003000000013105500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
931675;470010113000000120013500000004;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
893025;470010106000004470019500000028;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
867544;470010003000000040132500000003;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
914131;470010103000002420019500000035;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
750339;470010103000002250009500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
751502;470010003000000012847500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
740067;470010105000002180001500000179;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
947540;470010006000000010587500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
835027;470010112000000020003500000001;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
869160;470010105000002670001500000005;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
904835;470010103000004810012500000002;Parque_Cementerio.Unidad_Predial;Predio.Publico.Ejido
