t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
795033;470010002000000050801800000306;Condominio.Unidad_Predial;Recreacional;
799325;470010002000000030271500000010;Parque_Cementerio.Unidad_Predial;Recreacional;
965257;470010002000000050801800000245;Condominio.Unidad_Predial;Recreacional;
864541;470010003000000030119500000062;Parque_Cementerio.Unidad_Predial;Recreacional;
799635;470010002000000050801800000196;Condominio.Unidad_Predial;Recreacional;
702043;470010102000004120001000000000;NPH;Recreacional;
719249;470010107000001320022000000000;NPH;Recreacional;
827611;470010111000000720003000000000;NPH;Recreacional;
961046;470010002000000050801800000233;Condominio.Unidad_Predial;Recreacional;
686813;470010004000000020801800000260;Condominio.Unidad_Predial;Recreacional;
815220;470010008000000010185000000000;NPH;Recreacional;
663943;470010002000000050801800000298;Condominio.Unidad_Predial;Recreacional;
963823;470010004000000020197000000000;NPH;Recreacional;
703929;470010102000002570016000000000;NPH;Recreacional;
1047985;470010004000000020801800000239;Condominio.Unidad_Predial;Recreacional;
800765;470010004000000020801800000267;Condominio.Unidad_Predial;Recreacional;
765519;470010003000000030119500000035;Parque_Cementerio.Unidad_Predial;Recreacional;
932344;470010004000000020200000000000;NPH;Recreacional;
880606;470010003000000010141500000008;Parque_Cementerio.Unidad_Predial;Recreacional;
976368;470010002000000050801800000300;Condominio.Unidad_Predial;Recreacional;
795238;470010004000000020801800000263;Condominio.Unidad_Predial;Recreacional;
673865;470010002000000050801800000190;Condominio.Unidad_Predial;Recreacional;
723955;470010106000008770001000000000;NPH;Recreacional;
801449;470010003000000030119500000036;Parque_Cementerio.Unidad_Predial;Recreacional;
799147;470010004000000020801800000243;Condominio.Unidad_Predial;Recreacional;
799651;470010002000000050801800000216;Condominio.Unidad_Predial;Recreacional;
826531;470010106000005910001000000000;NPH;Recreacional;
1025913;470010001000000021379000000000;NPH;Recreacional;
715700;470010106000005840001000000000;NPH;Recreacional;
961229;470010002000000050802800000360;Condominio.Unidad_Predial;Recreacional;
986565;470010001000000022139000000000;NPH;Recreacional;
