t_id_predio;numero_predial;condicion_predio;destinacion_economica
1067713;470010104000000010901901100163;PH.Unidad_Predial;Agropecuario
985015;470010107000001290016500000001;Informal;Forestal
769581;470010107000001410020500000021;Parque_Cementerio.Unidad_Predial;Forestal
989415;470010110000000620903901050631;PH.Unidad_Predial;Forestal
799395;470010106000000060003000000000;NPH;Forestal
757014;470010107000000740901900000000;PH.Matriz;Forestal
3019002;470010104000000620901901040027;PH.Unidad_Predial;Forestal
1024821;470010107000000740901901120268;PH.Unidad_Predial;Forestal
1033848;470010107000000170903901060121;PH.Unidad_Predial;Forestal
1013644;470010115000006560901900000045;PH.Unidad_Predial;Forestal
991053;470010107000000770901901010013;PH.Unidad_Predial;Forestal
3007695;470010108000000010901901010019;PH.Unidad_Predial;Forestal
1029467;470010107000000630904901100393;PH.Unidad_Predial;Forestal
985696;470010110000001520011500000001;Informal;Forestal
3011622;470010110000000190901900010055;PH.Unidad_Predial;Forestal
1061872;470010101000001940901900000040;PH.Unidad_Predial;Forestal
660917;470010107000001320007000000000;NPH;Forestal
995196;470010106000009200017000000000;NPH;Forestal
857882;470010106000005770013500000001;Parque_Cementerio.Unidad_Predial;Forestal
768612;470010109000002010014500000005;Parque_Cementerio.Unidad_Predial;Forestal
3017991;470010110000000580902901990065;PH.Unidad_Predial;Forestal
831940;470010106000012130039500000009;Parque_Cementerio.Unidad_Predial;Forestal
1072989;470010107000000320901901030025;PH.Unidad_Predial;Forestal
1017253;470010107000000280901901060022;PH.Unidad_Predial;Forestal
1004700;470010104000001430053000000000;NPH;Forestal
968051;470010110000000380901902010065;PH.Unidad_Predial;Forestal
787217;470010109000002420001000000000;NPH;Forestal
3018924;470010107000000020901901090152;PH.Unidad_Predial;Forestal
3019380;470010107000000280904901050321;PH.Unidad_Predial;Forestal
1004397;470010104000000010901901060126;PH.Unidad_Predial;Agropecuario
797228;470010103000000980004000000000;NPH;Forestal
688893;470010106000010370012000000000;NPH;Forestal
3025029;470010107000000280904901020224;PH.Unidad_Predial;Forestal
972361;470010104000000590014000000000;NPH;Agropecuario
985838;470010107000000570903901010105;PH.Unidad_Predial;Forestal
945764;470010107000000280906901040659;PH.Unidad_Predial;Agropecuario
675746;470010110000000400903901040445;PH.Unidad_Predial;Forestal
975197;470010110000000570902900000220;PH.Unidad_Predial;Forestal
766916;470010109000001180008500000001;Parque_Cementerio.Unidad_Predial;Forestal
977540;470010108000000140902901000064;PH.Unidad_Predial;Forestal
706707;470010109000002580801800000233;Condominio.Unidad_Predial;Forestal
1024357;470010110000000620903901080659;PH.Unidad_Predial;Forestal
983686;470010107000000690907901040408;PH.Unidad_Predial;Forestal
788628;470010106000009210001000000000;NPH;Forestal
979819;470010110000000640903901010638;PH.Unidad_Predial;Forestal
967954;470010104000000650901901060478;PH.Unidad_Predial;Forestal
679851;470010115000006650903900001487;PH.Unidad_Predial;Forestal
1019221;470010106000000780004000000000;NPH;Forestal
1058733;470010106000010430043000000000;NPH;Forestal
836095;470010111000002430001500000010;Parque_Cementerio.Unidad_Predial;Forestal
