t_id_unidadconstruccion;planta_ubicacion;area_construida;area_calculada
1249116;0;65.5;65.4
1234726;3;47.2;47.1
1190915;10;97.5;97.4
1188175;0;62.3;62.2
1255816;0;86.3;86.2
1263773;0;11.3;11.2
1261756;0;37.0;37.1
1233286;1;12.0;11.8
1262957;0;76.0;75.9
1225418;0;29.0;29.4
1278660;0;40.6;40.5
1230787;3;81.1;80.3
1212568;0;3.3;3.2
1266868;5;50.9;52.6
1228429;8;88.5;85.9
1211779;0;106.0;105.8
1205154;0;59.9;59.8
1264378;0;97.2;97.1
1214847;0;57.0;56.9
1201613;0;57.8;57.7
1194579;0;10.0;10.5
1239884;5;165.8;160.7
1263143;0;81.0;80.9
1227247;1;10.4;10.3
1213830;0;110.1;110.0
1267056;0;68.3;68.2
1257517;7;238.0;233.4
1211044;0;31.5;31.4
1262464;0;51.8;51.7
1197403;0;45.0;44.9
1198317;0;90.7;90.6
1201006;1;64.4;64.3
1281850;1;55.9;705.0
1262714;0;121.7;121.5
1277355;0;19.7;19.6
1253114;17;70.5;68.5
1216088;6;37.0;37.3
1264059;0;67.2;67.1
1240373;7;98.3;99.3
1195436;0;38.0;38.4
1277970;5;88.5;88.0
1217925;1;12.0;11.5
1196389;0;100.2;100.0
1202557;0;49.0;48.5
1244961;1;46.5;46.4
1201828;0;23.1;23.0
1217864;3;59.0;58.9
1218474;1;5.2;5.4
1236274;0;65.0;64.5
1218956;16;44.9;44.8
1273769;0;48.0;47.9
1192637;0;130.6;130.5
1236550;2;55.1;54.8
1206100;0;92.5;92.3
1197104;0;75.0;74.9
1232350;0;57.0;56.9
1203710;0;42.5;42.4
1191285;0;45.0;44.9
1264440;0;12.3;12.2
1262041;0;112.0;111.8
1236831;3;4.5;4.3
1249816;0;58.1;58.0
1259714;0;35.8;35.7
1253464;1;42.0;39.2
1217309;1;10.6;11.5
1257292;0;23.0;23.4
1214072;0;72.9;72.8
1252395;2;25.2;12.0
1203639;0;49.7;49.6
1254836;0;32.7;32.6
1270697;1;47.2;47.1
1234406;1;26.1;26.5
1203063;0;150.8;150.6
