t_id_derecho;tipo_derecho;fraccion_derecho
2782558;Dominio;0.3340000000
2844072;Dominio;0.5000000000
2835653;Dominio;0.1250000000
2972053;Dominio;0.2500000000
2823067;Dominio;0.5000000000
2953963;Dominio;0.5000000000
2789162;Dominio;0.5000000000
2840123;Dominio;0.5000000000
2838442;Dominio;0.5000000000
2852806;Dominio;0.5000000000
2844610;Dominio;0.5000000000
2958265;Dominio;0.1000000000
2950253;Dominio;0.5000000000
2975534;Dominio;0.5000000000
2833101;Dominio;0.5000000000
2932152;Dominio;0.5000000000
2782576;Dominio;0.5000000000
2828706;Dominio;0.1600000000
2827068;Dominio;0.1600000000
2987850;Dominio;0.5000000000
2958279;Dominio;0.1000000000
2837860;Dominio;0.5000000000
2782557;Dominio;0.3330000000
2931635;Dominio;0.5000000000
2791477;Dominio;0.1600000000
2974430;Dominio;0.5000000000
2959824;Dominio;0.2500000000
2972601;Dominio;0.5000000000
2952441;Dominio;0.5000000000
2862200;Dominio;0.5000000000
2823061;Dominio;0.1600000000
2788098;Dominio;0.7000000000
2972859;Dominio;0.3333000000
2853106;Dominio;0.5000000000
2788345;Dominio;0.5000000000
2958289;Dominio;0.1000000000
2838453;Dominio;0.5000000000
2866913;Dominio;0.3300000000
2961074;Dominio;0.1600000000
2929979;Dominio;0.3300000000
2820267;Dominio;0.1600000000
2987945;Dominio;0.5000000000
2959811;Dominio;0.2500000000
2824479;Dominio;0.1600000000
2859501;Dominio;0.5000000000
2852720;Dominio;0.5000000000
2852694;Dominio;0.5000000000
2837557;Dominio;0.6750000000
2835369;Dominio;0.3300000000
2787293;Dominio;0.5000000000
2931410;Dominio;0.5000000000
2866350;Dominio;0.5000000000
2795965;Dominio;0.5000000000
2838301;Dominio;0.0500000000
2786039;Dominio;0.5000000000
2852054;Dominio;0.5000000000
2962326;Dominio;0.5000000000
2961058;Dominio;0.1600000000
2958280;Dominio;0.1000000000
2788075;Dominio;0.5000000000
2838487;Dominio;0.0110000000
2831688;Dominio;0.1600000000
2933598;Dominio;0.5000000000
2847662;Dominio;0.9583300000
2796731;Dominio;0.5000000000
2788064;Dominio;0.2500000000
2931423;Dominio;0.5000000000
2945365;Dominio;0.5000000000
2941118;Dominio;0.5000000000
2824476;Dominio;0.1600000000
2830622;Dominio;0.1600000000
2788351;Dominio;0.1150000000
2958437;Dominio;0.3300000000
2795979;Dominio;0.2500000000
2863093;Dominio;0.5000000000
2959031;Dominio;0.2500000000
2787296;Dominio;0.5000000000
2786068;Dominio;0.1600000000
2824424;Dominio;0.1600000000
2782573;Dominio;0.3340000000
2929952;Dominio;0.3300000000
2826940;Dominio;0.5000000000
2817486;Dominio;0.1600000000
2930447;Dominio;0.3300000000
2782586;Dominio;0.5000000000
2971330;Dominio;0.5000000000
2958251;Dominio;0.2500000000
2848050;Dominio;0.5000000000
2846586;Dominio;0.1666000000
2845084;Dominio;0.5000000000
2788324;Dominio;0.1600000000
2835677;Dominio;0.5000000000
2845333;Dominio;0.5000000000
2827075;Dominio;0.1600000000
2838431;Dominio;0.5000000000
2789339;Dominio;0.5000000000
2930927;Dominio;0.5000000000
2987821;Dominio;0.5000000000
2818129;Dominio;0.1600000000
2835380;Dominio;0.5000000000
2812121;Dominio;0.5000000000
2978683;Dominio;0.2000000000
2959488;Dominio;0.5000000000
2845103;Dominio;0.3300000000
2782555;Dominio;0.2500000000
2970272;Dominio;0.2500000000
2959813;Dominio;0.2500000000
2831041;Dominio;0.1600000000
2832247;Dominio;0.5000000000
2927644;Dominio;0.5000000000
2875226;Dominio;0.5000000000
2777810;Dominio;0.5000000000
2816802;Dominio;0.1600000000
2886428;Dominio;0.5000000000
2822847;Dominio;0.1600000000
2782564;Dominio;0.5000000000
2972234;Dominio;0.5000000000
2954015;Dominio;0.5000000000
2845337;Dominio;0.5000000000
2777833;Dominio;0.5000000000
2967389;Dominio;0.5000000000
2782594;Dominio;0.5000000000
2930940;Dominio;0.5000000000
2839269;Dominio;0.3300000000
2938952;Dominio;0.5000000000
2795957;Dominio;0.5000000000
2959838;Dominio;0.5000000000
2785625;Dominio;0.5000000000
2820020;Dominio;0.1600000000
2835667;Dominio;0.5000000000
2832333;Dominio;0.5000000000
2831965;Dominio;0.1600000000
2787294;Dominio;0.5000000000
2968782;Dominio;0.5000000000
2808746;Dominio;0.2500000000
2817485;Dominio;0.1600000000
2959819;Dominio;0.2500000000
2852872;Dominio;0.2000000000
2844038;Dominio;0.0830000000
2833102;Dominio;0.5000000000
2844759;Dominio;0.5000000000
2954886;Dominio;0.1000000000
2840122;Dominio;0.5000000000
2832317;Dominio;0.2000000000
2788336;Dominio;0.5000000000
2847518;Dominio;0.1700000000
2829999;Dominio;0.5000000000
2828984;Dominio;0.5000000000
2787767;Dominio;0.5000000000
2930939;Dominio;0.5000000000
2925724;Dominio;0.5000000000
2835136;Dominio;0.5000000000
2863051;Dominio;0.3400000000
2813368;Dominio;0.1600000000
2792857;Dominio;0.5000000000
2987863;Dominio;0.5000000000
2845007;Dominio;0.5000000000
2987834;Dominio;0.5000000000
2959807;Dominio;0.2500000000
2839360;Dominio;0.5000000000
2792684;Dominio;0.5000000000
2785711;Dominio;0.5000000000
2835655;Dominio;0.1250000000
2785858;Dominio;0.5000000000
2782764;Dominio;0.5000000000
2875313;Dominio;0.5000000000
2806573;Dominio;0.1600000000
2939879;Dominio;0.5000000000
2838473;Dominio;0.0110000000
2979107;Dominio;0.5000000000
2844519;Dominio;0.3300000000
2966124;Dominio;0.5000000000
2818127;Dominio;0.1600000000
2845283;Dominio;0.5000000000
2791531;Dominio;0.2500000000
2845317;Dominio;0.5000000000
2958278;Dominio;0.1000000000
2987833;Dominio;0.5000000000
2932142;Dominio;0.5000000000
2959029;Dominio;0.2500000000
2837544;Dominio;0.5000000000
2961064;Dominio;0.2500000000
2931443;Dominio;0.5000000000
2930938;Dominio;0.5000000000
2790836;Dominio;0.1600000000
2975773;Dominio;0.5000000000
2941937;Dominio;0.5000000000
2926302;Dominio;0.5000000000
2789132;Dominio;0.5000000000
2781836;Dominio;0.3330000000
2781013;Dominio;0.5000000000
2794538;Dominio;0.3850000000
2852695;Dominio;0.5000000000
2958284;Dominio;0.1000000000
2838663;Dominio;0.5000000000
2954013;Dominio;0.5000000000
2796398;Dominio;0.3340000000
2845414;Dominio;0.5000000000
2833354;Dominio;0.5000000000
2834921;Dominio;0.5000000000
2958242;Dominio;0.5000000000
2781200;Dominio;0.5000000000
2838423;Dominio;0.1250000000
2830763;Dominio;0.5000000000
2835628;Dominio;0.5000000000
2823143;Dominio;0.1600000000
2852873;Dominio;0.2000000000
2821981;Dominio;0.1600000000
2959821;Dominio;0.2500000000
2808166;Dominio;0.1600000000
2959803;Dominio;0.2500000000
2788359;Dominio;0.5000000000
2959808;Dominio;0.2500000000
2860057;Dominio;0.5000000000
2958286;Dominio;0.1000000000
2969047;Dominio;0.5000000000
2987920;Dominio;0.5000000000
2828699;Dominio;0.1600000000
2931445;Dominio;0.5000000000
2931406;Dominio;0.5000000000
2795923;Dominio;0.5000000000
2931416;Dominio;0.2500000000
2969763;Dominio;0.5000000000
2847520;Dominio;0.1600000000
2788353;Dominio;0.2300000000
2819614;Dominio;0.1600000000
2974656;Dominio;0.5000000000
2827069;Dominio;0.1600000000
2831690;Dominio;0.1600000000
2827651;Dominio;0.1600000000
2826932;Dominio;0.5000000000
2838661;Dominio;0.5000000000
2825259;Dominio;0.5000000000
2787292;Dominio;0.2500000000
2852192;Dominio;0.5000000000
2835651;Dominio;0.1250000000
2831974;Dominio;0.1600000000
2931414;Dominio;0.2500000000
2835656;Dominio;0.1250000000
2828707;Dominio;0.1600000000
2845522;Dominio;0.5000000000
2959033;Dominio;0.2500000000
2832997;Dominio;0.2000000000
2929985;Dominio;0.3300000000
2788817;Dominio;0.5000000000
2961103;Dominio;0.5000000000
2978966;Dominio;0.5000000000
2958281;Dominio;0.5000000000
2786040;Dominio;0.5000000000
2959042;Dominio;0.2500000000
2973616;Dominio;0.5000000000
2804806;Dominio;0.1600000000
2852696;Dominio;0.3300000000
2959815;Dominio;0.2500000000
2859946;Dominio;0.5000000000
2844848;Dominio;0.3334000000
2962355;Dominio;0.5000000000
2948479;Dominio;0.5000000000
2931398;Dominio;0.5000000000
2852808;Dominio;0.1250000000
2786059;Dominio;0.3300000000
2942868;Dominio;0.5000000000
2930445;Dominio;0.5000000000
2964468;Dominio;0.5000000000
2932066;Dominio;0.5000000000
2930427;Dominio;0.5000000000
2844951;Dominio;0.5000000000
2835141;Dominio;0.3300000000
2787543;Dominio;0.1600000000
2863080;Dominio;0.5000000000
2954389;Dominio;0.1000000000
2835381;Dominio;0.5000000000
2787280;Dominio;0.5000000000
2974726;Dominio;0.5000000000
2852184;Dominio;0.2500000000
2777989;Dominio;0.0830000000
2875307;Dominio;0.5000000000
2942267;Dominio;0.5000000000
2973730;Dominio;0.5000000000
2836891;Dominio;0.2500000000
2835666;Dominio;0.5000000000
2796730;Dominio;0.5000000000
2847630;Dominio;0.0416700000
2958287;Dominio;0.1000000000
2959816;Dominio;0.2500000000
2875267;Dominio;0.5000000000
2835654;Dominio;0.1250000000
2838441;Dominio;0.5000000000
2797062;Dominio;0.1600000000
2772218;Dominio;0.3300000000
2930971;Dominio;0.5000000000
2863402;Dominio;0.5000000000
2987914;Dominio;0.5000000000
2785448;Dominio;0.3330000000
2786058;Dominio;0.3400000000
2843721;Dominio;0.0830000000
2838488;Dominio;0.0110000000
2787500;Dominio;0.1600000000
2780858;Dominio;0.5000000000
2875268;Dominio;0.5000000000
2969317;Dominio;0.2500000000
2954120;Dominio;0.5000000000
2958240;Dominio;0.5000000000
2831958;Dominio;0.1600000000
2958288;Dominio;0.1000000000
2852859;Dominio;0.5000000000
2852001;Dominio;0.5000000000
2959038;Dominio;0.5000000000
2847322;Dominio;0.2500000000
2956315;Dominio;0.5000000000
2852296;Dominio;0.1660000000
2952491;Dominio;0.5000000000
2954119;Dominio;0.5000000000
2794907;Dominio;0.5000000000
2975854;Dominio;0.5000000000
2848009;Dominio;0.5000000000
2958256;Dominio;0.1200000000
2844505;Dominio;0.3400000000
2967436;Dominio;0.5000000000
2958276;Dominio;0.1000000000
2792778;Dominio;0.5000000000
2971620;Dominio;0.5000000000
2831963;Dominio;0.1600000000
2987941;Dominio;0.2500000000
2796700;Dominio;0.5000000000
2852188;Dominio;0.1660000000
2789101;Dominio;0.5000000000
2953798;Dominio;0.5000000000
2818827;Dominio;0.1600000000
2795967;Dominio;0.5000000000
2961046;Dominio;0.5000000000
2959806;Dominio;0.2500000000
2812258;Dominio;0.1600000000
2831964;Dominio;0.1600000000
2835658;Dominio;0.1250000000
2867431;Dominio;0.5000000000
2830489;Dominio;0.5000000000
2789040;Dominio;0.5000000000
2959081;Dominio;0.5000000000
2788368;Dominio;0.5000000000
2852805;Dominio;0.5000000000
2835652;Dominio;0.1250000000
2845130;Dominio;0.5000000000
2831961;Dominio;0.1600000000
2852193;Dominio;0.5000000000
2847514;Dominio;0.0800000000
2829011;Dominio;0.5000000000
2818759;Dominio;0.1600000000
2780859;Dominio;0.5000000000
2831960;Dominio;0.1600000000
2781855;Dominio;0.5000000000
2852453;Dominio;0.1660000000
2807048;Dominio;0.1600000000
2875272;Dominio;0.5000000000
2831039;Dominio;0.1600000000
2932061;Dominio;0.5000000000
2785856;Dominio;0.5000000000
2837546;Dominio;0.5000000000
2823407;Dominio;0.1600000000
2781841;Dominio;0.3330000000
2777868;Dominio;0.5000000000
2845068;Dominio;0.5000000000
2987845;Dominio;0.5000000000
2844674;Dominio;0.5000000000
2818828;Dominio;0.1600000000
2960221;Dominio;0.5000000000
2782734;Dominio;0.5000000000
2860044;Dominio;0.5000000000
2845290;Dominio;0.5000000000
2852183;Dominio;0.2500000000
2817655;Dominio;0.1600000000
2948478;Dominio;0.5000000000
2958259;Dominio;0.1200000000
2848008;Dominio;0.5000000000
2845150;Dominio;0.3400000000
2820118;Dominio;0.1600000000
2958876;Dominio;0.5000000000
2987832;Dominio;0.5000000000
2958874;Dominio;0.5000000000
2927485;Dominio;0.5000000000
2959028;Dominio;0.2500000000
2958253;Dominio;0.2500000000
2792831;Dominio;0.5000000000
2785205;Dominio;0.5000000000
2852060;Dominio;0.3300000000
2851285;Dominio;0.5000000000
2844040;Dominio;0.0830000000
2887473;Dominio;0.5000000000
2931403;Dominio;0.5000000000
2846717;Dominio;0.5000000000
2959484;Dominio;0.5000000000
2785626;Dominio;0.5000000000
2954921;Dominio;0.5000000000
2852295;Dominio;0.1660000000
2980160;Dominio;0.5000000000
2966113;Dominio;0.5000000000
2796392;Dominio;0.3340000000
2930963;Dominio;0.5000000000
2816801;Dominio;0.1600000000
2794883;Dominio;0.5000000000
2818760;Dominio;0.1600000000
2959026;Dominio;0.2500000000
2852794;Dominio;0.5000000000
2832347;Dominio;0.2000000000
2965627;Dominio;0.0830000000
2785724;Dominio;0.5000000000
2931397;Dominio;0.5000000000
2847664;Dominio;0.0416700000
2782565;Dominio;0.5000000000
2968271;Dominio;0.5000000000
2845416;Dominio;0.5000000000
2979512;Dominio;0.5000000000
2956850;Dominio;0.5000000000
2958261;Dominio;0.1200000000
2958285;Dominio;0.1000000000
2835676;Dominio;0.5000000000
2958436;Dominio;0.3300000000
2815685;Dominio;0.1600000000
2788094;Dominio;0.5000000000
2972797;Dominio;0.5000000000
2957113;Dominio;0.3330000000
2788216;Dominio;0.1600000000
2786188;Dominio;0.5000000000
2808758;Dominio;0.2500000000
2777822;Dominio;0.5000000000
2831954;Dominio;0.1600000000
2875285;Dominio;0.5000000000
2789345;Dominio;0.5000000000
2835694;Dominio;0.3300000000
2987916;Dominio;0.5000000000
2863053;Dominio;0.0166000000
2818758;Dominio;0.1600000000
2784371;Dominio;0.5000000000
2926633;Dominio;0.5000000000
2846139;Dominio;0.5000000000
2846980;Dominio;0.5000000000
2954390;Dominio;0.1000000000
2793201;Dominio;0.1600000000
2930966;Dominio;0.5000000000
2796155;Dominio;0.5000000000
2781856;Dominio;0.3340000000
2847323;Dominio;0.2500000000
2959498;Dominio;0.5000000000
2954405;Dominio;0.5000000000
2931402;Dominio;0.5000000000
2931428;Dominio;0.5000000000
2957984;Dominio;0.3330000000
2945362;Dominio;0.5000000000
2787145;Dominio;0.1600000000
2987926;Dominio;0.5000000000
2843142;Dominio;0.5000000000
2863094;Dominio;0.5000000000
2833674;Dominio;0.6150000000
2787399;Dominio;0.3000000000
2974522;Dominio;0.5000000000
2852871;Dominio;0.2000000000
2785829;Dominio;0.3340000000
2968125;Dominio;0.5000000000
2873694;Dominio;0.3300000000
2960222;Dominio;0.5000000000
2837553;Dominio;0.5000000000
2842315;Dominio;0.0830000000
2789103;Dominio;0.5000000000
2845096;Dominio;0.3300000000
2832649;Dominio;0.5000000000
2966627;Dominio;0.5000000000
