t_id_predio;numero_predial;fecha_inicio_tenencia;fecha_documento_fuente
968054;470010106000000560901904050231;2022-02-09;2022-02-14
722638;470010002000000070905903030051;2022-06-24;2022-09-12
698750;470010106000000560901901070055;2022-01-07;2022-04-08
992356;470010002000000070902912010221;2022-05-02;2022-08-01
3014310;470010106000000560901904010198;2022-02-09;2022-02-14
668213;470010002000000070905915020288;2021-08-30;2021-09-13
694444;470010002000000070905910010181;2022-06-24;2022-10-07
721890;470010002000000070903908010141;2021-09-16;2021-10-27
659513;470010002000000070903924020468;2021-11-18;2021-12-20
1046697;470010002000000070902915030289;2021-11-23;2022-01-28
687238;470010002000000076901908010155;2019-05-30;2020-11-24
964245;470010002000000070905927050539;2021-08-30;2021-09-13
715742;470010002000000070903915050298;2021-07-15;2021-08-13
1024131;470010002000000070905918030351;2022-05-13;2022-07-29
938508;470010002000000070905920030389;2022-07-28;2022-10-27
787985;470010002000000076901901020220;2019-11-26;2020-11-24
668176;470010002000000070905905040093;2022-03-29;2022-06-23
726906;470010002000000076901905030482;2019-07-15;2020-11-24
659667;470010002000000070905907020125;2021-08-30;2021-09-13
3014187;470010002000000076901908010131;2019-11-08;2020-11-24
667470;470010002000000070902910010181;2022-02-16;2022-06-14
974996;470010106000000560901902060108;2021-12-06;2022-04-08
1040716;470010002000000070905923040454;2022-09-07;2022-10-31
3016371;470010002000000076901901010216;2020-03-04;2020-11-24
800319;470010002000000070905910050198;2022-05-27;2022-08-01
664334;470010002000000070905917010324;2021-08-30;2021-09-13
720397;470010002000000070902903050057;2022-02-16;2022-06-28
678125;470010106000000560901902080125;2021-11-17;2022-04-08
938211;470010002000000070905904050077;2022-05-19;2022-09-27
659729;470010002000000070903919030372;2021-08-24;2021-09-30
1070134;470010002000000076901905040491;2020-02-06;2020-11-24
821797;470010106000000560901901060042;2022-02-11;2022-04-08
788842;470010002000000070903903040053;2021-08-13;2021-09-15
999950;470010002000000076901903080396;2019-05-02;2020-11-24
659973;470010002000000070903903050058;2021-09-09;2021-10-15
1060088;470010002000000070905924040473;2022-09-30;2022-11-16
659743;470010002000000070903923010444;2021-12-13;2022-02-10
3014982;470010002000000040901901050064;2016-12-20;2016-12-23
1064144;470010002000000070903907040134;2021-08-26;2021-10-07
722636;470010002000000070905903020048;2022-06-07;2022-09-12
