t_id_predio;t_id_terreno_1;t_id_terreno_2
1015970;1117544;1112601
1061988;1079916;1142680
938633;1092836;1112730
750021;1112390;1161509
683230;1092472;1129194
924440;1164827;1074472
883856;1139304;1107683
920037;1117071;1142580
741474;1112010;1106852
1058751;1112688;1178892
806002;1094758;1133960
682983;1143154;1126588
860890;1112576;1146490
844378;1106778;1082456
942532;1115292;1116684
1071035;1123693;1133960
719415;1140393;1165589
963480;1138085;1082780
770335;1078930;1138944
722658;1170155;1133960
739330;1160423;1173691
860681;1158453;1118742
743471;1140393;1150723
1025692;1106186;1125108
690445;1179127;1140393
1055173;1165780;1134498
778421;1163254;1178832
918373;1139304;1136044
1039912;1125183;1159236
937672;1097696;1113883
933012;1077428;1112448
961582;1164881;1112730
909864;1126016;1149848
749858;1112005;1075003
1006372;1152515;1179332
770291;1173292;1082429
905611;1115702;1112218
823355;1107720;1075577
783617;1124030;1139304
770291;1093779;1082429
733163;1111695;1134735
3011541;1113598;1112309
750726;1092017;1112644
740545;1111981;1126783
937370;1127769;1170588
744916;1112208;1126728
997975;1174045;1082429
751486;1119521;1111248
803032;1124566;1076187
683322;1083624;1144664
865726;1133910;1176383
1056125;1082429;1123924
974549;1175270;1112283
997260;1128500;1132628
690445;1165977;1140393
751049;1104966;1112489
798720;1077390;1111284
674585;1173770;1161955
852042;1082322;1112572
778200;1167664;1127320
871567;1112891;1091187
772564;1171443;1087855
732987;1111686;1133039
1034267;1153515;1159292
679435;1172590;1112644
841201;1168437;1114565
1071035;1133960;1076893
931844;1112465;1169074
964804;1093383;1148149
804443;1112068;1099911
839157;1110275;1113004
925303;1107760;1105446
1052009;1075953;1112339
860886;1088283;1112448
666101;1126231;1143547
978670;1146337;1143507
738855;1111925;1152236
686385;1100018;1117071
769818;1082429;1125420
748532;1082602;1111269
995586;1132839;1163575
786857;1078352;1130128
797395;1111229;1111230
1039235;1139304;1073573
975144;1112450;1177217
910246;1129924;1172635
716521;1127351;1109341
717202;1159443;1115429
796913;1124643;1101184
980419;1082429;1095394
751488;1112579;1103373
751078;1111253;1090438
906256;1153587;1124805
762842;1108032;1140393
1050385;1155364;1178372
733371;1157965;1111712
716485;1170575;1097696
697800;1112002;1139213
670041;1152618;1129510
691154;1139690;1112218
798563;1088776;1112579
839375;1087506;1111228
3022089;1103470;1112309
717870;1090244;1173164
694456;1112309;1082142
752340;1159516;1112595
948829;1127763;1125811
1045168;1111933;1142782
1055135;1158582;1173770
722762;1082639;1157007
770291;1082429;1106059
942452;1145194;1081406
1039473;1124566;1117120
677000;1092799;1111237
657817;1073340;1174598
774186;1173520;1134398
769605;1136729;1144612
721491;1112420;1107401
750444;1112434;1163685
854202;1159027;1165614
832271;1125492;1116831
730252;1117414;1111351
1065672;1133202;1111501
1015634;1132209;1179355
770291;1118170;1082429
1050816;1093357;1111331
1058769;1141101;1112712
909948;1116831;1162536
961183;1157408;1112551
811990;1083947;1098323
749860;1174882;1111447
690445;1134973;1140393
770291;1143719;1082429
983020;1124492;1175892
956560;1089697;1140393
796469;1153207;1125328
798805;1094075;1098942
783089;1144786;1112448
1023730;1128076;1093574
770291;1085105;1082429
828917;1169906;1125077
1031457;1144764;1176748
899228;1112650;1112647
750384;1156991;1111247
751258;1112543;1129499
917448;1151210;1082104
937525;1152596;1135547
912876;1113320;1139304
750484;1073209;1112448
1055575;1112729;1169602
888543;1114826;1112324
751486;1111248;1103797
714851;1100133;1100825
771811;1090714;1079184
716607;1145486;1139304
713624;1116823;1091379
778401;1117527;1171443
1052128;1092836;1112730
844378;1082456;1106778
796967;1120371;1118394
744067;1140562;1138083
955591;1090714;1118442
736300;1111825;1119269
773510;1090269;1168895
937581;1112384;1117492
924045;1143188;1112644
839375;1111228;1152867
751486;1111248;1083045
751486;1111248;1151326
841781;1139304;1152833
834354;1096856;1133960
883856;1139304;1113823
770291;1075886;1082429
1071035;1133960;1083106
731065;1101274;1090755
679555;1112409;1100014
983799;1107760;1092075
751400;1081462;1112567
1043580;1112289;1153255
1058777;1112729;1112893
1071944;1172738;1115783
831866;1116831;1172310
830441;1112345;1079739
851182;1164788;1118918
941363;1120322;1083465
918008;1090263;1084129
723979;1111290;1111306
732049;1112293;1103440
667117;1163363;1075412
839688;1165248;1125567
928747;1133960;1113400
959663;1112729;1176997
3010677;1112309;1123879
713624;1091379;1088022
870429;1091187;1133093
837144;1111229;1126879
918121;1122727;1140393
749487;1112333;1145617
725026;1111245;1103083
807073;1150463;1118321
796913;1124643;1096502
854202;1159027;1137694
750726;1112644;1176804
3022488;1148550;1112309
727458;1176440;1092289
1033123;1083220;1164221
1026539;1139304;1146513
866686;1133960;1170981
1071035;1167662;1133960
723504;1112429;1107506
938500;1174781;1162818
810989;1142941;1112633
926228;1138270;1152515
747514;1112266;1105747
730103;1148420;1170059
1044585;1131109;1164011
869935;1099258;1173770
770291;1082429;1088993
733695;1140393;1131789
881064;1120322;1112546
843563;1120379;1115523
910009;1116831;1074589
981383;1112531;1175843
896399;1077631;1153178
738980;1129167;1091379
828867;1122178;1149848
