t_id_predio;numero_predial;matricula_inmobiliaria
844372;470010102000001650018000000000;01003560037864
842144;470010109000001540019000000000;01012350031559
762138;470010102000002070023000000000;0100750001653
711778;470010105000002270022000000000;01010417055673
830555;470010112000000090002000000000;01104450001569
712644;470010800000000660002000000000;02010232002461
807853;470010102000002530023000000000;0101880022648
766125;470010900000000900004000000000;01010337033372
897684;470010109000001440005000000000;0101235031559
903702;470010102000001630004000000000;0200060042672
728382;470010109000001540018000000000;01012350021559
712223;470010001000000021277500000002;080-110753
866469;470010101000001710017000000000;00202090001849
1054885;470010113000000780048000000000;0890-137608
882232;470010104000000390012000000000;01010220002574
858069;470010102000000630014000000000;020300600005256
764439;470010107000001370002000000000;01020181057866
805253;470010102000000340009000000000;0202610036163
789326;470010106000001800005000000000;01020080559071
840348;470010102000000880009000000000;00101140011468
701123;470010103000003010006000000000;010300940014254
844185;470010103000002040002000000000;00201780104965
845565;470010101000000290010000000000;010257980535220858
857130;470010105000002150031000000000;020201470054772
