t_id_predio;numero_predial;municipio
731287;470010002000000021901901040406;1
729553;470010002000000021901901050501;1
730236;470010002000000021901901030311;1
730297;470010002000000021901901040401;1
730116;470010002000000021901901030310;1
731403;470010002000000021901901040407;1
795164;470010110000000630057000000000;1
729854;470010002000000021901901020206;1
1062030;470010110000000630056000000000;1
717956;470010101000001440902900000000;1
1058821;470010101000001840901900000000;1
731013;470010002000000021901901040405;1
730505;470010002000000021901901040402;1
1050691;470010109000003670901900000000;1
1058817;470010101000001650901900000000;1
748637;470010002000000030110000000000;1
728789;470010002000000021901901020201;1
748589;470010002000000012543000000000;1
728186;470010110000000630353000000000;1
728745;470010002000000021901901010111;1
694456;1151_345_C;001
660560;470010002000000021901901020210;1
747711;470010109000003680901900000000;1
749443;956_8_A;001
728747;470010002000000021901901030303;1
728244;470010110000001590901900000095;1
729271;470010002000000021901901050511;1
729174;470010002000000021901901020211;1
1062133;470010110000000630054000000000;1
730935;470010002000000021901901050509;1
730333;470010002000000021901901050506;1
728793;470010002000000021901901030304;1
1058819;470010101000001840902900000000;1
729372;470010002000000021901901020204;1
723979;470010110000000630356000000000;1
744450;470010110000000630052000000000;1
729370;470010002000000021901901030301;1
729509;470010002000000021901901020205;1
729178;470010002000000021901901030305;1
801320;470010101000000850029000000000;1
730507;470010002000000021901901050507;1
728246;470010110000000380905900001362;1
1062209;470010110000000630058000000000;1
729856;470010002000000021901901030308;1
1073052;470010002000000021901901040411;1
728234;470010110000000580901900000020;1
729218;470010002000000021901901040408;1
748538;470010002000000039015000000000;1
730624;470010002000000021901901050508;1
748587;470010002000000039010000000000;1
748534;470010002000000039013000000000;1
748639;470010002000000022533000000000;1
995022;470010110000000630051000000000;1
744128;470010110000000630050000000000;1
729931;470010002000000021901901030309;1
730931;470010002000000021901901040404;1
729555;470010002000000021901901030302;1
729412;470010002000000021901901040409;1
722064;470010109000004170021000000000;1
729933;470010002000000021901901020207;1
730622;470010002000000021901901040403;1
744234;470010110000000630055000000000;1
774312;470010109000004190010000000000;1
728242;470010110000001590901900000103;1
728651;470010002000000021901901020208;1
731053;470010002000000021901901050510;1
730234;470010002000000021901901050505;1
748635;470010002000000039016000000000;1
729551;470010002000000021901901030307;1
748536;470010002000000039017000000000;1
669256;470010110000000630053000000000;1
748585;470010002000000039011000000000;1
748532;470010002000000039018000000000;1
921746;470010109000003600134000000000;1
729852;470010002000000021901901050502;1
729083;470010002000000021901901020202;1
801318;470010101000000850030000000000;1
728252;470010110000000300005500000031;1
1052128;470010001000000022546000000000;1
730118;470010002000000021901901050504;1
729408;470010002000000021901901030306;1
729981;470010002000000021901901050503;1
728155;470010110000000630355000000000;1
728791;470010002000000021901901020209;1
729176;470010002000000021901901020203;1
728210;470010110000000630354000000000;1
710928;470010002000000020078000000000;1
743959;470010110000000630049000000000;1
726625;470010002000000021901901010110;1
729220;470010002000000021901901040410;1
