t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
872134;470010104000000280004000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
1020683;470010107000000220007000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
1025320;470010104000000030010000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
943612;470010104000000280005000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
943918;470010104000000030011000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
1032796;470010104000000330014000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
947378;470010104000000280007000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
971819;470010106000006180002500000001;Parque_Cementerio.Unidad_Predial;Infraestructura_Transporte;Predio.Publico.Ejido
659789;470010104000000010001000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
967150;470010104000000280003000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
1052618;470010104000000280006000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
888743;470010104000000020001000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
1073054;470010002000000067059000000000;NPH;Infraestructura_Transporte;Predio.Publico.Uso_Publico
971601;470010104000000300012000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
731371;470010104000000170008000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
822396;470010106000008080025000000000;NPH;Infraestructura_Transporte;Predio.Publico.Ejido
