t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1276573;67642;Residencial;Residencial.Garajes_Cubiertos;1
1199951;66258;Residencial;Residencial.Garajes_Cubiertos;1
1187949;49001;Residencial;Residencial.Garajes_Cubiertos;1
1268153;76043;Residencial;Residencial.Garajes_En_PH;2
1239788;81178;Residencial;Residencial.Garajes_En_PH;2
1269369;69783;Residencial;Residencial.Garajes_Cubiertos;1
1189212;63575;Residencial;Residencial.Garajes_Cubiertos;1
1210023;60013;Residencial;Residencial.Depositos_Lockers;3
1194027;57925;Residencial;Residencial.Salon_Comunal;1
1252444;74348;Residencial;Residencial.Garajes_En_PH;2
1195814;69084;Residencial;Residencial.Depositos_Lockers;1
1272636;73346;Residencial;Residencial.Garajes_En_PH;2
1208157;72480;Residencial;Residencial.Garajes_Cubiertos;1
1215485;84613;Residencial;Residencial.Garajes_En_PH;2
1263404;16220;Residencial;Residencial.Garajes_Cubiertos;1
1271969;70959;Residencial;Residencial.Garajes_Cubiertos;1
1246517;74682;Residencial;Residencial.Garajes_En_PH;2
1199493;72081;Residencial;Residencial.Garajes_Cubiertos;1
1242996;46989;Residencial;Residencial.Salon_Comunal;2
1264371;56184;Residencial;Residencial.Garajes_Cubiertos;1
1234836;50185;Residencial;Residencial.Salon_Comunal;1
1274264;78962;Residencial;Residencial.Garajes_En_PH;2
1215464;84600;Residencial;Comercial.Hoteles;2
1235269;64812;Residencial;Residencial.Depositos_Lockers;1
1201148;80995;Residencial;Residencial.Garajes_Cubiertos;1
1230416;54148;Residencial;Residencial.Garajes_En_PH;2
1232888;82946;Residencial;Residencial.Garajes_En_PH;2
1242963;54206;Residencial;Residencial.Garajes_En_PH;2
1192720;49002;Residencial;Residencial.Garajes_Cubiertos;2
1211465;47949;Residencial;Residencial.Garajes_Cubiertos;1
1249165;59620;Residencial;Residencial.Salon_Comunal;3
1210544;55951;Residencial;Residencial.Garajes_Cubiertos;1
1256884;49002;Residencial;Residencial.Garajes_Cubiertos;2
1268183;81531;Residencial;Residencial.Garajes_En_PH;2
1204810;66134;Residencial;Residencial.Garajes_Cubiertos;1
