t_id_copropiedad;t_id_unidadpredial;t_id_prediomatriz;coeficiente
3017828;3017826;1033788;0.0000000000
973179;973177;718273;0.0000000000
3018869;3018867;995781;0.0000000000
3022640;3022638;1033788;0.0000000000
3013367;3013365;1033788;0.0000000000
3022691;3022689;1033788;0.0000000000
3024530;3024528;1048856;0.0000000000
3021419;3021417;1041657;0.0000000000
1049493;1049491;1048856;0.0000000000
1067660;1067658;940188;0.0000000000
3024602;3024600;1033788;0.0000000000
3022091;3022089;1033788;0.0000000000
3013892;3013890;1033788;0.0000000000
3022070;3022068;1048856;0.0000000000
3021056;3021054;1033788;0.0000000000
3017738;3017736;1041657;0.0000000000
3022982;3022980;1048856;0.0000000000
1049490;1049488;1048856;0.0000000000
3012836;3012834;1048856;0.0000000000
3022184;3022182;1033788;0.0000000000
3011573;3011571;1033788;0.0000000000
3010103;3010101;958856;0.0000000000
3023348;3023346;1033788;0.0000000000
1067488;1067486;1033788;0.0000000000
1060172;1060170;1056438;0.0000000000
987068;987066;940188;0.0000000000
3022490;3022488;1033788;0.0000000000
3020324;3020322;995781;0.0000000000
3014072;3014070;1033788;0.0000000000
1065077;1065075;1033788;0.0000000000
3022919;3022917;1033788;0.0000000000
3024776;3024774;1048856;0.0000000000
974938;974936;815406;0.0000000000
3013685;3013683;1033788;0.0000000000
3023141;3023139;1048856;0.0000000000
3022400;3022398;1033788;0.0000000000
3022202;3022200;1048856;0.0000000000
3008129;3008127;1033788;0.0000000000
3023387;3023385;1048856;0.0000000000
3021182;3021180;1033788;0.0000000000
3022739;3022737;1048856;0.0000000000
3021371;3021369;1033788;0.0000000000
1053304;1053302;1033788;0.0000000000
1025169;1025167;940188;0.0000000000
3017930;3017928;1033788;0.0000000000
3012611;3012609;1033788;0.0000000000
3022661;3022659;1033788;0.0000000000
3010091;3010089;1033788;0.0000000000
1046722;1046720;995781;0.0000000000
1048834;1048832;995781;0.0000000000
3023504;3023502;1033788;0.0000000000
3021935;3021933;1033788;0.0000000000
3021752;3021750;1033788;0.0000000000
3018131;3018129;1048856;0.0000000000
3023426;3023424;1041657;0.0000000000
3021215;3021213;1033788;0.0000000000
995785;995781;995781;0.0000000000
3021188;3021186;1033788;0.0000000000
3010676;3010674;1033788;0.0000000000
3007922;3007920;1048856;0.0000000000
3021548;3021546;1048856;0.0000000000
1046717;1046715;1033788;0.0000000000
991831;991829;940188;0.0000000000
3021515;3021513;1048856;0.0000000000
3023750;3023748;1048856;0.0000000000
3023369;3023367;1033788;0.0000000000
1024245;1024243;995781;0.0000000000
3024701;3024699;1048856;0.0000000000
3017972;3017970;1033788;0.0000000000
3021938;3021936;1033788;0.0000000000
3018440;3018438;1033788;0.0000000000
3012284;3012282;1033788;0.0000000000
3012830;3012828;1033788;0.0000000000
3022391;3022389;1033788;0.0000000000
3021533;3021531;1033788;0.0000000000
3012242;3012240;1033788;0.0000000000
3022265;3022263;1048856;0.0000000000
1060937;1060935;1033788;0.0000000000
1060927;1060925;1048856;0.0000000000
3022112;3022110;1033788;0.0000000000
3024023;3024021;1033788;0.0000000000
3011471;3011469;1033788;0.0000000000
1052553;1052551;1048856;0.0000000000
3018584;3018582;1041657;0.0000000000
3022757;3022755;1048856;0.0000000000
3007349;3007347;1033788;0.0000000000
3007340;3007338;1041657;0.0000000000
3022412;3022410;1048856;0.0000000000
3021314;3021312;1033788;0.0000000000
3021149;3021147;1048856;0.0000000000
3013967;3013965;815406;0.0000000000
3021794;3021792;1033788;0.0000000000
3023441;3023439;1048856;0.0000000000
3007991;3007989;940188;0.0000000000
3024605;3024603;1041657;0.0000000000
3022538;3022536;1048856;0.0000000000
3021524;3021522;1033788;0.0000000000
3020993;3020991;1033788;0.0000000000
1064237;1064235;1041657;0.0000000000
3013712;3013710;940188;0.0000000000
3024062;3024060;1033788;0.0000000000
3019301;3019299;995781;0.0000000000
3024341;3024339;1033788;0.0000000000
3020861;3020859;1056438;0.0000000000
3022325;3022323;1026749;0.0000000000
3010718;3010716;1033788;0.0000000000
3020114;3020112;995781;0.0000000000
3021458;3021456;1033788;0.0000000000
3023171;3023169;1048856;0.0000000000
3021641;3021639;1048856;0.0000000000
3021572;3021570;1033788;0.0000000000
3020921;3020919;1048856;0.0000000000
3023384;3023382;1033788;0.0000000000
3010061;3010059;1056438;0.0000000000
3019949;3019947;1048856;0.0000000000
3009848;3009846;1048856;0.0000000000
1036824;1036822;1033788;0.0000000000
3013316;3013314;1048856;0.0000000000
1049485;1049483;1033788;0.0000000000
1041652;1041650;1033788;0.0000000000
3023189;3023187;1048856;0.0000000000
3024146;3024144;1033788;0.0000000000
3020933;3020931;1033788;0.0000000000
3018278;3018276;1033788;0.0000000000
1007660;1007658;940188;0.0000000000
3023192;3023190;1048856;0.0000000000
3022466;3022464;1033788;0.0000000000
3021626;3021624;1033788;0.0000000000
