t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion
84290;Residencial;Comercial.Oficinas_Consultorios_en_PH
84333;Residencial;Comercial.Comercio
84293;Residencial;Comercial.Oficinas_Consultorios_en_PH
84309;Residencial;Comercial.Oficinas_Consultorios_en_PH
84213;Residencial;Comercial.Oficinas_Consultorios_en_PH
60604;Residencial;Comercial.Bodegas_Comerciales_en_PH
84616;Residencial;Comercial.Comercio
84347;Residencial;Comercial.Comercio_en_PH
84346;Residencial;Comercial.Comercio_en_PH
84288;Residencial;Comercial.Oficinas_Consultorios_en_PH
84299;Residencial;Comercial.Parqueaderos_en_PH
84306;Residencial;Comercial.Oficinas_Consultorios_en_PH
84421;Residencial;Comercial.Oficinas_Consultorios
84302;Residencial;Comercial.Oficinas_Consultorios_en_PH
84294;Residencial;Comercial.Oficinas_Consultorios_en_PH
3573;Residencial;Comercial.Comercio_en_PH
84282;Residencial;Comercial.Oficinas_Consultorios_en_PH
84298;Residencial;Comercial.Parqueaderos_en_PH
84220;Residencial;Comercial.Oficinas_Consultorios_en_PH
84304;Residencial;Comercial.Oficinas_Consultorios_en_PH
84300;Residencial;Comercial.Parqueaderos_en_PH
84276;Residencial;Comercial.Oficinas_Consultorios_en_PH
58279;Residencial;Comercial.Comercio_en_PH
84308;Residencial;Comercial.Oficinas_Consultorios_en_PH
84296;Residencial;Comercial.Parqueaderos_en_PH
84281;Residencial;Comercial.Oficinas_Consultorios_en_PH
84269;Residencial;Comercial.Comercio_en_PH
84286;Residencial;Comercial.Oficinas_Consultorios_en_PH
84292;Residencial;Comercial.Oficinas_Consultorios_en_PH
84600;Residencial;Comercial.Hoteles
3601;Residencial;Comercial.Comercio_en_PH
84380;Residencial;Comercial.Comercio_en_PH
84344;Residencial;Comercial.Comercio_en_PH
84334;Residencial;Comercial.Comercio
84275;Residencial;Comercial.Oficinas_Consultorios_en_PH
84226;Residencial;Comercial.Oficinas_Consultorios_en_PH
84291;Residencial;Comercial.Oficinas_Consultorios_en_PH
84284;Residencial;Comercial.Oficinas_Consultorios_en_PH
84277;Residencial;Comercial.Oficinas_Consultorios_en_PH
3606;Residencial;Comercial.Comercio_en_PH
84305;Residencial;Comercial.Oficinas_Consultorios_en_PH
84554;Residencial;Comercial.Comercio_en_PH
84227;Residencial;Comercial.Oficinas_Consultorios_en_PH
84265;Residencial;Comercial.Comercio
3590;Residencial;Comercial.Comercio_en_PH
84311;Residencial;Comercial.Oficinas_Consultorios_en_PH
84215;Residencial;Comercial.Comercio_en_PH
84270;Residencial;Comercial.Comercio_en_PH
84283;Residencial;Comercial.Oficinas_Consultorios_en_PH
84285;Residencial;Comercial.Oficinas_Consultorios_en_PH
84345;Residencial;Comercial.Comercio_en_PH
84289;Residencial;Comercial.Oficinas_Consultorios_en_PH
84310;Residencial;Comercial.Oficinas_Consultorios_en_PH
84271;Residencial;Comercial.Comercio_en_PH
84301;Residencial;Comercial.Parqueaderos_en_PH
53559;Residencial;Industrial.Bodega_Casa_Bomba
84280;Residencial;Comercial.Oficinas_Consultorios_en_PH
84287;Residencial;Comercial.Oficinas_Consultorios_en_PH
84274;Residencial;Comercial.Oficinas_Consultorios_en_PH
84379;Residencial;Comercial.Comercio_en_PH
84378;Residencial;Comercial.Comercio_en_PH
84477;Residencial;Comercial.Comercio
84273;Residencial;Comercial.Oficinas_Consultorios_en_PH
84297;Residencial;Comercial.Parqueaderos_en_PH
84268;Residencial;Comercial.Comercio_en_PH
84279;Residencial;Comercial.Oficinas_Consultorios_en_PH
84224;Residencial;Comercial.Oficinas_Consultorios_en_PH
84225;Residencial;Comercial.Oficinas_Consultorios_en_PH
84278;Residencial;Comercial.Oficinas_Consultorios_en_PH
84295;Residencial;Comercial.Oficinas_Consultorios_en_PH
84223;Residencial;Comercial.Oficinas_Consultorios_en_PH
84307;Residencial;Comercial.Oficinas_Consultorios_en_PH
84312;Residencial;Comercial.Oficinas_Consultorios_en_PH
84272;Residencial;Comercial.Oficinas_Consultorios_en_PH
84303;Residencial;Comercial.Oficinas_Consultorios_en_PH
58244;Residencial;Comercial.Comercio_en_PH
3559;Residencial;Comercial.Comercio_en_PH
