t_id_predio;numero_predial;destinacion_economica;t_id_construccion;t_id_unidadconstruccion
936793;470010002000000051925000000000;Lote_Urbanizable_No_Urbanizado;;1195929
960490;470010111000002030004000000000;Lote_Urbanizable_No_Urbanizado;162093;
793447;470010111000000830014000000000;Lote_Urbanizable_No_Urbanizado;218118;
824662;470010002000000071323000000000;Lote_Urbanizable_No_Urbanizado;256484;
828969;470010107000001430036000000000;Lote_Urbanizable_No_Urbanizado;249441;
779589;470010002000000071413000000000;Lote_Urbanizable_No_Urbanizado;192618;
935903;470010002000000072274000000000;Lote_Urbanizable_No_Urbanizado;161542;
790369;470010002000000071427000000000;Lote_Urbanizable_No_Urbanizado;;1197862
763271;470010103000000420008000000000;Lote_Urbanizable_No_Urbanizado;125141;
764592;470010110000001830002500000002;Lote_Urbanizable_No_Urbanizado;;1275014
790365;470010002000000071437000000000;Lote_Urbanizable_No_Urbanizado;;1263630
850915;470010110000001050026000000000;Lote_Urbanizable_No_Urbanizado;;1198967
1062719;470010002000000071428000000000;Lote_Urbanizable_No_Urbanizado;;1205457
961702;470010002000000051926000000000;Lote_Urbanizable_No_Urbanizado;97602;
827300;470010111000001090001000000000;Lote_Urbanizable_No_Urbanizado;207635;
952533;470010110000000220004000000000;Lote_Urbanizable_No_Urbanizado;;1199700
984185;470010109000002000027000000000;Lote_Urbanizable_No_Urbanizado;96053;
997543;470010104000000180006000000000;Lote_Urbanizable_No_Urbanizado;;1202669
818125;470010110000000110011000000000;Lote_Urbanizable_No_Urbanizado;;1272488
835542;470010002000000051923000000000;Lote_Urbanizable_No_Urbanizado;;1197393
763668;470010106000009300029500000001;Lote_Urbanizable_No_Urbanizado;95201;
690236;470010110000000250152500000025;Lote_Urbanizable_No_Urbanizado;236756;
827784;470010111000000760003000000000;Lote_Urbanizable_No_Urbanizado;213923;
813636;470010003000000012674500000001;Lote_Urbanizable_No_Urbanizado;127553;
1026446;470010111000002520015000000000;Lote_Urbanizable_No_Urbanizado;86825;
1016467;470010002000000051913000000000;Lote_Urbanizable_No_Urbanizado;154258;
785990;470010109000003690011000000000;Lote_Urbanizable_No_Urbanizado;;1197248
809076;470010110000001130017000000000;Lote_Urbanizable_No_Urbanizado;249975;
763590;470010106000011480015500000001;Lote_Urbanizable_No_Urbanizado;;1208191
999592;470010103000000820095000000000;Lote_Urbanizable_No_Urbanizado;;1260861
891871;470010110000000310017000000000;Lote_Urbanizable_No_Urbanizado;134388;
934091;470010102000001010020000000000;Lote_Urbanizable_No_Urbanizado;217535;
762834;470010106000009990014500000001;Lote_Urbanizable_No_Urbanizado;;1197740
845573;470010111000002560014000000000;Lote_Urbanizable_No_Urbanizado;150295;
981672;470010002000000051924000000000;Lote_Urbanizable_No_Urbanizado;179602;
792450;470010002000000051860000000000;Lote_Urbanizable_No_Urbanizado;;1202016
993741;470010002000000071418000000000;Lote_Urbanizable_No_Urbanizado;204122;
1000360;470010107000000150004000000000;Lote_Urbanizable_No_Urbanizado;;1214047
809413;470010110000001860002000000000;Lote_Urbanizable_No_Urbanizado;187546;
803393;470010115000003930022000000000;Lote_Urbanizable_No_Urbanizado;206454;
939078;470010115000003950003000000000;Lote_Urbanizable_No_Urbanizado;275104;
1058801;470010002000000022351000000000;Lote_Urbanizable_No_Urbanizado;275620;
771875;470010115000003650027500000001;Lote_Urbanizable_No_Urbanizado;177499;
792428;470010002000000051861000000000;Lote_Urbanizable_No_Urbanizado;128276;
755304;470010104000000730020000000000;Lote_Urbanizable_No_Urbanizado;95559;
1041741;470010110000000220002000000000;Lote_Urbanizable_No_Urbanizado;;1279983
1034154;470010102000000290015000000000;Lote_Urbanizable_No_Urbanizado;197142;
701670;470010002000000067050500000001;Lote_Urbanizable_No_Urbanizado;218930;
787704;470010900000002050003500000001;Lote_Urbanizable_No_Urbanizado;186496;
1036915;470010107000001380040000000000;Lote_Urbanizable_No_Urbanizado;162012;
1053990;470010106000010760010500000001;Lote_Urbanizable_No_Urbanizado;133772;
1064519;470010110000000110004000000000;Lote_Urbanizable_No_Urbanizado;;1195516
818650;470010110000002560008000000000;Lote_Urbanizable_No_Urbanizado;;1276112
666715;470010115000004130010000000000;Lote_Urbanizable_No_Urbanizado;;1212430
961179;470010002000000071417000000000;Lote_Urbanizable_No_Urbanizado;89215;
765145;470010003000000011920000000000;Lote_Urbanizable_No_Urbanizado;105453;
662564;470010110000001050007000000000;Lote_Urbanizable_No_Urbanizado;256485;
820040;470010110000000310030000000000;Lote_Urbanizable_No_Urbanizado;;1207393
764433;470010002000000030304000000000;Lote_Urbanizable_No_Urbanizado;110425;
944939;470010104000000300009000000000;Lote_Urbanizable_No_Urbanizado;;1242688
817505;470010110000000230003000000000;Lote_Urbanizable_No_Urbanizado;;1194995
1032968;470010110000001050002000000000;Lote_Urbanizable_No_Urbanizado;183298;
1061820;470010002000000051917000000000;Lote_Urbanizable_No_Urbanizado;199325;
708458;470010105000000930110000000000;Lote_Urbanizable_No_Urbanizado;217996;
965724;470010115000002280007000000000;Lote_Urbanizable_No_Urbanizado;153145;
962399;470010002000000021985000000000;Lote_Urbanizable_No_Urbanizado;195436;
658543;470010110000000310004000000000;Lote_Urbanizable_No_Urbanizado;;1206145
793389;470010107000001380064000000000;Lote_Urbanizable_No_Urbanizado;240264;
790176;470010002000000071429000000000;Lote_Urbanizable_No_Urbanizado;;1202304
790991;470010002000000071415000000000;Lote_Urbanizable_No_Urbanizado;129546;
1001786;470010114000000690064000000000;Lote_Urbanizable_No_Urbanizado;142320;
1050840;470010111000003840001000000000;Lote_Urbanizable_No_Urbanizado;;1268661
997110;470010002000000071422000000000;Lote_Urbanizable_No_Urbanizado;249396;
797140;470010115000004130011000000000;Lote_Urbanizable_No_Urbanizado;;1262723
959783;470010109000002000026000000000;Lote_Urbanizable_No_Urbanizado;126634;
1005066;470010002000000071441000000000;Lote_Urbanizable_No_Urbanizado;;1207382
970732;470010109000003690007000000000;Lote_Urbanizable_No_Urbanizado;118077;
960784;470010115000004190020000000000;Lote_Urbanizable_No_Urbanizado;;1199587
792504;470010002000000051921000000000;Lote_Urbanizable_No_Urbanizado;150909;
792444;470010002000000051892000000000;Lote_Urbanizable_No_Urbanizado;132221;
934283;470010107000001660028000000000;Lote_Urbanizable_No_Urbanizado;129169;
936841;470010002000000051934000000000;Lote_Urbanizable_No_Urbanizado;172817;
792400;470010002000000051858000000000;Lote_Urbanizable_No_Urbanizado;;1203725
843985;470010002000000030271500000009;Lote_Urbanizable_No_Urbanizado;177378;
816571;470010102000000290009000000000;Lote_Urbanizable_No_Urbanizado;139668;
980884;470010105000000940247000000000;Lote_Urbanizable_No_Urbanizado;97414;
921748;470010109000003690001000000000;Lote_Urbanizable_No_Urbanizado;111787;
1065459;470010002000000051931000000000;Lote_Urbanizable_No_Urbanizado;;1211947
989478;470010107000001310003000000000;Lote_Urbanizable_No_Urbanizado;219738;
828004;470010110000000300053000000000;Lote_Urbanizable_No_Urbanizado;;1264508
1043988;470010115000006140012000000000;Lote_Urbanizable_No_Urbanizado;;1266048
961688;470010002000000051929000000000;Lote_Urbanizable_No_Urbanizado;253143;
1071439;470010103000003070027000000000;Lote_Urbanizable_No_Urbanizado;185544;
667607;470010002000000071435000000000;Lote_Urbanizable_No_Urbanizado;;1209977
797110;470010002000000071432000000000;Lote_Urbanizable_No_Urbanizado;110084;
879693;470010002000000071425000000000;Lote_Urbanizable_No_Urbanizado;119712;
763751;470010106000009760008500000001;Lote_Urbanizable_No_Urbanizado;186616;
993745;470010002000000071434000000000;Lote_Urbanizable_No_Urbanizado;;1194234
713068;470010106000006800018500000001;Lote_Urbanizable_No_Urbanizado;121550;
763859;470010106000011810007500000001;Lote_Urbanizable_No_Urbanizado;96881;
805851;470010002000000071414000000000;Lote_Urbanizable_No_Urbanizado;242556;
802197;470010110000001690018000000000;Lote_Urbanizable_No_Urbanizado;94539;
1014533;470010107000000950011000000000;Lote_Urbanizable_No_Urbanizado;241487;
967366;470010002000000051960000000000;Lote_Urbanizable_No_Urbanizado;;1204274
799295;470010002000000030271500000007;Lote_Urbanizable_No_Urbanizado;196047;
936843;470010002000000051933000000000;Lote_Urbanizable_No_Urbanizado;;1252072
974520;470010111000002520016000000000;Lote_Urbanizable_No_Urbanizado;192455;
782629;470010002000000071424000000000;Lote_Urbanizable_No_Urbanizado;;1187871
961725;470010002000000051932000000000;Lote_Urbanizable_No_Urbanizado;214909;
797198;470010002000000071442000000000;Lote_Urbanizable_No_Urbanizado;;1226645
932176;470010800000000490065000000000;Lote_Urbanizable_No_Urbanizado;119727;
997719;470010002000000071438000000000;Lote_Urbanizable_No_Urbanizado;;1196488
792523;470010002000000051922000000000;Lote_Urbanizable_No_Urbanizado;249895;
978278;470010109000003690002000000000;Lote_Urbanizable_No_Urbanizado;;1271842
791783;470010002000000021620000000000;Lote_Urbanizable_No_Urbanizado;127138;
793352;470010106000011370070000000000;Lote_Urbanizable_No_Urbanizado;169257;
701277;470010003000000010225500000195;Lote_Urbanizable_No_Urbanizado;270898;
763688;470010110000000340006000000000;Lote_Urbanizable_No_Urbanizado;179964;
870411;470010800000000420031000000000;Lote_Urbanizable_No_Urbanizado;85044;
848398;470010800000000420034000000000;Lote_Urbanizable_No_Urbanizado;128909;
792508;470010002000000051915000000000;Lote_Urbanizable_No_Urbanizado;201566;
784209;470010002000000071416000000000;Lote_Urbanizable_No_Urbanizado;96613;
769436;470010110000000080019500000001;Lote_Urbanizable_No_Urbanizado;244918;
