t_id_fuenteadministrativa;tipo_fuenteadministrativa;ente_emisor;fecha_documento_fuente
484724;Sin_Documento;OTRO;
484767;Sin_Documento;OTRO;
484705;Sin_Documento;OTRO;
484689;Sin_Documento;OTRO;
484719;Sin_Documento;OTRO;
484756;Sin_Documento;OTRO;
484931;Sin_Documento;OTRO;
484894;Sin_Documento;OTRO;
484836;Sin_Documento;OTRO;
484817;Sin_Documento;OTRO;
484708;Sin_Documento;OTRO;
484706;Sin_Documento;OTRO;
484679;Sin_Documento;OTRO;
484755;Sin_Documento;OTRO;
484718;Sin_Documento;OTRO;
484753;Sin_Documento;OTRO;
484662;Sin_Documento;OTRO;
484680;Sin_Documento;OTRO;
484671;Sin_Documento;OTRO;
484898;Sin_Documento;OTRO;
484826;Sin_Documento;OTRO;
484824;Sin_Documento;OTRO;
484714;Sin_Documento;OTRO;
484677;Sin_Documento;OTRO;
484829;Sin_Documento;OTRO;
484832;Sin_Documento;OTRO;
484703;Sin_Documento;OTRO;
484763;Sin_Documento;OTRO;
484682;Sin_Documento;OTRO;
484757;Sin_Documento;OTRO;
484722;Sin_Documento;OTRO;
484771;Sin_Documento;OTRO;
484672;Sin_Documento;OTRO;
484666;Sin_Documento;OTRO;
484669;Sin_Documento;OTRO;
484866;Sin_Documento;OTRO;
484861;Sin_Documento;OTRO;
484773;Sin_Documento;OTRO;
484863;Sin_Documento;OTRO;
484927;Sin_Documento;OTRO;
484901;Sin_Documento;OTRO;
484854;Sin_Documento;OTRO;
484745;Sin_Documento;OTRO;
484758;Sin_Documento;OTRO;
484932;Sin_Documento;OTRO;
484870;Sin_Documento;OTRO;
484731;Sin_Documento;OTRO;
484687;Sin_Documento;OTRO;
484890;Sin_Documento;OTRO;
484704;Sin_Documento;OTRO;
484728;Sin_Documento;OTRO;
484712;Sin_Documento;OTRO;
484801;Sin_Documento;OTRO;
484655;Sin_Documento;OTRO;
484775;Sin_Documento;OTRO;
484799;Sin_Documento;OTRO;
484713;Sin_Documento;OTRO;
484772;Sin_Documento;OTRO;
484825;Sin_Documento;OTRO;
484905;Sin_Documento;OTRO;
484800;Sin_Documento;OTRO;
484904;Sin_Documento;OTRO;
484709;Sin_Documento;OTRO;
484684;Sin_Documento;OTRO;
484667;Sin_Documento;OTRO;
484899;Sin_Documento;OTRO;
484732;Sin_Documento;OTRO;
484725;Sin_Documento;OTRO;
484827;Sin_Documento;OTRO;
484660;Sin_Documento;OTRO;
484803;Sin_Documento;OTRO;
484765;Sin_Documento;OTRO;
484774;Sin_Documento;OTRO;
484903;Sin_Documento;OTRO;
484744;Sin_Documento;OTRO;
484754;Sin_Documento;OTRO;
484729;Sin_Documento;OTRO;
484865;Sin_Documento;OTRO;
484766;Sin_Documento;OTRO;
484681;Sin_Documento;OTRO;
484892;Sin_Documento;OTRO;
484828;Sin_Documento;OTRO;
484730;Sin_Documento;OTRO;
484742;Sin_Documento;OTRO;
484928;Sin_Documento;OTRO;
484830;Sin_Documento;OTRO;
484897;Sin_Documento;OTRO;
484717;Sin_Documento;OTRO;
484670;Sin_Documento;OTRO;
484727;Sin_Documento;OTRO;
484656;Sin_Documento;OTRO;
484654;Sin_Documento;OTRO;
484746;Sin_Documento;OTRO;
484851;Sin_Documento;OTRO;
484902;Sin_Documento;OTRO;
484653;Sin_Documento;OTRO;
484900;Sin_Documento;OTRO;
484676;Sin_Documento;OTRO;
484867;Sin_Documento;OTRO;
484711;Sin_Documento;OTRO;
484764;Sin_Documento;OTRO;
484748;Sin_Documento;OTRO;
484665;Sin_Documento;OTRO;
484747;Sin_Documento;OTRO;
484721;Sin_Documento;OTRO;
484833;Sin_Documento;OTRO;
484750;Sin_Documento;OTRO;
484720;Sin_Documento;OTRO;
484661;Sin_Documento;OTRO;
484683;Sin_Documento;OTRO;
484853;Sin_Documento;OTRO;
484769;Sin_Documento;OTRO;
484802;Sin_Documento;OTRO;
484710;Sin_Documento;OTRO;
484835;Sin_Documento;OTRO;
484668;Sin_Documento;OTRO;
484893;Sin_Documento;OTRO;
484760;Sin_Documento;OTRO;
484831;Sin_Documento;OTRO;
484749;Sin_Documento;OTRO;
484768;Sin_Documento;OTRO;
484743;Sin_Documento;OTRO;
484895;Sin_Documento;OTRO;
484816;Sin_Documento;OTRO;
484864;Sin_Documento;OTRO;
484726;Sin_Documento;OTRO;
484752;Sin_Documento;OTRO;
484691;Sin_Documento;OTRO;
484834;Sin_Documento;OTRO;
484770;Sin_Documento;OTRO;
484761;Sin_Documento;OTRO;
484659;Sin_Documento;OTRO;
484762;Sin_Documento;OTRO;
484906;Sin_Documento;OTRO;
484818;Sin_Documento;OTRO;
484930;Sin_Documento;OTRO;
484716;Sin_Documento;OTRO;
484723;Sin_Documento;OTRO;
484896;Sin_Documento;OTRO;
484663;Sin_Documento;OTRO;
484891;Sin_Documento;OTRO;
484852;Sin_Documento;OTRO;
484664;Sin_Documento;OTRO;
484685;Sin_Documento;OTRO;
484751;Sin_Documento;OTRO;
484690;Sin_Documento;OTRO;
484686;Sin_Documento;OTRO;
484657;Sin_Documento;OTRO;
484688;Sin_Documento;OTRO;
484733;Sin_Documento;OTRO;
484862;Sin_Documento;OTRO;
484759;Sin_Documento;OTRO;
484715;Sin_Documento;OTRO;
484707;Sin_Documento;OTRO;
