t_id_predio;t_id_terreno_1;t_id_terreno_2
882188;1171656;1073931
751180;1073552;1079186
758996;1100298;1168977
837732;1104566;1127844
660564;1073124;1082485
817413;1178866;1140063
784060;1133971;1073502
663181;1118706;1094279
659415;1123340;1072565
712250;1073257;1169204
927263;1148683;1136875
941289;1102465;1097963
929898;1101638;1147648
1025354;1079853;1101638
882089;1085875;1152279
759207;1141657;1171332
663210;1087324;1090652
884478;1157730;1113672
913214;1136736;1073626
1018518;1167243;1171694
882231;1156414;1136740
660963;1073333;1118806
1058344;1161357;1161631
978606;1125436;1113075
697066;1100298;1109237
1025637;1094645;1073403
710710;1101638;1122664
804214;1073680;1093135
673095;1100547;1129163
661165;1148503;1072506
758996;1089820;1100298
758996;1100298;1123300
670722;1100191;1132600
758996;1170505;1100298
748501;1122317;1142070
1025354;1101638;1080894
712578;1073641;1090657
771944;1165913;1094132
703332;1073478;1085257
819147;1100155;1150078
767544;1084450;1099778
662596;1079702;1158590
812180;1152991;1100191
924184;1082969;1143901
682644;1103439;1120533
673095;1100547;1117351
742433;1150078;1165495
661165;1072506;1125153
856927;1130208;1100600
661449;1073626;1118291
940435;1169017;1097963
709784;1173353;1121978
828889;1165447;1097963
819682;1131134;1073529
734515;1117135;1155724
992947;1097963;1174902
927000;1072798;1119287
1025354;1096788;1101638
995674;1104769;1178665
902668;1159004;1165840
761888;1177451;1073355
709494;1073677;1131397
658885;1125349;1073645
937577;1072853;1128619
936165;1167161;1101638
732898;1129292;1140456
784817;1073693;1098175
661689;1073759;1149109
894475;1100298;1156881
831295;1085583;1073833
777908;1126787;1100298
1070416;1164530;1095190
747098;1078701;1141270
1027208;1152967;1127460
661457;1073837;1113828
658843;1098514;1073533
914506;1109827;1159020
661293;1109605;1073844
673095;1100547;1155417
940435;1097963;1106698
942454;1142345;1100547
673485;1114772;1119697
1046447;1123365;1072759
662378;1158590;1097043
714601;1127204;1101638
738447;1086649;1085857
940435;1078079;1097963
758996;1156881;1100298
1025354;1110000;1101638
797125;1081250;1073762
1070416;1095190;1081147
814466;1159020;1090391
1055707;1159004;1165840
725041;1099516;1113416
1000733;1094950;1073849
722906;1113282;1152219
1001721;1091858;1153011
861969;1167849;1106127
758575;1112446;1086348
661393;1073576;1161894
1049218;1158339;1103439
673095;1145269;1100547
1025354;1143577;1101638
897267;1111087;1102866
661449;1073626;1129673
674360;1073571;1156614
758996;1100298;1089315
977618;1094254;1167636
1024264;1097574;1072672
880255;1123587;1130249
673095;1100547;1073908
847855;1082115;1111989
1013142;1162851;1073558
755183;1073626;1076639
661435;1140166;1073564
914506;1147214;1159020
907014;1098146;1161199
722906;1113282;1089730
955402;1117968;1141046
661457;1143323;1073837
845979;1113578;1073888
942823;1101638;1141563
1025354;1101638;1079000
714681;1167208;1148545
661457;1073837;1080838
798503;1073535;1104310
661437;1073584;1115307
940696;1129401;1097963
998139;1089792;1108482
852555;1103647;1093644
1070974;1087787;1073764
880962;1100298;1079628
878564;1123767;1073422
859925;1142966;1151915
659801;1072719;1078387
968796;1135650;1106146
855424;1152573;1100547
857648;1082451;1115005
