t_id_terreno;t_id_unidadconstruccion;unidadconstruccion_nocontenida_en_terreno;t_id_terreno_asociado_a_unidadconstruccion;t_id_predio
1146743;1259279;false;1146743;658815
1076561;1198396;false;1076561;661971
1178079;1201452;false;1178079;660693
1107384;1189262;false;1107384;740556
1131233;1265665;false;1131233;686214
1131662;1203904;false;1131662;957318
1108939;1271595;false;1108939;695216
1085919;1228863;false;1085919;983079
1093422;1214280;false;1093422;702412
1087537;1245909;false;1087537;1020472
1146776;1201349;false;1146776;846269
1176046;1249067;false;1176046;752833
1101644;1201295;false;1101644;757602
1092904;1210191;false;1092904;949779
1156540;1239950;false;1156540;990874
1087923;1249661;false;1087923;717350
1116709;1194751;false;1116709;858554
1087348;1253871;false;1087348;1015932
1106698;1245206;false;1106698;818463
1131883;1199796;false;1131883;662562
1162163;1201291;false;1162163;991442
1163810;1211492;false;1163810;1010534
1121524;1203747;false;1121524;660528
1132775;1194284;false;1132775;926178
1140175;1204979;false;1140175;685430
1133161;1242461;false;1133161;3026362
1085123;1208145;false;1085123;919776
1130435;1230763;false;1130435;922106
1079846;1276043;false;1079846;758651
1097897;1205820;false;1097897;778672
1112629;1208732;false;1112629;807922
1153598;1202019;false;1153598;926019
1098187;1260353;false;1098187;666320
1170643;1209723;false;1170643;669781
1135217;1198088;false;1135217;944997
1096227;1198347;false;1096227;740588
1135366;1192074;false;1135366;684399
1144308;1240504;false;1144308;1066205
1170656;1228384;false;1170656;959300
1116445;1237772;false;1116445;658486
1139311;1207145;false;1139311;750021
1082127;1234048;false;1082127;902476
1172788;1230698;false;1172788;984775
1101500;1240421;false;1101500;748375
1092352;1265437;false;1092352;721529
1170592;1206306;false;1170592;737776
1126235;1232901;false;1126235;948904
1113017;1238152;false;1113017;1052402
1128223;1256039;false;1128223;1051654
1073834;1220304;false;1073834;658935
1116719;1253326;false;1116719;843105
1081328;1197435;false;1081328;1000116
1174780;1252162;false;1174780;906713
1131961;1266716;false;1131961;1013532
1088451;1265679;false;1088451;865651
1162929;1248926;false;1162929;756637
1176040;1242754;false;1176040;982891
