t_id_predio;numero_predial;destinacion_economica
712483;470010110000000080014000000000;Lote_Urbanizado_No_Construido
711126;470010002000000051916000000000;Lote_Urbanizable_No_Urbanizado
705009;470010800000001580011000000000;Lote_Urbanizable_No_Urbanizado
880610;470010002000000071065000000000;Lote_Urbanizable_No_Urbanizado
910191;470010110000001070006000000000;Lote_Urbanizado_No_Construido
793657;470010111000000760003000000000;Lote_Urbanizable_No_Urbanizado
1042537;470010115000006140012000000000;Lote_Urbanizable_No_Urbanizado
825827;470010102000000190014000000000;Lote_No_Urbanizable
1041251;470010108000000090013000000000;Lote_Urbanizado_No_Construido
907224;470010110000000630048000000000;Lote_Urbanizable_No_Urbanizado
759193;470010115000006640003000000000;Lote_Urbanizado_No_Construido
1018249;470010002000000071444000000000;Lote_Urbanizable_No_Urbanizado
873868;470010109000002320001000000000;Lote_No_Urbanizable
740202;470010104000000730020000000000;Lote_Urbanizable_No_Urbanizado
1064477;470010110000001860001000000000;Lote_Urbanizable_No_Urbanizado
820544;470010110000000250019000000000;Lote_Urbanizado_No_Construido
675405;470010107000000690024000000000;Lote_Urbanizado_No_Construido
880277;470010002000000051680500000001;Lote_No_Urbanizable
762623;470010110000002450001000000000;Lote_Urbanizado_No_Construido
903312;470010002000000071421000000000;Lote_Urbanizable_No_Urbanizado
808903;470010110000001860002000000000;Lote_Urbanizable_No_Urbanizado
740503;470010800000000490065000000000;Lote_Urbanizable_No_Urbanizado
750212;470010110000000050014000000000;Lote_Urbanizable_No_Urbanizado
818343;470010002000000071419000000000;Lote_Urbanizable_No_Urbanizado
698644;470010111000000830014000000000;Lote_Urbanizable_No_Urbanizado
1022273;470010107000000950011000000000;Lote_Urbanizable_No_Urbanizado
869847;470010110000000730038000000000;Lote_Urbanizado_No_Construido
688261;470010106000006800018500000001;Lote_Urbanizable_No_Urbanizado
778681;470010107000000520008000000000;Lote_Urbanizado_No_Construido
820763;470010001000000020210500000001;Lote_Urbanizable_No_Urbanizado
678982;470010002000000071434000000000;Lote_Urbanizable_No_Urbanizado
1031629;470010111000002520015000000000;Lote_Urbanizable_No_Urbanizado
1042142;470010110000002220001000000000;Lote_Urbanizado_No_Construido
915611;470010110000000050007000000000;Lote_Urbanizado_No_Construido
