t_id_predio;numero_predial;condicion_predio
739917;470010002000000040801800003968;Condominio.Unidad_Predial
999362;470010109000002580801800000401;Condominio.Unidad_Predial
742509;470010002000000060801800004626;Condominio.Unidad_Predial
718074;470010900000002260004500000001;Parque_Cementerio.Unidad_Predial
841098;470010002000000040801800003958;Condominio.Unidad_Predial
881596;470010002000000050802800000368;Condominio.Unidad_Predial
1023420;470010002000000050801800000273;Condominio.Unidad_Predial
850443;470010002000000040801800005001;Condominio.Unidad_Predial
1044022;470010002000000050801800000236;Condominio.Unidad_Predial
931083;470010109000001140801800000019;Condominio.Unidad_Predial
819304;470010002000000060801800004600;Condominio.Unidad_Predial
665857;470010900000000770013500000001;Parque_Cementerio.Unidad_Predial
876874;470010900000001810001500000001;Parque_Cementerio.Unidad_Predial
810609;470010107000000990801800000009;Condominio.Unidad_Predial
840530;470010900000000120003500000001;Parque_Cementerio.Unidad_Predial
968080;470010107000000990801800000040;Condominio.Unidad_Predial
1027111;470010002000000040801800004996;Condominio.Unidad_Predial
755318;470010002000000060801800004658;Condominio.Unidad_Predial
813383;470010900000000730012500000001;Parque_Cementerio.Unidad_Predial
830415;470010002000000070802800002064;Condominio.Unidad_Predial
1072433;470010104000000310901900000038;PH.Unidad_Predial
817522;470010001000000020802800001520;Condominio.Unidad_Predial
740845;470010002000000070802800002076;Condominio.Unidad_Predial
697170;470010900000002250006500000002;Parque_Cementerio.Unidad_Predial
934265;470010001000000020802800001521;Condominio.Unidad_Predial
799367;470010108000000160801800000023;Condominio.Unidad_Predial
909822;470010002000000050801800000148;Condominio.Unidad_Predial
972068;470010002000000060801800004577;Condominio.Unidad_Predial
915683;470010002000000040901901010163;PH.Unidad_Predial
970721;470010002000000050801800000154;Condominio.Unidad_Predial
843268;470010002000000040801800003977;Condominio.Unidad_Predial
720699;470010107000000500902901080087;PH.Unidad_Predial
841316;470010110000000490802800000069;Condominio.Unidad_Predial
1071558;470010107000000990801800000080;Condominio.Unidad_Predial
1072284;470010002000000050801800000248;Condominio.Unidad_Predial
679055;470010002000000050802800000373;Condominio.Unidad_Predial
958540;470010800000000990001500000004;Parque_Cementerio.Unidad_Predial
675285;470010106000010990014500000001;Parque_Cementerio.Unidad_Predial
899030;470010900000002240004500000001;Parque_Cementerio.Unidad_Predial
745760;470010107000000990801800000044;Condominio.Unidad_Predial
1020715;470010002000000050802800000331;Condominio.Unidad_Predial
1010308;470010002000000040801800004985;Condominio.Unidad_Predial
