t_id_predio;numero_predial;t_id_tramitecatastral
880368;470010002000000070801800007018;1184797
936436;470010002000000070902908030151;1185283
3014455;470010002000000076901908010101;1187161
983333;470010002000000040547000000000;1182152
878469;470010103000003060028000000000;1185761
736179;470010103000004620010500000155;1185703
878633;470010002000000070902911010201;1183404
1051622;470010111000002210005000000000;1180638
750630;470010002000000070905921010401;1182768
927977;470010002000000040801800005000;1181753
1036108;470010002000000076901903010342;1186440
3016297;470010002000000070905928030552;1186786
798738;470010002000000070905911010201;1182739
981348;470010002000000070903902050037;1185005
770259;470010103000004510011000000000;1180618
1024103;470010114000000190016000000000;1179360
1001731;470010002000000060918900007860;1184602
663249;470010101000001900016000000000;1179859
988911;470010104000000930906901020323;1180096
1025320;470010001000000022545000000000;1181689
710962;470010002000000040901901010020;1182459
810398;470010104000000930906901020325;1184475
1059441;470010002000000070801800007048;1186145
1036091;470010104000000930906901010310;1180103
663251;470010103000000680005000000000;1187814
825221;470010111000003290010000000000;1185553
868078;470010002000000070902903010043;1183075
993528;470010108000000010901900000024;1188066
969187;470010002000000070903924040475;1181241
1065850;470010002000000076901906020540;1181199
857946;470010110000000640903900000299;1187573
668201;470010104000000910903901000130;1182655
796728;470010002000000070905914040274;1183480
1051965;470010110000000620902901100404;1187815
837172;470010104000000930906901110252;1181640
994489;470010800000001170007000000000;1186990
964218;470010108000000010901904031736;1178976
994588;470010002000000070902901030009;1185344
916242;470010105000000230902900000192;1187988
841856;470010108000000060902902160155;1184486
884550;470010101000000840901900000069;1186023
754446;470010105000000930121000000000;1178927
858311;470010101000001820901900000034;1185638
946212;470010107000000460903900000178;1186850
931891;470010106000002790019000000000;1187611
788162;470010002000000076901906070582;1181176
1059455;470010002000000070801800007067;1185586
912017;470010002000000070903912050238;1185332
847518;470010115000005900018000000000;1185852
1065227;470010107000001210904904050222;1187564
788162;470010002000000076901906070582;1181175
1069128;470010002000000070902906020106;1185252
811130;470010105000001150071000000000;1180671
668195;470010106000000560901901040030;1182550
3012094;470010002000000076901908010112;1188017
914827;470010002000000070905900000000;1184829
690972;470010108000000060902902060086;1178899
891268;470010104000000910903901000116;1182628
965105;470010002000000070902911020205;1185496
916465;470010002000000070902905040093;1183337
1069270;470010002000000070905901030012;1183554
