t_id_predio;numero_predial;matricula_inmobiliaria;codigo_homologado
771052;470010107000000500009000000000;100448;RIC01035090
1030837;470010115000006180012000000000;100448;RIC00763855
808133;470010103000002140016000000000;10057;RIC00889067
915874;470010103000002140017000000000;10057;RIC00809359
1030862;470010103000002140017500000001;10057;RIC00741795
1001558;470010102000001080015500000001;1006;BJZ0002HBTB
753716;470010102000001080015500000002;1006;BJZ0003APUC
908617;470010900000000050013000000000;100697;RIC00954061
785140;470010900000000540002000000000;100697;RIC01001695
1000701;470010900000000050015000000000;100698;BJZ0002JLMD
1050748;470010900000000540004000000000;100698;BJZ0003BZDD
786079;470010103000000790083000000000;100733;RIC01056019
720342;470010107000000120904901070428;100733;RIC01042077
928938;470010103000002560012000000000;10093;RIC01089829
847876;470010103000002560012500000001;10093;RIC00877243
1028649;470010103000001520002000000000;10100240003351;RIC00811945
896133;470010103000001520003000000000;10100240003351;RIC00875279
943396;470010103000001520004000000000;10100240003351;RIC00866409
870796;470010103000001520005000000000;10100240003351;RIC01056471
852545;470010103000001520006000000000;10100240003351;RIC01006363
1046002;470010103000001520007000000000;10100240003351;RIC00914631
745170;470010103000001520008000000000;10100240003351;RIC00754417
880204;470010103000001520009000000000;10100240003351;RIC00778047
878750;470010103000001520010000000000;10100240003351;RIC00825753
938258;470010103000001520011000000000;10100240003351;RIC00780369
717354;470010103000001520012000000000;10100240003351;RIC00941409
688257;470010103000001520013000000000;10100240003351;RIC00993637
942068;470010103000001520014000000000;10100240003351;RIC01021529
790906;470010103000001520015000000000;10100240003351;RIC00811947
797299;470010103000001520016000000000;10100240003351;RIC00850755
985714;470010103000001520017000000000;10100240003351;RIC01026961
917740;470010103000001520018000000000;10100240003351;RIC01089799
745360;470010103000001520019000000000;10100240003351;RIC00778049
847989;470010103000001520020000000000;10100240003351;RIC00875281
764333;470010103000001520021000000000;10100240003351;RIC00993639
851816;470010103000001520022000000000;10100240003351;RIC00778051
669992;470010103000001520023000000000;10100240003351;RIC00993641
965871;470010103000001520024000000000;10100240003351;RIC00947799
674254;470010103000001520025000000000;10100240003351;RIC01056473
1039156;470010103000002250006000000000;10100240003351;RIC00856437
721732;470010103000002250007000000000;10100240003351;RIC00870617
674441;470010103000002250008000000000;10100240003351;RIC00757201
757413;470010103000002250010000000000;10100240003351;RIC00853153
831076;470010103000002260007000000000;10100240003351;RIC00884953
868793;470010103000002260009000000000;10100240003351;RIC00856441
775927;470010103000002260010000000000;10100240003351;RIC00997509
702015;470010103000002260012000000000;10100240003351;RIC00951163
878816;470010103000002370020000000000;10100240003351;RIC01087495
709073;470010103000002370023000000000;10100240003351;RIC00951555
832435;470010103000002380001000000000;10100240003351;RIC00974339
917300;470010103000002380002000000000;10100240003351;RIC01023963
892180;470010103000002380003000000000;10100240003351;RIC00829139
747910;470010103000002380005000000000;10100240003351;RIC00920245
866991;470010103000002380006000000000;10100240003351;RIC00936033
769797;470010103000002380007000000000;10100240003351;RIC00885341
758647;470010103000002380008000000000;10100240003351;RIC01017025
701681;470010103000002380010000000000;10100240003351;RIC00781007
987220;470010103000002380011000000000;10100240003351;RIC00856491
698482;470010103000002380012000000000;10100240003351;RIC00853207
701335;470010103000002380015000000000;10100240003351;RIC01087515
1033704;470010103000002380016000000000;10100240003351;RIC00757243
826990;470010103000002380017000000000;10100240003351;RIC00803395
929010;470010103000002380018000000000;10100240003351;RIC00975273
711635;470010103000002760014000000000;10100240003351;RIC00957641
820650;470010103000002760015000000000;10100240003351;RIC01022957
834191;470010103000002760016000000000;10100240003351;RIC00775331
790582;470010103000002760017000000000;10100240003351;RIC00755859
711128;470010103000002760019000000000;10100240003351;RIC00925733
886179;470010103000002980007000000000;10100240003351;RIC00872551
881107;470010103000002980008000000000;10100240003351;RIC00920625
809254;470010103000002980009000000000;10100240003351;RIC00762439
876108;470010103000002980011000000000;10100240003351;RIC01124294
669593;470010103000003080001000000000;10100240003351;RIC01024369
844979;470010103000003080002000000000;10100240003351;RIC00899657
941159;470010103000003080003000000000;10100240003351;RIC00964721
942994;470010103000003080004000000000;10100240003351;RIC00862781
749139;470010103000003080005000000000;10100240003351;RIC00925297
915436;470010103000003080007000000000;10100240003351;RIC01028369
880893;470010103000003080008000000000;10100240003351;RIC00982253
669721;470010103000003080009000000000;10100240003351;RIC01021607
667060;470010103000003080010000000000;10100240003351;RIC00898719
762666;470010103000003080011000000000;10100240003351;RIC00925299
816209;470010103000003080012000000000;10100240003351;RIC00812973
831684;470010103000003080013000000000;10100240003351;RIC00869221
985880;470010103000003080014000000000;10100240003351;RIC00774337
790740;470010103000003080015000000000;10100240003351;RIC00808931
832323;470010103000003080016000000000;10100240003351;RIC00747175
771570;470010103000003550001000000000;10100240003351;RIC00861091
701290;470010103000003550002000000000;10100240003351;RIC00962371
711551;470010103000003550006000000000;10100240003351;RIC00980367
718584;470010103000003550007000000000;10100240003351;RIC00826781
882432;470010103000003550008000000000;10100240003351;RIC00980369
929564;470010103000003550011000000000;10100240003351;RIC00775271
790572;470010103000003550012000000000;10100240003351;RIC00867811
926323;470010103000003550013000000000;10100240003351;RIC01028397
712391;470010103000003560001000000000;10100240003351;RIC00904851
938951;470010103000003560002000000000;10100240003351;RIC00904853
889128;470010103000003560003000000000;10100240003351;RIC00799199
913065;470010103000003560010000000000;10100240003351;RIC01028399
711995;470010103000003570009000000000;10100240003351;RIC00942893
716219;470010103000003570010000000000;10100240003351;RIC00919433
957463;470010103000003570012000000000;10100240003351;RIC01124334
893367;470010103000003570014000000000;10100240003351;RIC00982279
935720;470010103000003570015000000000;10100240003351;RIC00799203
673499;470010103000003570017000000000;10100240003351;RIC00889019
820124;470010103000003570019000000000;10100240003351;RIC00869243
724300;470010103000003570020000000000;10100240003351;RIC00869245
692711;470010103000003570023000000000;10100240003351;RIC00980373
869885;470010103000003600004000000000;10100240003351;RIC00980393
928309;470010103000003600006000000000;10100240003351;RIC00813365
844938;470010103000003600007000000000;10100240003351;RIC01124706
749639;470010103000003600008000000000;10100240003351;RIC00982747
963266;470010103000003600010000000000;10100240003351;RIC00980395
847481;470010103000003600011000000000;10100240003351;RIC00985015
847161;470010103000003600012000000000;10100240003351;RIC00982749
813108;470010103000003600013000000000;10100240003351;RIC00941997
928510;470010103000003630001000000000;10100240003351;RIC00780965
881823;470010103000003630002000000000;10100240003351;RIC00832829
774193;470010103000003630003000000000;10100240003351;RIC01061275
688860;470010103000003630006000000000;10100240003351;RIC00907569
975623;470010103000003630007000000000;10100240003351;RIC00994587
701555;470010103000003630008000000000;10100240003351;RIC00748199
923226;470010103000003630009000000000;10100240003351;RIC01124250
734375;470010103000003630010000000000;10100240003351;RIC01023003
714111;470010103000003630011000000000;10100240003351;RIC00905831
667634;470010103000003630012000000000;10100240003351;RIC00922077
973425;470010103000003640001000000000;10100240003351;RIC00814837
989483;470010103000003640002000000000;10100240003351;RIC00853145
934119;470010103000003640003000000000;10100240003351;RIC00793429
708421;470010103000003640005000000000;10100240003351;RIC00814839
749965;470010103000003640007000000000;10100240003351;RIC00776265
739562;470010103000003640008000000000;10100240003351;RIC00922079
862229;470010103000003640009000000000;10100240003351;RIC00951161
886132;470010103000003640010000000000;10100240003351;RIC00756253
670335;470010103000003640011000000000;10100240003351;RIC01023005
880774;470010103000003650001000000000;10100240003351;RIC00793431
742249;470010103000003650002000000000;10100240003351;RIC00856431
702035;470010103000003650003000000000;10100240003351;RIC00853147
732237;470010103000003650004000000000;10100240003351;RIC00756255
928860;470010103000003650005000000000;10100240003351;RIC00856433
929728;470010103000003650007000000000;10100240003351;RIC00997505
712143;470010103000003650008000000000;10100240003351;RIC01061277
667592;470010103000003650009000000000;10100240003351;RIC00814841
663642;470010103000003650010000000000;10100240003351;RIC00748201
987047;470010103000003650011000000000;10100240003351;RIC00994589
929674;470010103000003650013000000000;10100240003351;RIC01029397
969606;470010103000003650014000000000;10100240003351;RIC00861747
929636;470010103000003650016000000000;10100240003351;RIC00983729
833071;470010103000003650018000000000;10100240003351;RIC00907571
720630;470010103000003650020000000000;10100240003351;RIC00757197
913100;470010103000003650021000000000;10100240003351;RIC00884949
808711;470010103000003650023000000000;10100240003351;RIC01086541
986432;470010103000003670001000000000;10100240003351;RIC00776269
