t_id_caracterististica_unidadconstruccion;identificador
20440; 
52663;B
56682;B
80411;C
52949;A
34372;A
61426;C
13730;A
62476;C
56722;B
11094; 
60824;A
53525;A
60944;A
84010;A
46572;A
46122;A
50947;E
61007;A
10418;A
53120;A
69501;A
8747;A
73238;A
84057;A
61544;A
60924;A
38241;A
34623;A
84006;A
49064;C
51089;B
60918;A
55425;A
57726;C
84760;A
56425;A
67300;A
58936;A
56550;B
47246;B
4523;A
22620; 
60934;A
60997;A
13556;A
71509;C
84020;A
53649;A
6826;A
80911;A
84034;A
46415;C
78238;A
55812;A
56298;A
53802;A
24818;A
81043;A
84056;A
16486;A
60962;A
75384;A
35607; 
15766;A
53504;B
60951;A
60838;A
34552;A
8454;A
60816;A
84179;A
59495;B
56683;A
3116;A
65167;C
58468;B
48904;B
45967;B
84174;A
59863;A
64660;A
45985;B
15958;A
60973;A
76638;C
59154;A
52484;A
83993;A
57725;B
84019;A
57922;C
39744;A
32113;A
57706;B
60923;A
36273;A
11811; 
78063;A
72883;A
84016;A
43380;C
11026;A
61681;A
6912;A
60347;A
6923;A
24853;A
60984;A
8418;A
42887;A
84037;A
30244; 
22203;A
58066;A
39564; 
60832;A
42085;A
60834;A
638; 
60904;A
6821;A
60820;A
15914;A
83444;C
23207;A
46055;A
10431;A
10407;A
1386;A
79317; 
53136;A
9402;A
60906;A
10502;A
53348;A
56456;C
10441;A
52421;A
24135;A
61321;B
61317;B
60867;A
83999;A
18797;A
3423;A
84189;A
60837;A
57566;B
10062;A
84200;A
39740;A
10420;A
84038;A
51679;B
50613;B
84046;A
84029;A
75998;A
34759;A
9041;A
56687;A
83976;A
52062;A
13707;A
44838;A
31820; 
53194;A
30290;A
84183;A
84187;A
53330;A
4815;A
63911;C
69664;C
39686;A
8286;A
83987;A
69827;B
61215;A
38211;A
9040;A
84003;A
52955;A
4801;A
60913;A
32502;A
82629;C
67627;C
51897;A
42729;C
44835;A
34706;A
3963;A
84162;A
12435;A
53356;A
60828;A
53148;A
84050;A
84169;A
84065;A
6823;A
4730;A
1444; 
23391;A
23029;A
10426;A
15633;A
34084;A
84007;A
53672;A
19638;A
8401;A
61628;A
60972;A
55121;A
33735;A
6914;A
14601;A
84781;A-1
8677;A
10416;A
4309;A
2860;A
22450;A
65811;C
60846;A
35153;A
11031;A
831; 
60891;A
10414;A
7927;A
60957;A
36991;A
56723;A
37962; 
4521;A
48201;B
39733;A
34932;A
41201;A
71920;A
84067;A
82800;A
72844;A
19235;A
84181;A
10406;A
60841;A
53430;A
56457;B
49524;A
36021;A
83978;A
44626;A
29997;A
33219;A
45172;A
84763;A-1
56749;A
21881;A
4798;A
6435; 
60899;A
83992;A
55651;A
53098;A
38140;C
12437;A
84201;A
35606; 
9304;A
53432;A
82888;A
84175;A
65860;C
60856;A
60822;A
42492;C
50950;C
80780;A
5356;A
565;A
57567;A
83722;C
83408;C
13147;A
60936;A
48864;A
60970;A
8246;A
83974;A
65827;C
75778;A
33315;A
48506;B
81922;A
16186;A
1806; 
84190;A
42747;A
56532;C
83997;A
60881;A
45304;A
77843;A
60995;A
39742;A
84009;A
51164;A
10298;A
10061;A
61006;A
