t_id_direccion;t_id_predio
870919;870918
864281;864280
661168;661167
658413;658412
661418;661417
658385;658384
659132;659131
673823;673822
659802;659801
660794;660793
660882;660881
670524;670523
660016;660015
659152;659151
660066;660065
658846;658845
661088;661087
672370;672369
659112;659111
658898;658897
661314;661313
660432;660431
868724;868723
660916;660915
659986;659985
659114;659113
660487;660486
660126;660125
659053;659052
661082;661081
660477;660476
658982;658981
659596;659595
668867;668866
659856;659855
660886;660885
937989;937988
867301;867300
658601;658600
659432;659431
659128;659127
660547;660546
659508;659507
658427;658426
660406;660405
658767;658766
659492;659491
660026;660025
660249;660248
660575;660574
659338;659337
671151;671150
660220;660219
798675;798674
660704;660703
659446;659445
661402;661401
659798;659797
857902;857901
876795;876794
660358;660357
659940;659939
882691;882690
659069;659068
661010;661009
843403;843402
661076;661075
660732;660731
659664;659663
659960;659959
834801;834800
659870;659869
660473;660472
661052;661051
661231;661230
659136;659135
659982;659981
661054;661053
659954;659953
658573;658572
659582;659581
661340;661339
868534;868533
661198;661197
659820;659819
658848;658847
659880;659879
672921;672920
875248;875247
660994;660993
660008;660007
670585;670584
660471;660470
661172;661171
661130;661129
659924;659923
660044;660043
658884;658883
660285;660284
798677;798676
659768;659767
802630;802629
797162;797161
661426;661425
658826;658825
659548;659547
660768;660767
674400;674399
659372;659371
859165;859164
1065210;1065209
660539;660538
660926;660925
660834;660833
1065186;1065185
660591;660590
658575;658574
659992;659991
881738;881737
660936;660935
660168;660167
658585;658584
659594;659593
659796;659795
878831;878830
659692;659691
661202;661201
661452;661451
659818;659817
1065228;1065227
661356;661355
660774;660773
658990;658989
661124;661123
660158;660157
660664;660663
661120;661119
660422;660421
878565;878564
659085;659084
660390;660389
659406;659405
660878;660877
659364;659363
659804;659803
660086;660085
659628;659627
937576;937575
660142;660141
660420;660419
661686;661685
797122;797121
660054;660053
660166;660165
660790;660789
659398;659397
661218;661217
660798;660797
660114;660113
874460;874459
660343;660342
659558;659557
658367;658366
660022;660021
661344;661343
660503;660502
660746;660745
658880;658879
659348;659347
659896;659895
659434;659433
659866;659865
660062;660061
797160;797159
661030;661029
660319;660318
659572;659571
658864;658863
661186;661185
658894;658893
658900;658899
661394;661393
660080;660079
660924;660923
661273;661272
671306;671305
660914;660913
660585;660584
659161;659160
660872;660871
658363;658362
660577;660576
661322;661321
661462;661461
660392;660391
661308;661307
660162;660161
661044;661043
660299;660298
661138;661137
662125;662124
659916;659915
876021;876020
661310;661309
661312;661311
660712;660711
659598;659597
671956;671955
659978;659977
659606;659605
661178;661177
661672;661671
661122;661121
664803;664802
660291;660290
659426;659425
659269;659268
661753;661752
661192;661191
659170;659169
661226;661225
660720;660719
661294;661293
661396;661395
952094;952093
659458;659457
659454;659453
659468;659467
659546;659545
660954;660953
803975;803974
659740;659739
659698;659697
659678;659677
661326;661325
660120;660119
875390;875389
660986;660985
660698;660697
660156;660155
670518;670517
883538;883537
660828;660827
659988;659987
760576;760575
663571;663570
660718;660717
660772;660771
662190;662189
660463;660462
661034;661033
659316;659315
659882;659881
658840;658839
659116;659115
661188;661187
660372;660371
659368;659367
660134;660133
659334;659333
661622;661621
1058201;1058200
659146;659145
659328;659327
659574;659573
661694;661693
661012;661011
660018;660017
660218;660217
661586;661585
660605;660604
660154;660153
760214;760213
660634;660633
937983;937982
660006;660005
659736;659735
798673;798672
659932;659931
659584;659583
659936;659935
660273;660272
660976;660975
660912;660911
660144;660143
660900;660899
661408;661407
660668;660667
660410;660409
673914;673913
660106;660105
659810;659809
661460;661459
660545;660544
659396;659395
660513;660512
660337;660336
660734;660733
659450;659449
659904;659903
672616;672615
660232;660231
659360;659359
661156;661155
797082;797081
660894;660893
660426;660425
659416;659415
673244;673243
660449;660448
659400;659399
1057709;1057708
658822;658821
659850;659849
661378;661377
660680;660679
660098;660097
660481;660480
658882;658881
659498;659497
660551;660550
659472;659471
661517;661516
660579;660578
660984;660983
660784;660783
660012;660011
866624;866623
658421;658420
661612;661611
778969;778968
661368;661367
661422;661421
659794;659793
660122;660121
660028;660027
662229;662228
661670;661669
661040;661039
659742;659741
659700;659699
1065224;1065223
661102;661101
660501;660500
659876;659875
660904;660903
661042;661041
1057707;1057706
660301;660300
661106;661105
659474;659473
658980;658979
659444;659443
660140;660139
661078;661077
883673;883672
866309;866308
660321;660320
660459;660458
660884;660883
659990;659989
659346;659345
660846;660845
659616;659615
660180;660179
660557;660556
659290;659289
804320;804319
659292;659291
659412;659411
660938;660937
659840;659839
659602;659601
661032;661031
659428;659427
659908;659907
661018;661017
879475;879474
659590;659589
659578;659577
659712;659711
1065172;1065171
660182;660181
658842;658841
660146;660145
660438;660437
798560;798559
660024;660023
661064;661063
659734;659733
1065248;1065247
659366;659365
658938;658937
659928;659927
660726;660725
879728;879727
658381;658380
672976;672975
660644;660643
661620;661619
660038;660037
781592;781591
660265;660264
661212;661211
660305;660304
660708;660707
797164;797163
661614;661613
778551;778550
660251;660250
659041;659040
660922;660921
661480;661479
876695;876694
658988;658987
804322;804321
797126;797125
660297;660296
674774;674773
660716;660715
661529;661528
875795;875794
661666;661665
660295;660294
659898;659897
660511;660510
660394;660393
658830;658829
660962;660961
659790;659789
659744;659743
877386;877385
877237;877236
660014;660013
660864;660863
672206;672205
670455;670454
660786;660785
660970;660969
671215;671214
660748;660747
659516;659515
660287;660286
660386;660385
659836;659835
660064;660063
662227;662226
920021;920020
661304;661303
661132;661131
660247;660246
660672;660671
660607;660606
661320;661319
660329;660328
834466;834465
744588;744587
660621;660620
659864;659863
658359;658358
933547;933546
660730;660729
1057695;1057694
668932;668931
660491;660490
1065244;1065243
659045;659044
660277;660276
661392;661391
660830;660829
661420;661419
659918;659917
1065252;1065251
659530;659529
1057721;1057720
659562;659561
660880;660879
661416;661415
661290;661289
797130;797129
671466;671465
660567;660566
661565;661564
660549;660548
660952;660951
660052;660051
797084;797083
864866;864865
660116;660115
660354;660353
659142;659141
659858;659857
661726;661725
660840;660839
660479;660478
661092;661091
660384;660383
660382;660381
658773;658772
660030;660029
659480;659479
660676;660675
661336;661335
659716;659715
660920;660919
658862;658861
662106;662105
660002;660001
660152;660151
659688;659687
658986;658985
798504;798503
660341;660340
661026;661025
660523;660522
661374;661373
659984;659983
661220;661219
660408;660407
660571;660570
660852;660851
659039;659038
1065226;1065225
659282;659281
672839;672838
661094;661093
659976;659975
660674;660673
662186;662185
661046;661045
661618;661617
673141;673140
661214;661213
659484;659483
661267;661266
663582;663581
1065232;1065231
661523;661522
658737;658736
660032;660031
673623;673622
660128;660127
659524;659523
660226;660225
671999;671998
660978;660977
742976;742975
659500;659499
856467;856466
661424;661423
659460;659459
660559;660558
659490;659489
660184;660183
659488;659487
661176;661175
760123;760122
660493;660492
661390;661389
661261;661260
672432;672431
