t_id_direccion;t_id_predio;nombre_predio
661696;661695;
659942;659941;
660571;660570;
659502;659501;
660513;660512;
659726;659725;
672206;672205;
659834;659833;
660249;660248;
798673;798672;
661086;661085;
659132;659131;
661430;661429;
659146;659145;
660214;660213;
660331;660330;
660162;660161;
660515;660514;
659368;659367;
660820;660819;
1047073;1047072;0
659566;659565;
662190;662189;
660066;660065;
661010;661009;
661364;661363;
659602;659601;
660026;660025;
659130;659129;
660567;660566;
661088;661087;
661482;661481;
797156;797155;
661263;661262;
673823;673822;
660068;660067;
661432;661431;
797088;797087;
659820;659819;
661008;661007;
659372;659371;
662223;662222;
803973;803972;
661632;661631;
1065250;1065249;
877432;877431;
659562;659561;
660978;660977;
658902;658901;
660186;660185;
660852;660851;
661314;661313;
660746;660745;
659416;659415;
658832;658831;
659718;659717;
659000;658999;
660898;660897;
660563;660562;
660465;660464;
659031;659030;
659532;659531;
659910;659909;
661588;661587;
672976;672975;
661202;661201;
659948;659947;
660299;660298;
1058199;1058198;0
670518;670517;
661426;661425;
660072;660071;
660569;660568;
660350;660349;
797164;797163;
875248;875247;
660601;660600;
760214;760213;
760123;760122;0
659816;659815;
1065138;1065137;
798677;798676;
660146;660145;
660228;660227;
659138;659137;
661416;661415;
659128;659127;
659422;659421;
660527;660526;
659580;659579;
658892;658891;
660868;660867;
660184;660183;
661024;661023;
659862;659861;
660708;660707;
661614;661613;
659698;659697;
660392;660391;
661386;661385;
659852;659851;
668901;668900;
659756;659755;
658369;658368;
660100;660099;
660634;660633;
660106;660105;
659962;659961;
802632;802629;
660800;660799;
659041;659040;
660394;660393;
659524;659523;
660632;660631;
659446;659445;
659738;659737;
660481;660480;
661320;661319;
661396;661395;
869357;869356;
659538;659537;
798502;798501;
856904;856903;
661666;661665;
659045;659044;
659504;659503;
660485;660484;
659486;659485;
659586;659585;
660501;660500;
661106;661105;
658840;658839;
660888;660887;
661460;661459;
660028;660027;
661172;661171;
659628;659627;
660776;660775;
659940;659939;
660451;660450;
883538;883537;
659328;659327;
660638;660637;
877605;877604;
661138;661137;
660541;660540;
659396;659395;
864866;864865;
659460;659459;
661360;661359;
658417;658416;
660277;660276;
863917;863916;
661004;661003;
660144;660143;
659982;659981;
659762;659761;
659946;659945;
659790;659789;
856471;856470;
660615;660614;
661231;661230;
660660;660659;
658377;658376;
668867;668866;
660668;660667;
670585;670584;
658441;658440;
660080;660079;
659912;659911;
660154;660153;
659740;659739;
797126;797125;
881738;881737;
661668;661667;
660946;660945;
660428;660427;
863313;863312;
660386;660385;
673623;673622;
1065256;1065255;
660064;660063;
659398;659397;
660267;660266;
937989;937988;
659073;659072;
1065262;1065261;
660607;660606;
660579;660578;
881705;881704;
659932;659931;
668932;668931;
660930;660929;
658407;658406;
672859;672858;
661436;661435;
658371;658370;
659744;659743;
660471;660470;
660824;660823;
1065168;1065167;0
872083;872082;
660778;660777;
798532;798531;
659702;659701;
660581;660580;
883524;883523;
659356;659355;
659564;659563;
661374;661373;
659984;659983;
870110;870109;
660908;660907;
658737;658736;
659574;659573;
661700;661699;
662125;662124;
660712;660711;
658771;658770;
662168;662167;
661328;661327;
659846;659845;
937983;937982;
673183;673182;
659470;659469;
662221;662220;
672616;672615;
804322;804321;
797122;797121;
660860;660859;
659442;659441;
660736;660735;
660042;660041;
660142;660141;
866216;866215;
660044;660043;
804320;804319;
660132;660131;
661058;661057;
659476;659475;
660780;660779;
760216;760215;
660281;660280;
659672;659671;
660599;660598;
660022;660021;
659916;659915;
863391;863390;
659528;659527;
661198;661197;
674400;674399;
671685;671684;
760576;760575;
660339;660338;
659608;659607;
1065224;1065223;
659878;659877;
661561;661560;
660295;660294;
658886;658885;
662174;662173;
659864;659863;
662184;662183;
660557;660556;
660414;660413;
658385;658384;
661000;660999;
658890;658889;
661686;661685;
661180;661179;
659990;659989;
1057707;1057706;
659880;659879;
1057703;1057702;
661094;661093;
659794;659793;
658824;658823;
659114;659113;
659716;659715;
660605;660604;
660158;660157;
660038;660037;
660714;660713;
661521;661520;
660110;660109;
660980;660979;
659840;659839;
856427;856426;
876021;876020;
672480;672479;
882691;882690;
797082;797081;
660732;660731;
658684;658683;
661092;661091;
659051;659050;
660748;660747;
1065258;1065257;
661340;661339;
660948;660947;
658773;658772;
661182;661181;
659340;659339;
797124;797123;
660030;660029;
661170;661169;
661688;661687;
660505;660504;
658409;658408;
661458;661457;
660364;660363;
671466;671465;
660070;660069;
660958;660957;
661273;661272;
660438;660437;
660525;660524;
660964;660963;
660920;660919;
658375;658374;
660050;660049;
661174;661173;
662106;662105;
660210;660209;
1065204;1065203;
663582;663581;
873346;873345;
660545;660544;
660006;660005;
660090;660089;
661523;661522;
660303;660302;
659306;659305;
778648;778647;C
659142;659141;
660297;660296;
659584;659583;
658870;658869;
659922;659921;
660551;660550;
661434;661433;
660828;660827;
660738;660737;
660172;660171;
659500;659499;
660426;660425;
661442;661441;
660024;660023;
798418;798417;
660640;660639;
660000;659999;
851985;851984;
659434;659433;
661618;661617;
658966;658965;
659522;659521;
661408;661407;
661539;661538;
660475;660474;
661066;661065;
671956;671955;
660790;660789;
660174;660173;
659592;659591;
659796;659795;
659544;659543;
658603;658602;
882817;882816;
660840;660839;
659828;659827;
878561;878560;
658838;658837;
660469;660468;
660293;660292;
798588;798587;
1058625;1058624;C
661474;661473;
