t_id_predio;numero_predial;matricula_inmobiliaria
927977;470010002000000040801800005000;111283
738887;470010103000000590801800000074;57063
930132;470010107000000990801800000032;60009
1035302;470010107000000810801800000306;7089
815156;470010004000000020801800000353;60553
666089;470010109000002580801800000280;51494
974425;470010109000002580801800000259;51476
697515;470010104000001070801800000026;65581
671224;470010001000000020801800002417;151695
1016410;470010111000002880801800000039;60294
1069021;470010002000000070801800001953;112767
705513;470010111000002880801800000093;60344
912412;470010110000000170801800000046;32067
1057177;470010107000001380801800000179;46426
927698;470010002000000070804800007163;131487
996765;470010112000000940801800000285;51937
691258;470010106000007720801800000008;67094
748700;470010109000002580801800000196;51412
1052393;470010110000000460801800000080;39010
947760;470010109000002580801800000040;51245
1072284;470010002000000050801800000248;73763
1067346;470010002000000060801800004645;107227
1058268;470010001000000020802800001540;61884
780181;470010106000007660801800000004;63301
779606;470010001000000020801800001389;57795
680234;470010107000000420801800000002;7523
864026;470010107000000810802800000344;79500
1062947;470010109000002580801800000390;105799
947689;470010111000002880801800000066;60317
712209;470010002000000050801800000272;73793
855013;470010102000002490801800000047;63403
773583;470010107000001050801800000128;24245
832331;470010002000000070803800007076;133930
789438;470010110000000470802800000033;25800
672758;470010102000003920801800000020;70707
1054935;470010002000000070803800007104;133951
956752;470010107000001050801800000165;121546
908590;470010106000007730801800000012;67082
735990;470010107000000420801800000014;7511
845386;470010111000002880801800000040;60277
739174;470010103000000590802800000090;75818
767677;470010111000000860801800000007;63699
1011110;470010109000002580801800000082;51293
1016546;470010002000000070803800007110;133957
724843;470010107000000530801800000022;12949
771476;470010107000000720801800000000;56006
955696;470010104000001070802800000041;89115
967732;470010106000007670801800000014;63310
1056993;470010112000000940801800000149;51800
1002894;470010001000000020802800001537;61881
944438;470010107000001550801800000026;86476
961476;470010110000000490802800000073;59424
1054510;470010112000000940801800000222;51874
818043;470010002000000070804800007158;131504
688137;470010112000000940801800000192;51844
1061700;470010004000000020801800000349;60549
879674;470010106000007690801800000005;67067
741042;470010107000000440801800000021;14191
988680;470010002000000070804800007173;131477
666290;470010004000000020801800000299;60499
1057434;470010107000000840801800000063;36891
1054233;470010106000007090801800000004;51156
1038710;470010115000000790801800000051;87191
981837;470010107000001220801800000006;32729
930373;470010002000000070803800007070;133917
696383;470010002000000070801800006996;108023
788063;470010107000001050801800000116;24235
1070765;470010107000000840801800000105;36879
742308;470010109000002580801800000137;51352
929690;470010112000000940801800000179;51831
1029317;470010106000007080801800000002;51102
1004426;470010002000000050801800000208;73669
1026956;470010002000000070802800002041;115080
698300;470010102000001090801800000023;31327
771080;470010107000001380801800000045;32544
1049928;470010107000001050801800000079;50333
745140;470010002000000040801800004974;111254
787583;470010004000000020801800000245;60445
745487;470010106000007670801800000003;63356
1062585;470010002000000050801800000293;73804
978900;470010104000001070802800000042;89116
1065653;470010002000000050802800000392;68557
901852;470010103000000590801800000067;57070
956089;470010002000000050801800000098;73613
908416;470010109000002580801800000014;51209
1013485;470010002000000070801800007068;121908
964456;470010103000000450801800000088;38756
1047979;470010110000000540801800000003;41962
774317;470010001000000020801800002418;151697
666547;470010106000007690801800000019;63331
1063864;470010110000000460801800000094;39024
768185;470010003000000010802800004063;128809
1066283;470010109000002580801800000297;105751
1003729;470010107000001050801800000038;24190
963912;470010106000000230801800000048;68758
809065;470010107000000880801800000044;39687
743014;470010102000002160802800000039;100580
795579;470010107000001380801800000180;46427
929320;470010103000000590801800000066;57071
1023420;470010002000000050801800000273;73792
779869;470010107000000990801800000066;100643
682690;470010106000007660801800000003;63300
1035950;470010001000000020802800001514;61897
954445;470010109000002580801800000030;51233
877191;470010103000000570801800000019;60795
724599;470010106000007700801800000008;67099
1053678;470010105000001250801800000015;122922
845848;470010002000000070803800007077;133931
812146;470010112000000940801800000181;51833
1040130;470010001000000020803800001649;62043
1003291;470010103000000590801800000080;57057
802807;470010110000000520801800000001;3416
1017694;470010109000002580801800000277;51491
1023744;470010107000001050801800000075;24178
980935;470010002000000070804800007121;131448
924712;470010106000007670801800000026;63345
664816;470010111000002880801800000079;60329
721451;470010107000000880801800000042;39691
950563;470010106000007690801800000012;67060
808005;470010109000002580801800000003;51197
1043809;470010002000000070801800001974;112788
704879;470010112000000940801800000010;51661
684507;470010003000000010802800004070;128816
885373;470010110000000400801800000526;25406
865596;470010110000000400801800000517;25400
780179;470010106000007090801800000003;51155
680499;470010107000001300801800000051;96853
658790;470010107000000530801800000001;11577
1071574;470010107000001050801800000053;24156
1071551;470010107000000990801800000071;100648
1055104;470010109000002580801800000092;51306
769723;470010107000000630801800000018;34217
1016770;470010105000002070801800000017;30695
786649;470010106000007680801800000006;63372
922130;470010002000000060801800004591;107171
925688;470010004000000020801800000277;60477
682874;470010111000002880801800000110;60360
785759;470010106000007710801800000001;67124
983303;470010107000001570801800000039;97979
829758;470010113000000530801800000019;60662
1004648;470010004000000020801800000307;60507
678543;470010112000000940801800000232;51884
1054328;470010109000002580801800000295;105749
1068464;470010110000000460801800000053;38983
845392;470010103000000470801800000064;123890
785787;470010103000000570801800000024;60801
1040604;470010112000000940801800000216;51868
771789;470010109000002580801800000396;105805
737998;470010112000000940801800000104;51755
970666;470010107000000990801800000063;60040
954887;470010110000000520801800000014;3429
922058;470010112000000940801800000244;51896
1040036;470010002000000060801800004676;107258
912410;470010110000000170801800000042;32078
1012253;470010002000000070802800002040;115079
865503;470010110000000170801800000041;32077
1054759;470010002000000050801800000235;73740
779795;470010002000000070801800001968;112782
961231;470010112000000940801800000078;51729
830025;470010109000002580801800000347;51519
715998;470010109000002580801800000172;51388
751152;470010109000002580801800000116;51330
1067372;470010002000000060801800004716;107299
786766;470010102000001090801800000024;31325
997427;470010106000007700801800000006;67101
824645;470010002000000070801800001962;112776
784080;470010115000000790801800000050;87190
1025875;470010112000000940801800000257;51909
1063624;470010107000000440801800000032;8618
970851;470010106000007070801800000006;51088
1057562;470010109000001140801800000018;59504
980130;470010001000000020802800001546;61871
846732;470010107000001570801800000060;98000
685085;470010110000000490802800000010;29763
999146;470010001000000020803800001658;62051
1029800;470010112000000940801800000289;51941
947520;470010102000002490801800000043;63399
1017446;470010102000002160801800000031;95750
908804;470010107000001540801800000001;86451
933088;470010002000000050801800000251;73770
886980;470010002000000050801800000280;73795
1070697;470010004000000020801800000268;60468
838625;470010110000000730802800000019;59261
792301;470010002000000050801800000324;73837
979530;470010112000000940801800000319;51971
1036444;470010103000000450801800000093;38761
1025330;470010106000007680801800000005;63373
944164;470010107000000530801800000029;14843
1055782;470010108000000160801800000018;31787
948019;470010107000000600801800000024;29315
830736;470010106000007080801800000003;90478
845599;470010106000007670801800000005;63354
845957;470010004000000020801800000310;60510
1001041;470010001000000020801800001388;57794
1051706;470010110000000730802800000021;59263
878202;470010113000000350801800000030;71918
1065388;470010002000000050801800000311;73826
1069480;470010002000000070804800007124;131451
884863;470010107000000840801800000103;36877
723930;470010102000002160801800000035;95754
1018860;470010106000000230801800000037;68747
1018854;470010109000002580801800000353;105779
991783;470010107000000840801800000081;37891
841372;470010002000000070801800007046;101945
751445;470010106000007080801800000019;90479
842671;470010109000002580801800000149;51364
713784;470010112000000940801800000262;51914
704081;470010107000001050801800000043;24195
