t_id_unidadconstruccion;t_id_caracteristicaunidadconstruccion;tipo_unidad_construccion;uso_construccion;total_habitaciones
1241546;36302;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1200857;66665;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199560;36437;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1275630;10574;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1209648;26374;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1199811;57786;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1235715;52231;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1265642;9198;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1238279;20979;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1204412;34815;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1196697;2613;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1194974;56719;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1268836;15893;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1210815;46851;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1255865;41902;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1279918;5833;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1267123;35084;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1250029;25581;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1251762;781;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1223976;75831;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1196224;67435;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1280950;3647;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1190260;34403;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1210633;40186;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1189423;5802;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1228589;3174;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1210065;13523;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1238200;2843;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1251210;60802;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1229598;39461;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1278351;28588;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1221499;14288;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1203367;3000;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1198823;83159;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1214328;34481;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1251891;24795;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1199611;48382;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1273577;4206;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1224154;21182;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1208693;41042;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1205082;34304;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1263949;23090;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1194636;56621;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1256544;35128;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1254518;33402;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1202392;21449;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1206991;36455;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1262277;52314;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1261416;8925;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1260982;34454;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1239679;17982;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1280955;5128;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1271942;4762;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1196160;58053;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1201891;39878;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1229239;12233;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1253434;58199;Residencial;Residencial.Vivienda_Hasta_3_Pisos_En_PH;0
1192054;59658;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1225819;35859;Residencial;Residencial.Apartamentos_4_y_mas_pisos_en_PH;0
1255035;46860;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1278990;18210;Residencial;Residencial.Apartamentos_Mas_De_4_Pisos;0
1253078;12921;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
1270477;63848;Residencial;Residencial.Vivienda_Hasta_3_Pisos;0
