t_id_predio;numero_predial;condicion_predio
813780;470010003000000012935500000001;Parque_Cementerio.Unidad_Predial
805295;470010106000010450017500000001;Parque_Cementerio.Unidad_Predial
814649;470010103000003360222500000001;Parque_Cementerio.Unidad_Predial
805285;470010106000010430023500000001;Parque_Cementerio.Unidad_Predial
826445;470010109000001490003500000001;Parque_Cementerio.Unidad_Predial
850539;470010103000004620007500000364;Parque_Cementerio.Unidad_Predial
718074;470010900000002260004500000001;Parque_Cementerio.Unidad_Predial
872467;470010103000003140014500000001;Parque_Cementerio.Unidad_Predial
741171;470010800000000560013500000002;Parque_Cementerio.Unidad_Predial
827049;470010106000012040028500000001;Parque_Cementerio.Unidad_Predial
849388;470010103000004620004500000036;Parque_Cementerio.Unidad_Predial
1000610;470010110000000380903901021057;PH.Unidad_Predial
768768;470010103000004620007500000354;Parque_Cementerio.Unidad_Predial
659539;470010107000000800901900000000;PH.Matriz
748054;470010003000000013226500000001;Parque_Cementerio.Unidad_Predial
688916;470010003000000013156500000001;Parque_Cementerio.Unidad_Predial
824629;470010106000004490011500000001;Parque_Cementerio.Unidad_Predial
883421;470010106000005770001500000001;Parque_Cementerio.Unidad_Predial
737400;470010109000001570005500000001;Parque_Cementerio.Unidad_Predial
677097;470010105000002010026500000001;Parque_Cementerio.Unidad_Predial
663040;470010113000000370014500000001;Parque_Cementerio.Unidad_Predial
872795;470010103000004620004500000027;Parque_Cementerio.Unidad_Predial
933177;470010114000001190026500000001;Parque_Cementerio.Unidad_Predial
693343;470010103000002400002500000002;Parque_Cementerio.Unidad_Predial
900011;470010102000004430016500000001;Parque_Cementerio.Unidad_Predial
889341;470010111000002430001500000017;Parque_Cementerio.Unidad_Predial
848364;470010002000000049927500000006;Parque_Cementerio.Unidad_Predial
759189;470010103000000200022500000001;Parque_Cementerio.Unidad_Predial
991319;470010104000000650901901010571;PH.Unidad_Predial
3020611;470010110000001590901901000023;PH.Unidad_Predial
840264;470010115000006340001500000063;Parque_Cementerio.Unidad_Predial
798856;470010106000000310139500000002;Parque_Cementerio.Unidad_Predial
881437;470010103000005200045500000001;Parque_Cementerio.Unidad_Predial
976991;470010114000001490014500000001;Parque_Cementerio.Unidad_Predial
964942;470010001000000022093500000022;Parque_Cementerio.Unidad_Predial
893673;470010002000000042712500000146;Parque_Cementerio.Unidad_Predial
1059725;470010110000000660901901000084;PH.Unidad_Predial
760317;470010101000000270074500000002;Parque_Cementerio.Unidad_Predial
1055705;470010108000000140008000000000;NPH
940293;470010003000000010671500000088;Parque_Cementerio.Unidad_Predial
830152;470010116000001680001500000011;Parque_Cementerio.Unidad_Predial
801943;470010102000002570012500000002;Parque_Cementerio.Unidad_Predial
889590;470010106000002630011500000001;Parque_Cementerio.Unidad_Predial
913431;470010106000001730004500000002;Parque_Cementerio.Unidad_Predial
927941;470010103000001110010500000001;Parque_Cementerio.Unidad_Predial
887556;470010114000000720098500000001;Parque_Cementerio.Unidad_Predial
934813;470010106000002630009500000001;Parque_Cementerio.Unidad_Predial
851378;470010110000000320005901040427;PH.Unidad_Predial
815904;470010003000000013555500000001;Parque_Cementerio.Unidad_Predial
674980;470010106000005630007500000002;Parque_Cementerio.Unidad_Predial
707879;470010111000001760003500000148;Parque_Cementerio.Unidad_Predial
3017032;470010107000000150903901020108;PH.Unidad_Predial
932960;470010800000000500002500000001;Parque_Cementerio.Unidad_Predial
833485;470010003000000013697500000001;Parque_Cementerio.Unidad_Predial
786752;470010106000011580010500000001;Parque_Cementerio.Unidad_Predial
934562;470010106000010310003500000001;Parque_Cementerio.Unidad_Predial
978314;470010103000003350005500000001;Parque_Cementerio.Unidad_Predial
674620;470010105000000950013500000001;Parque_Cementerio.Unidad_Predial
672920;470010103000000520906900000000;PH.Matriz
970861;470010103000004620017500000002;Parque_Cementerio.Unidad_Predial
759533;470010114000001630003500000001;Parque_Cementerio.Unidad_Predial
1020321;470010110000000380903901001419;PH.Unidad_Predial
675337;470010106000001710123500000001;Parque_Cementerio.Unidad_Predial
888028;470010111000000400001500000017;Parque_Cementerio.Unidad_Predial
787709;470010105000002270024500000010;Parque_Cementerio.Unidad_Predial
843272;470010103000004560023500000001;Parque_Cementerio.Unidad_Predial
967706;470010002000000021681500000001;Parque_Cementerio.Unidad_Predial
704772;470010001000000022117500000018;Parque_Cementerio.Unidad_Predial
677151;470010111000002510007500000001;Parque_Cementerio.Unidad_Predial
714138;470010103000002570018500000001;Parque_Cementerio.Unidad_Predial
803257;470010003000000010808500000111;Parque_Cementerio.Unidad_Predial
1046488;470010106000010720029500000001;Parque_Cementerio.Unidad_Predial
691519;470010105000002180001500000087;Parque_Cementerio.Unidad_Predial
825804;470010103000003360010500000001;Parque_Cementerio.Unidad_Predial
742922;470010115000000770015500000078;Parque_Cementerio.Unidad_Predial
949415;470010109000003860004500000001;Parque_Cementerio.Unidad_Predial
1002613;470010107000000460901901040036;PH.Unidad_Predial
772298;470010003000000012199500000001;Parque_Cementerio.Unidad_Predial
782710;470010003000000040286500000001;Parque_Cementerio.Unidad_Predial
3010504;470010104000000020902901030119;PH.Unidad_Predial
890605;470010002000000051083500000483;Parque_Cementerio.Unidad_Predial
843001;470010103000008300002500000001;Parque_Cementerio.Unidad_Predial
913581;470010106000007820013500000001;Parque_Cementerio.Unidad_Predial
695019;470010106000006650051500000001;Parque_Cementerio.Unidad_Predial
894431;470010003000000012447500000001;Parque_Cementerio.Unidad_Predial
3027823;470010107000000280904901010133;PH.Unidad_Predial
694627;470010109000000460026500000001;Parque_Cementerio.Unidad_Predial
827248;470010109000003850011500000001;Parque_Cementerio.Unidad_Predial
929833;470010106000011940044500000001;Parque_Cementerio.Unidad_Predial
706444;470010103000008310038500000001;Parque_Cementerio.Unidad_Predial
933227;470010103000004740041500000001;Parque_Cementerio.Unidad_Predial
848260;470010900000002100008500000001;Parque_Cementerio.Unidad_Predial
780477;470010107000001400005500000155;Parque_Cementerio.Unidad_Predial
840834;470010103000003550007500000001;Parque_Cementerio.Unidad_Predial
1033506;470010006000000020015500000027;Parque_Cementerio.Unidad_Predial
840142;470010102000002570006500000002;Parque_Cementerio.Unidad_Predial
817995;470010003000000010561500000001;Parque_Cementerio.Unidad_Predial
3021424;470010104000000740901901020035;PH.Unidad_Predial
