t_id_predio;numero_predial;matricula_inmobiliaria
975623;470010103000003630007000000000;10100240003351
665090;470010109000001360017000000000;10102350031559
943176;470010106000000640001000000000;10204160089168
814428;470010102000002380013000000000;10204240039458
845071;470010109000001630015000000000;10102350031559
974206;470010109000001400015000000000;10102350031559
967258;470010103000007520017000000000;10100240003351
833051;470010109000000930017000000000;10102050031559
891800;470010109000001780010000000000;10104350035267
969125;470010102000002760003000000000;10104360035659
797579;470010103000003140014000000000;10301700013059
889553;470010101000000760019000000000;10100080000948
880125;470010109000000920009000000000;10102050031559
791750;470010104000000460001000000000;20104530016169
834134;470010101000000800002000000000;10300860141766
848454;470010109000002120007000000000;10102350031559
930660;470010109000001290004000000000;10102350031559
902614;470010109000001210017000000000;10102350031559
958903;470010109000000900005000000000;10102050030559
894898;470010106000001820002000000000;10200080055971
704380;470010109000001240003000000000;10102350031559
884961;470010109000001320009000000000;10102350031559
827147;470010109000001690002000000000;10102350031559
751701;470010104000000480013000000000;10100220027948
740397;470010103000003130023000000000;10301700013059
928446;470010103000003170004000000000;10300950014254
881585;470010101000000680006000000000;20103550004955
984704;470010109000001190003000000000;10102350031559
881957;470010102000001750009000000000;10200290072070
886104;470010109000001570006000000000;10102350031559
937137;470010101000000640045000000000;10100210002639
1027380;470010102000002520028000000000;20100250004351
893859;470010109000001670004000000000;10102350031559
880129;470010103000001690006000000000;20103780017471
699307;470010109000001740019000000000;10102350031559
908540;470010109000001740006000000000;10102350031559
826652;470010101000000540014000000000;10104720037872
889128;470010103000003560003000000000;10100240003351
833992;470010103000002750007000000000;10300940014254
842827;470010109000001680005000000000;10102350031559
851503;470010102000000630004000000000;10300580005056
686857;470010114000000380008000000000;10200160069270
854107;470010102000003080010000000000;10402520023459
883155;470010103000007520008000000000;10100240003351
832295;470010103000002300010000000000;10102050009664
782573;470010109000001260008000000000;10102350031559
701783;470010102000002700061000000000;10201830097164
701681;470010103000002380010000000000;10100240003351
723800;470010101000000440011000000000;10203820084563
921111;470010103000002320004000000000;10203630081768
877351;470010109000001740018000000000;10102350031559
937437;470010002000000010232000000000;10202200024148
852494;470010103000000740010000000000;10202830129765
795530;470010103000002300013000000000;10102050009664
962454;470010102000003070005000000000;10500000000059
705005;470010109000001500007000000000;10102350031559
662661;470010101000001930007000000000;10201780021247
