t_id_derecho;tipo_derecho
2941519;Dominio
2926012;Dominio
2942307;Dominio
2933716;Dominio
2942777;Dominio
2933753;Dominio
2934840;Dominio
2944183;Dominio
2941976;Dominio
2943293;Dominio
2943345;Dominio
2943456;Dominio
2943457;Dominio
2933979;Dominio
2933717;Dominio
2920036;Dominio
2907369;Dominio
2920037;Dominio
2942382;Dominio
2943346;Dominio
2878403;Dominio
2943232;Dominio
2926066;Dominio
2943292;Dominio
2934836;Dominio
2942427;Dominio
2933814;Dominio
2923438;Dominio
2934597;Dominio
2939203;Dominio
2942852;Dominio
2923034;Dominio
2941825;Dominio
2928314;Dominio
2933980;Dominio
2923434;Dominio
2924018;Otro
2933754;Dominio
2943398;Dominio
2942005;Dominio
2956892;Dominio
2943322;Dominio
2933599;Dominio
2925966;Dominio
2878437;Dominio
2923436;Dominio
2878414;Dominio
2934615;Dominio
2923679;Dominio
2933445;Dominio
2939204;Dominio
2933492;Dominio
2943397;Dominio
2944209;Dominio
2923575;Dominio
2933877;Dominio
2943160;Dominio
2919690;Dominio
2941834;Dominio
2933810;Dominio
2942771;Dominio
2927528;Dominio
2943233;Dominio
2956899;Dominio
2919591;Dominio
2911552;Dominio
2919658;Dominio
2922050;Dominio
2933594;Dominio
2933436;Dominio
2923036;Dominio
2939201;Dominio
2907608;Dominio
2933867;Dominio
2943310;Dominio
2919546;Dominio
2939205;Dominio
2923867;Dominio
