t_id_interesado;tipo_interesado;tipo_documento;documento_identidad;razon_social
513536;Persona_Juridica;NIT;9011809952; 
512451;Persona_Juridica;NIT;901764071-1; 
514051;Persona_Juridica;NIT;901380309; 
513340;Persona_Juridica;NIT;9011423731; 
514288;Persona_Juridica;NIT;9014037188; 
514996;Persona_Juridica;NIT;860042945-5; 
513832;Persona_Juridica;NIT;9009038948; 
513561;Persona_Juridica;NIT;900266219-2; 
514150;Persona_Juridica;NIT;830042489-9; 
514814;Persona_Juridica;NIT;900266219-2; 
514358;Persona_Juridica;NIT;9007307598; 
514289;Persona_Juridica;NIT;9010654476; 
513647;Persona_Juridica;NIT;9015275518; 
513550;Persona_Juridica;NIT;900266219-2; 
513964;Persona_Juridica;NIT;9016033628; 
514515;Persona_Juridica;NIT;9007808242; 
514976;Persona_Juridica;NIT;900266219-2; 
514800;Persona_Juridica;NIT;8190003647; 
514999;Persona_Juridica;NIT;830042489-9; 
513818;Persona_Juridica;NIT;860042945-5; 
513568;Persona_Juridica;NIT;901265301; 
514750;Persona_Juridica;NIT;8605348878; 
514265;Persona_Juridica;NIT;9013840575; 
513409;Persona_Juridica;NIT;9016220061; 
513440;Persona_Juridica;NIT;9016376944; 
514756;Persona_Juridica;NIT;9017409995; 
514169;Persona_Juridica;NIT;900137683; 
513355;Persona_Juridica;NIT;900512044-6; 
513824;Persona_Juridica;NIT;9016540503; 
