t_id_tramitecatastral;clase_mutacion;numero_resolucion;fecha_resolucion;fecha_radicacion
1187897;Mutacion_Primera_Clase;SMT-3012;2024-10-01;2024-01-01
1179909;Mutacion_Primera_Clase;SMT-3211;2024-07-18;2024-06-27
1187896;Mutacion_Primera_Clase;SMT-2998;2024-10-01;2024-01-01
1187785;Rectificaciones;SMT-1233;2023-10-10;2024-01-01
1187717;Complementacion;SMT-1332;2023-11-02;2024-01-01
1187800;Mutacion_Segunda_Clase;SMT-1380;2023-11-16;2024-01-01
1187895;Mutacion_Primera_Clase;SMT-2996;2024-10-01;2024-01-01
1179891;Mutacion_Primera_Clase;SMT-3266;2024-07-24;2024-06-13
1179310;Rectificaciones;SMT-4511;2024-11-27;2024-10-23
1186291;Mutacion_Primera_Clase;SMT-73;2023-02-22;2024-01-01
1180694;Mutacion_Segunda_Clase;SMT-1308;2022-09-27;2024-01-01
1186295;Mutacion_Primera_Clase;SMT-614;2022-04-12;2024-01-01
1186293;Mutacion_Primera_Clase;SMT-1082;2022-04-30;2024-01-01
1179936;Mutacion_Primera_Clase;SMT-3477;2024-08-28;2024-08-09
1180917;Mutacion_Primera_Clase;SMT-1421;2022-10-03;2024-01-01
1179737;Mutacion_Primera_Clase;SMT-3108;2024-06-21;2024-03-11
1186294;Mutacion_Primera_Clase;SMT-3314;2022-09-06;2024-01-01
1179861;Mutacion_Primera_Clase;SMT-3063;2024-06-17;2024-06-04
1186292;Mutacion_Primera_Clase;SMT-3512;2022-09-09;2024-01-01
1187374;Complementacion;SMT-1878;2023-12-08;2024-01-01
1180693;Mutacion_Segunda_Clase;SMT-15801;2022-12-19;2024-01-01
