t_id_caracterististica_unidadconstruccion;identificador
72843;A
52458;NULL
43674;A
33735;A
28474;A
49700;A
73238;A
28386;A
74772;A
70205;A
35153;A
25038;A
75690;A
34623;A
73896;A
7927;A
83979;A
74948;A
65320;A
65276;A
83977;A
61008;A
84760;A
34932;A
67300;A
62196;A
71920;A
73852;A
73370;A
46670;A
36402;A
83988;A
70733;A
49524;A
83978;A
49656;A
45172;A
84763;A-1
29413;A
41107;A
83980;A
32043;A
72976;A
47809;A
75384;A
49612;A
73676;A
55813;A
31062;A
74160;A
74684;A
73984;A
42170;A
26107;A
48864;A
29725;A
75778;A
64660;A
74072;A
62724;A
49306;A
83982;A
83989;A
40440;A
76086;A
45747;A
42747;A
83981;A
74597;A
83983;A
83985;A
72491;A
66596;A
74904;A
38216;A
43718;A
74816;A
52558;NULL
29368;A
75559;A
75209;A
53335;A
25932;A
74860;A
23207;A
61888;A
46055;A
74728;A
76262;A
32443;A
25261;A
23741;A
41951;A
75734;A
33286;A
45216;A
74466;A
42434;A
23920;A
29770;A
30794;A
48557;A
74116;A
75998;A
83984;A
68665;A
83986;A
47149;A
53194;A
33241;A
30127;A
39686;A
42567;A
84158;A
73720;A
32931;A
83987;A
62768;A
48161;A
40351;A
45041;A
71480;A
