t_id_predio;numero_predial;vigencia_actualizacion_catastral
671932;470010104000000270901901180084;2023-01-04
788779;470010107000000080902900000000;2023-01-04
663585;470010107000000170051000000000;2023-01-04
1072425;470010002000000066719903010001;2024-10-21
938175;470010002000000067058000000000;2024-05-08
881383;470010101000002410001000000000;2022-07-20
3009943;470010107000000610902901020058;2023-01-04
684929;470010110000000620902901130433;2023-02-02
1072427;470010002000000066719901010001;2024-10-21
760486;470010107000000080902901020038;2023-01-04
1063815;470010110000000910901901070076;2023-02-02
663576;470010104000000270901901150069;2023-01-04
662159;470010110000000830901900000000;2023-02-02
1072423;470010002000000066719902010001;2024-10-21
1000101;470010107000000610902900000000;2023-01-04
991329;470010108000000160902901120111;2023-01-04
1067586;470010110000000620902900000000;2023-02-02
1072437;470010106000000110035000000000;2024-05-10
720825;470010104000000270901900000000;2023-01-04
668169;1151_345_C;2022-07-20
864131;470010110000000220001000000000;2024-10-16
1066686;470010104000000270901901180083;2023-01-04
