t_id_predio;numero_predial;condicion_predio;tipo_predio
1061409;470010110000000630056000000000;PH.Unidad_Predial;Predio.Publico.Ejido
789049;470010110000000190901904040267;PH.Unidad_Predial;Predio.Publico.Ejido
1057700;470010101000001280904900000000;PH.Unidad_Predial;Predio.Publico.Ejido
863625;470010104000000300904901020083;PH.Unidad_Predial;Predio.Publico.Ejido
1057704;470010101000001280903900000000;PH.Unidad_Predial;Predio.Publico.Ejido
671932;470010104000000270901901180084;PH.Unidad_Predial;Predio.Publico.Ejido
862521;470010110000001590901900000103;PH.Unidad_Predial;Predio.Publico.Ejido
1024576;470010104000001610907900000213;PH.Unidad_Predial;Predio.Publico.Ejido
995839;470010102000002320902900000041;PH.Unidad_Predial;Predio.Publico.Ejido
658825;470010002000000039015000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1072425;470010002000000066719903010001;PH.Unidad_Predial;Predio.Publico.Ejido
755530;470010105000000020901900000022;PH.Unidad_Predial;Predio.Publico.Ejido
658839;470010002000000030110000000000;PH.Unidad_Predial;Predio.Publico.Ejido
991508;470010105000000020901900000029;PH.Unidad_Predial;Predio.Publico.Ejido
724131;470010110000000190901904010238;PH.Unidad_Predial;Predio.Publico.Ejido
757269;470010104000001610907900000172;PH.Unidad_Predial;Predio.Publico.Ejido
711421;470010102000002500901900000111;PH.Unidad_Predial;Predio.Publico.Ejido
851767;470010104000000620904901010078;PH.Unidad_Predial;Predio.Publico.Ejido
851764;470010104000000620904901010079;PH.Unidad_Predial;Predio.Publico.Ejido
1058178;470010110000000190901904020248;PH.Unidad_Predial;Predio.Publico.Ejido
1057720;470010101000001020902900000000;PH.Unidad_Predial;Predio.Publico.Ejido
658831;470010002000000012543000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1006871;470010102000000990901900000019;PH.Unidad_Predial;Predio.Publico.Ejido
1047072;470010109000003670901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
1057706;470010101000001280905900000000;PH.Unidad_Predial;Predio.Publico.Ejido
862525;470010110000000380905900001362;PH.Unidad_Predial;Predio.Publico.Ejido
832971;470010110000000630055000000000;PH.Unidad_Predial;Predio.Publico.Ejido
658935;470010101000001440902900000000;PH.Unidad_Predial;Predio.Publico.Ejido
3020077;470010110000000380901902080443;PH.Unidad_Predial;Predio.Publico.Ejido
1066036;470010002000000040909900005652;PH.Unidad_Predial;Predio.Publico.Ejido
990250;470010105000000020901900000031;PH.Unidad_Predial;Predio.Publico.Ejido
862523;470010110000001590901900000095;PH.Unidad_Predial;Predio.Publico.Ejido
851762;470010101000001520901900000016;PH.Unidad_Predial;Predio.Publico.Ejido
1037086;470010110000000680902901050046;PH.Unidad_Predial;Predio.Publico.Ejido
684929;470010110000000620902901130433;PH.Unidad_Predial;Predio.Publico.Ejido
832969;470010110000000630050000000000;PH.Unidad_Predial;Predio.Publico.Ejido
662041;470010103000000130901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
1048415;470010107000000930902901010068;PH.Unidad_Predial;Predio.Publico.Ejido
760486;470010107000000080902901020038;PH.Unidad_Predial;Predio.Publico.Ejido
1057698;470010101000001210903900000000;PH.Unidad_Predial;Predio.Publico.Ejido
828923;470010109000000450901900000080;PH.Unidad_Predial;Predio.Publico.Ejido
1058180;470010110000000190901904040268;PH.Unidad_Predial;Predio.Publico.Ejido
851800;470010105000000300901900000031;PH.Unidad_Predial;Predio.Publico.Ejido
832967;470010110000000630049000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1057708;470010101000001210902900000000;PH.Unidad_Predial;Predio.Publico.Ejido
3020815;470010110000001820901900000057;PH.Unidad_Predial;Predio.Publico.Ejido
3019135;470010107000000120902901000154;PH.Unidad_Predial;Predio.Publico.Ejido
913867;470010002000000060911900004235;PH.Unidad_Predial;Predio.Publico.Ejido
740142;470010104000000300904901022038;PH.Unidad_Predial;Predio.Publico.Ejido
1072427;470010002000000066719901010001;PH.Unidad_Predial;Predio.Publico.Ejido
1057694;470010101000001020901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
672557;470010104000001610907900000270;PH.Unidad_Predial;Predio.Publico.Ejido
751073;470010107000000790905900000125;PH.Unidad_Predial;Predio.Publico.Ejido
1006510;470010101000002280901900000045;PH.Unidad_Predial;Predio.Publico.Ejido
658823;470010002000000039017000000000;PH.Unidad_Predial;Predio.Publico.Ejido
659094;470010101000001210901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
1066686;470010104000000270901901180083;PH.Unidad_Predial;Predio.Publico.Ejido
1049876;470010103000002860901900000045;PH.Unidad_Predial;Predio.Publico.Ejido
732879;470010115000006650902900002080;PH.Unidad_Predial;Predio.Publico.Ejido
1014463;470010105000000300901900000030;PH.Unidad_Predial;Predio.Publico.Ejido
1063815;470010110000000910901901070076;PH.Unidad_Predial;Predio.Publico.Ejido
662149;470010104000001610907900000271;PH.Unidad_Predial;Predio.Publico.Ejido
1058136;470010110000000190901904020247;PH.Unidad_Predial;Predio.Publico.Ejido
661752;470010109000003600134000000000;PH.Unidad_Predial;Predio.Publico.Ejido
999833;470010002000000060906900002097;PH.Unidad_Predial;Predio.Publico.Ejido
658819;470010002000000020078000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1058202;470010101000001840901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
663468;470010110000000190907904020287;PH.Unidad_Predial;Predio.Publico.Ejido
896291;470010002000000040902900005262;PH.Unidad_Predial;Predio.Publico.Ejido
930479;470010110000000630057000000000;PH.Unidad_Predial;Predio.Publico.Ejido
658837;470010002000000039016000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1059209;470010102000002500901900000158;PH.Unidad_Predial;Predio.Publico.Ejido
1058176;470010110000000190901904030258;PH.Unidad_Predial;Predio.Publico.Ejido
1057702;470010101000001010901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
658827;470010002000000039011000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1061578;470010110000000630058000000000;PH.Unidad_Predial;Predio.Publico.Ejido
864022;470010002000000060907900002458;PH.Unidad_Predial;Predio.Publico.Ejido
658821;470010002000000039013000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1051344;470010002000000060902900000534;PH.Unidad_Predial;Predio.Publico.Ejido
879913;470010109000003680901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
862519;470010110000000580901900000020;PH.Unidad_Predial;Predio.Publico.Ejido
658841;470010002000000022533000000000;PH.Unidad_Predial;Predio.Publico.Ejido
1016326;470010106000000560901903070183;PH.Unidad_Predial;Predio.Publico.Ejido
897836;470010115000006650901900000860;PH.Unidad_Predial;Predio.Publico.Ejido
825398;470010102000002500901900000060;PH.Unidad_Predial;Predio.Publico.Ejido
1034229;470010002000000060903900001117;PH.Unidad_Predial;Predio.Publico.Ejido
983041;470010104000000620904901110131;PH.Unidad_Predial;Predio.Publico.Ejido
1007242;470010110000000630051000000000;PH.Unidad_Predial;Predio.Publico.Ejido
658995;470010101000001020903900000000;PH.Unidad_Predial;Predio.Publico.Ejido
964720;470010002000000060918900007529;PH.Unidad_Predial;Predio.Publico.Ejido
1050838;470010110000000640906900001305;PH.Unidad_Predial;Predio.Publico.Ejido
760484;470010002000000060910900003364;PH.Unidad_Predial;Predio.Publico.Ejido
920394;470010002000000060918900007462;PH.Unidad_Predial;Predio.Publico.Ejido
1057696;470010101000000980901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
659086;470010110000000190901904030257;PH.Unidad_Predial;Predio.Publico.Ejido
918523;470010002000000060910900003356;PH.Unidad_Predial;Predio.Publico.Ejido
3009943;470010107000000610902901020058;PH.Unidad_Predial;Predio.Publico.Ejido
663568;470010104000000930907900000404;PH.Unidad_Predial;Predio.Publico.Ejido
1056835;470010107000000790902900000053;PH.Unidad_Predial;Predio.Publico.Ejido
832973;470010110000000630052000000000;PH.Unidad_Predial;Predio.Publico.Ejido
991329;470010108000000160902901120111;PH.Unidad_Predial;Predio.Publico.Ejido
1058200;470010101000001840902900000000;PH.Unidad_Predial;Predio.Publico.Ejido
1058198;470010101000001650901900000000;PH.Unidad_Predial;Predio.Publico.Ejido
658829;470010002000000039010000000000;PH.Unidad_Predial;Predio.Publico.Ejido
673822;470010002000000039018000000000;PH.Unidad_Predial;Predio.Publico.Ejido
659100;470010110000000190901904010237;PH.Unidad_Predial;Predio.Publico.Ejido
921213;470010107000000790902900000058;PH.Unidad_Predial;Predio.Publico.Ejido
659221;470010110000000300005500000031;PH.Unidad_Predial;Predio.Publico.Ejido
663576;470010104000000270901901150069;PH.Unidad_Predial;Predio.Publico.Ejido
710795;470010102000002410901900000063;PH.Unidad_Predial;Predio.Publico.Ejido
828399;470010110000000630053000000000;PH.Unidad_Predial;Predio.Publico.Ejido
662139;470010110000000830901900000287;PH.Unidad_Predial;Predio.Publico.Ejido
808234;470010002000000060906900002207;PH.Unidad_Predial;Predio.Publico.Ejido
1061499;470010110000000630054000000000;PH.Unidad_Predial;Predio.Publico.Ejido
