t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
936415;470010002000000021901901040404;PH.Unidad_Predial;Acuicola;
778968;470010101000001230901900000000;NPH;Acuicola;
935647;470010002000000021901901050505;PH.Unidad_Predial;Acuicola;
662208;470010002000000021901901010109;PH.Unidad_Predial;Acuicola;
935649;470010002000000021901901030311;PH.Unidad_Predial;Acuicola;
935637;470010002000000021901901030310;PH.Unidad_Predial;Acuicola;
934905;470010002000000021901901020208;PH.Unidad_Predial;Acuicola;
662187;470010101000001700033000000000;NPH;Acuicola;
778647;470010115000006460901900000000;NPH;Acuicola;
935332;470010002000000021901901030306;PH.Unidad_Predial;Acuicola;
778970;470010101000001060901900000000;NPH;Acuicola;
744587;470010101000001410901900000000;NPH;Acuicola;
936095;470010002000000021901901050508;PH.Unidad_Predial;Acuicola;
808352;470010002000000021901901030309;PH.Unidad_Predial;Acuicola;
808356;470010002000000021901901050503;PH.Unidad_Predial;Acuicola;
658477;470010002000000021901900000000;NPH;Acuicola;
935210;470010002000000021901901040408;PH.Unidad_Predial;Acuicola;
935542;470010002000000021901901050502;PH.Unidad_Predial;Acuicola;
658967;470010101000000990901900000000;NPH;Acuicola;
662200;470010002000000021901901010101;PH.Unidad_Predial;Acuicola;
935639;470010002000000021901901050504;PH.Unidad_Predial;Acuicola;
935465;470010002000000021901901030307;PH.Unidad_Predial;Acuicola;
935544;470010002000000021901901020206;PH.Unidad_Predial;Acuicola;
936510;470010002000000021901901040406;PH.Unidad_Predial;Acuicola;
933885;470010002000000021901901010110;PH.Unidad_Predial;Acuicola;
935370;470010002000000021901901040411;PH.Unidad_Predial;Acuicola;
936456;470010002000000021901901050510;PH.Unidad_Predial;Acuicola;
669759;470010101000001400903900000000;NPH;Acuicola;
857901;470010002000000021901901010104;PH.Unidad_Predial;Acuicola;
935334;470010002000000021901901040409;PH.Unidad_Predial;Acuicola;
851984;470010104000000290901900000207;PH.Unidad_Predial;Acuicola;
662206;470010002000000021901901010102;PH.Unidad_Predial;Acuicola;
935208;470010002000000021901901030305;PH.Unidad_Predial;Acuicola;
935680;470010002000000021901901040401;PH.Unidad_Predial;Acuicola;
742975;470010101000001440901900000000;NPH;Acuicola;
935922;470010002000000021901901040402;PH.Unidad_Predial;Acuicola;
808354;470010002000000021901901020207;PH.Unidad_Predial;Acuicola;
935206;470010002000000021901901020203;PH.Unidad_Predial;Acuicola;
935046;470010002000000021901901030304;PH.Unidad_Predial;Acuicola;
935238;470010002000000021901901050511;PH.Unidad_Predial;Acuicola;
862676;470010101000001700032000000000;NPH;Acuicola;
935924;470010002000000021901901050507;PH.Unidad_Predial;Acuicola;
935546;470010002000000021901901030308;PH.Unidad_Predial;Acuicola;
862630;470010105000000440901900000000;NPH;Acuicola;
778624;470010001000000029001900000000;NPH;Acuicola;
662185;470010105000002580901900000000;NPH;Acuicola;
935004;470010002000000021901901010111;PH.Unidad_Predial;Acuicola;
935286;470010002000000021901901030301;PH.Unidad_Predial;Acuicola;
778550;470010002000000021901901010106;PH.Unidad_Predial;Acuicola;
936417;470010002000000021901901050509;PH.Unidad_Predial;Acuicola;
936419;470010002000000021901901040405;PH.Unidad_Predial;Acuicola;
935044;470010002000000021901901020209;PH.Unidad_Predial;Acuicola;
1072435;470010110000000640904900000667;NPH;Acuicola;
935212;470010002000000021901901040410;PH.Unidad_Predial;Acuicola;
829521;470010002000000021901901020210;PH.Unidad_Predial;Acuicola;
935463;470010002000000021901901020205;PH.Unidad_Predial;Acuicola;
935467;470010002000000021901901050501;PH.Unidad_Predial;Acuicola;
935469;470010002000000021901901030302;PH.Unidad_Predial;Acuicola;
935006;470010002000000021901901030303;PH.Unidad_Predial;Acuicola;
932051;470010002000000021901901010103;PH.Unidad_Predial;Acuicola;
936063;470010002000000021901901040403;PH.Unidad_Predial;Acuicola;
935202;470010002000000021901901020202;PH.Unidad_Predial;Acuicola;
662212;470010002000000021901901010108;PH.Unidad_Predial;Acuicola;
1058624;470010101000001400901900000000;NPH;Acuicola;
935288;470010002000000021901901020204;PH.Unidad_Predial;Acuicola;
935042;470010002000000021901901020201;PH.Unidad_Predial;Acuicola;
935204;470010002000000021901901020211;PH.Unidad_Predial;Acuicola;
778483;470010105000000470901900000000;NPH;Acuicola;
662196;470010002000000021901901010105;PH.Unidad_Predial;Acuicola;
936554;470010002000000021901901040407;PH.Unidad_Predial;Acuicola;
935728;470010002000000021901901050506;PH.Unidad_Predial;Acuicola;
662189;470010105000001150901900000000;NPH;Acuicola;
669579;470010002000000040621000000000;NPH;Acuicola;
662210;470010002000000021901901010107;PH.Unidad_Predial;Acuicola;
