t_id_predio;numero_predial;condicion_predio
935546;470010002000000021901901030308;PH.Unidad_Predial
1072433;470010104000000310901900000038;PH.Unidad_Predial
3013654;470010002000000040901901010160;PH.Unidad_Predial
3010870;470010002000000040901901010157;PH.Unidad_Predial
795408;470010110000000870902901000155;PH.Unidad_Predial
915683;470010002000000040901901010163;PH.Unidad_Predial
662196;470010002000000021901901010105;PH.Unidad_Predial
720699;470010107000000500902901080087;PH.Unidad_Predial
1065215;470010107000001210904904040218;PH.Unidad_Predial
1065331;470010109000003600901900000153;PH.Unidad_Predial
935206;470010002000000021901901020203;PH.Unidad_Predial
1065337;470010109000003600901900000156;PH.Unidad_Predial
857901;470010002000000021901901010104;PH.Unidad_Predial
951342;470010002000000040901901010164;PH.Unidad_Predial
832971;470010110000000630055000000000;PH.Unidad_Predial
1065291;470010109000003600901900000135;PH.Unidad_Predial
935649;470010002000000021901901030311;PH.Unidad_Predial
930479;470010110000000630057000000000;PH.Unidad_Predial
662212;470010002000000021901901010108;PH.Unidad_Predial
658995;470010101000001020903900000000;PH.Unidad_Predial
1065319;470010109000003600901900000149;PH.Unidad_Predial
659221;470010110000000300005500000031;PH.Unidad_Predial
1058198;470010101000001650901900000000;PH.Unidad_Predial
1057700;470010101000001280904900000000;PH.Unidad_Predial
1065311;470010109000003600901900000140;PH.Unidad_Predial
832967;470010110000000630049000000000;PH.Unidad_Predial
1065289;470010109000003600901900000134;PH.Unidad_Predial
936419;470010002000000021901901040405;PH.Unidad_Predial
662206;470010002000000021901901010102;PH.Unidad_Predial
1005195;470010002000000040901901010158;PH.Unidad_Predial
935202;470010002000000021901901020202;PH.Unidad_Predial
778550;470010002000000021901901010106;PH.Unidad_Predial
935465;470010002000000021901901030307;PH.Unidad_Predial
662208;470010002000000021901901010109;PH.Unidad_Predial
936415;470010002000000021901901040404;PH.Unidad_Predial
658841;470010002000000022533000000000;PH.Unidad_Predial
935004;470010002000000021901901010111;PH.Unidad_Predial
3008314;470010002000000040901901010156;PH.Unidad_Predial
979480;470010002000000040901901010169;PH.Unidad_Predial
680387;470010101000000850030000000000;PH.Unidad_Predial
862519;470010110000000580901900000020;PH.Unidad_Predial
1072429;470010110000001590901900000093;PH.Unidad_Predial
658837;470010002000000039016000000000;PH.Unidad_Predial
990369;470010002000000040901901010172;PH.Unidad_Predial
1008956;470010102000002200015901030001;PH.Unidad_Predial
1065329;470010109000003600901900000152;PH.Unidad_Predial
662210;470010002000000021901901010107;PH.Unidad_Predial
860437;470010109000003600901900000145;PH.Unidad_Predial
933885;470010002000000021901901010110;PH.Unidad_Predial
953215;470010002000000040901901010168;PH.Unidad_Predial
930816;470010107000000270903901010263;PH.Unidad_Predial
1072421;470010110000000300003500000064;PH.Unidad_Predial
935046;470010002000000021901901030304;PH.Unidad_Predial
686220;470010110000000100901901000061;PH.Unidad_Predial
987724;470010002000000040901901010173;PH.Unidad_Predial
1065317;470010109000003600901900000148;PH.Unidad_Predial
797783;470010002000000040901901010165;PH.Unidad_Predial
661941;470010105000001980007901010001;PH.Unidad_Predial
1007242;470010110000000630051000000000;PH.Unidad_Predial
658831;470010002000000012543000000000;PH.Unidad_Predial
935680;470010002000000021901901040401;PH.Unidad_Predial
690110;470010110000000630355000000000;PH.Unidad_Predial
829521;470010002000000021901901020210;PH.Unidad_Predial
