t_id_unidadconstruccion;planta_ubicacion;relacion_superficie
1245001;2;En_Rasante
1279893;2;En_Rasante
1262366;2;En_Rasante
1254265;2;En_Rasante
1225272;2;En_Rasante
1216377;2;En_Rasante
1230470;2;En_Rasante
1257592;2;En_Rasante
1247619;2;En_Rasante
1256013;2;En_Rasante
1220310;0;En_Rasante
1281158;2;En_Rasante
1251735;2;En_Rasante
1220303;3;En_Rasante
1246671;2;En_Rasante
1242009;2;En_Rasante
1274560;2;En_Rasante
1250476;2;En_Rasante
1240903;2;En_Rasante
1233644;2;En_Rasante
1271739;2;En_Rasante
1228849;2;En_Rasante
1246261;2;En_Rasante
1262942;2;En_Rasante
1272281;2;En_Rasante
1246909;2;En_Rasante
1238424;2;En_Rasante
1232132;2;En_Rasante
1280824;2;En_Rasante
1269464;2;En_Rasante
1240295;2;En_Rasante
1236828;2;En_Rasante
1224616;2;En_Rasante
1245325;2;En_Rasante
1265957;2;En_Rasante
1278463;2;En_Rasante
1216396;9;En_Rasante
1248587;2;En_Rasante
1272937;2;En_Rasante
1240960;2;En_Rasante
1239498;2;En_Rasante
1272983;2;En_Rasante
1216395;9;En_Rasante
1257945;3;En_Rasante
1277384;2;En_Rasante
1240296;2;En_Rasante
1245149;2;En_Rasante
1220495;2;En_Rasante
1238739;2;En_Rasante
1248974;2;En_Rasante
1235698;2;En_Rasante
1248588;2;En_Rasante
1246908;2;En_Rasante
1239496;2;En_Rasante
1245417;2;En_Rasante
1252302;2;En_Rasante
1244605;2;En_Rasante
1224048;2;En_Rasante
1279419;2;En_Rasante
1233032;2;En_Rasante
1253635;2;En_Rasante
