t_id_predio;numero_predial;condicion_predio
862555;470010002000000049974000000000;NPH
758167;470010109000001650025000000000;NPH
778968;470010101000001230901900000000;NPH
829119;470010114000000350901900000000;NPH
804617;470010002000000010553000000000;NPH
939766;470010101000000370001000000000;NPH
1009852;470010109000003600005000000000;NPH
789882;470010103000002640008000000000;NPH
820367;470010115000006840016000000000;NPH
918248;470010105000000020003000000000;NPH
667218;470010102000001930015000000000;NPH
662137;470010106000005140008000000000;NPH
888316;470010002000000030360000000000;NPH
1059621;470010107000000240010000000000;NPH
1003686;470010002000000022864000000000;NPH
803465;470010004000000090077000000000;NPH
827228;470010109000008020014000000000;NPH
984133;470010111000001810009000000000;NPH
931701;470010110000001010027000000000;NPH
658973;470010007000000020544000000000;NPH
789117;470010003000000049029000000000;NPH
789109;470010004000000010317000000000;NPH
1058150;470010006000000010493000000000;NPH
1065153;470010106000000510091000000000;NPH
987406;470010114000000270002000000000;NPH
658971;470010110000000620141000000000;NPH
949789;470010107000001250003000000000;NPH
829117;470010800000000539999000000000;NPH
659391;470010007000000020543000000000;NPH
829121;470010114000000530901900000000;NPH
1057199;470010004000000080001000000000;NPH
1070229;470010115000006840018000000000;NPH
737434;470010109000000270013000000000;NPH
1058172;470010101000000310901900000000;NPH
1072439;470010110000001590901900000108;NPH
986151;470010004000000020138000000000;NPH
743155;470010104000000840008000000000;NPH
669569;470010001000000040103000000000;NPH
742273;470010113000000070903900000000;NPH
697413;470010114000001440011000000000;NPH
1042492;470010103000003070020000000000;NPH
789311;470010006000000010324000000000;NPH
742910;470010114000000190901900000000;NPH
902923;470010103000003380017000000000;NPH
765926;470010102000000030026000000000;NPH
1007842;470010107000001260012000000000;NPH
1046162;470010003000000012360000000000;NPH
920392;470010110000000950004000000000;NPH
786593;470010106000008000030000000000;NPH
658937;470010111000001760018000000000;NPH
789115;470010113000000070901900000000;NPH
940702;470010111000001220001000000000;NPH
858492;470010115000006840019000000000;NPH
1058156;470010002000000070180000000000;NPH
949830;470010107000001250001000000000;NPH
757323;470010106000001310007000000000;NPH
742871;470010113000000740901900000000;NPH
659387;470010006000000010852000000000;NPH
1072339;470010114000000780901900000000;NPH
949734;470010107000001250005000000000;NPH
742975;470010101000001440901900000000;NPH
850848;470010114000000960901900000000;NPH
806658;470010115000005810018000000000;NPH
1056281;470010005000000020163000000000;NPH
803493;470010114000000230901900000000;NPH
658430;470010115000006800002000000000;NPH
789105;470010004000000020031000000000;NPH
758089;470010110000000830019000000000;NPH
797127;470010115000003880016000000000;NPH
1004697;470010003000000010214000000000;NPH
782591;470010101000001940008000000000;NPH
778647;470010115000006460901900000000;NPH
793144;470010107000001340048000000000;NPH
846531;470010006000000020192000000000;NPH
1058600;470010115000006840015000000000;NPH
785751;470010115000005450010000000000;NPH
904710;470010111000000530001000000000;NPH
914420;470010103000000260045000000000;NPH
662218;470010115000004330015000000000;NPH
756490;470010114000000080016000000000;NPH
1066624;470010103000001370012000000000;NPH
848685;470010002000000066596000000000;NPH
789351;470010006000000020164000000000;NPH
662133;470010002000000010554000000000;NPH
789355;470010006000000010140000000000;NPH
677205;470010114000000210017000000000;NPH
663585;470010107000000170051000000000;NPH
997421;470010101000002030036000000000;NPH
658774;470010002000000010555000000000;NPH
818060;470010006000000010504000000000;NPH
919801;470010103000001020067000000000;NPH
669579;470010002000000040621000000000;NPH
806162;470010115000006840022000000000;NPH
1058664;470010116000002240008000000000;NPH
778624;470010001000000029001900000000;NPH
1031205;470010106000008210001000000000;NPH
989858;470010103000004300009000000000;NPH
1030754;470010103000003540003000000000;NPH
1058166;470010113000000070902900000000;NPH
1031842;470010103000000330007000000000;NPH
888240;470010002000000020323000000000;NPH
1058170;470010101000000300901900000000;NPH
995005;470010105000002320005000000000;NPH
1039443;470010101000000560036000000000;NPH
953353;470010002000000066732000000000;NPH
1034049;470010103000000450176000000000;NPH
802584;470010107000001250002000000000;NPH
949833;470010107000001250004000000000;NPH
1010487;470010116000002090026000000000;NPH
843625;470010002000000067059000000000;NPH
940392;470010101000000440014000000000;NPH
853016;470010110000000290012000000000;NPH
760502;470010105000002520042000000000;NPH
1026219;470010107000001380077000000000;NPH
995783;470010114000001770018000000000;NPH
658442;470010107000001340047000000000;NPH
1056013;470010007000000030006000000000;NPH
842908;470010102000000200015000000000;NPH
816503;470010111000002780005000000000;NPH
744587;470010101000001410901900000000;NPH
1070227;470010115000006840020000000000;NPH
658967;470010101000000990901900000000;NPH
778970;470010101000001060901900000000;NPH
850852;470010114000000230902900000000;NPH
1009924;470010102000003940022000000000;NPH
1052967;470010002000000050878000000000;NPH
760659;470010115000004090012000000000;NPH
1058160;470010002000000070803800000000;NPH
874561;470010002000000050713000000000;NPH
670454;470010115000006200009000000000;NPH
669759;470010101000001400903900000000;NPH
789343;470010006000000010258000000000;NPH
789067;470010004000000020801800000000;NPH
846527;470010006000000020022000000000;NPH
1058168;470010101000000280901900000000;NPH
742903;470010114000000210901900000000;NPH
658477;470010002000000021901900000000;NPH
1046593;470010103000004220021000000000;NPH
929774;470010114000000150128000000000;NPH
864078;470010101000001490013000000000;NPH
744688;470010900000000640001000000000;NPH
1071354;470010107000000900016000000000;NPH
907307;470010115000006840026000000000;NPH
814718;470010002000000021488000000000;NPH
850850;470010114000000960902900000000;NPH
663499;470010900000000610006000000000;NPH
1060688;470010115000006840024000000000;NPH
983073;470010102000001600014000000000;NPH
818629;470010002000000021317000000000;NPH
663583;470010110000001590901900000054;NPH
1058174;470010115000006770901900000000;NPH
1058158;470010002000000070391000000000;NPH
836335;470010109000003600001000000000;NPH
1058624;470010101000001400901900000000;NPH
849123;470010106000004890007000000000;NPH
740985;470010113000000340014000000000;NPH
1017624;470010111000004000008000000000;NPH
846529;470010007000000010064000000000;NPH
736006;470010103000004810020000000000;NPH
659383;470010006000000020531000000000;NPH
659389;470010007000000020542000000000;NPH
742879;470010800000001649999000000000;NPH
854874;470010114000001520901900000000;NPH
724151;470010003000000014079000000000;NPH
840297;470010102000000160067000000000;NPH
720137;470010111000001810007000000000;NPH
663495;470010006000000010855000000000;NPH
797119;470010104000001690004000000000;NPH
803489;470010003000000020026000000000;NPH
1014735;470010111000001150011000000000;NPH
945203;470010800000000300011000000000;NPH
819139;470010002000000050938000000000;NPH
1034152;470010102000003230005000000000;NPH
758159;470010114000000210016000000000;NPH
1012983;470010115000006680011000000000;NPH
659385;470010006000000020530000000000;NPH
